,Word,Pronunciation
72,abetted,['əbɛtɪd']
73,abetting,['əbɛtɪŋ']
74,abeyance,['əbeɪəns']
75,abhor,['æbhɔɹ']
76,abhorred,['əbhɔɹd']
77,abhorrent,['æbhɔɹənt']
78,abhors,['əbhɔɹz']
79,abide,['əbaɪd']
80,abided,['əbaɪdɪd']
81,abides,['əbaɪdz']
82,abiding,['əbaɪdɪŋ']
83,abigail,['æbəɡeɪl']
84,abilene,['æbɪlin']
85,abilities,['əbɪlətiz']
86,ability,['əbɪləti']
87,abject,['æbdʒɛkt']
88,ablaze,['əbleɪz']
89,able,['eɪbəl']
90,abler,"['eɪbəlɝ', 'eɪbəlɚ']"
91,abler,"['eɪblɝ', 'eɪblɚ']"
92,ablest,['eɪbəlst']
93,ablest,['eɪbləst']
94,abloom,['əblum']
95,ably,['eɪbli']
96,abner,"['æbnɝ', 'æbnɚ']"
97,abnormal,['æbnɔɹməl']
98,abnormalities,['æbnɔɹmælətiz']
99,abnormality,['æbnɔɹmæləti']
100,abnormally,['æbnɔɹməli']
101,abo,"['ɑboʊ', 'ɒboʊ']"
102,aboard,['əbɔɹd']
103,abode,['əboʊd']
104,abolish,"['əbɑlɪʃ', 'əbɒlɪʃ']"
105,abolished,"['əbɑlɪʃt', 'əbɒlɪʃt']"
106,abolishes,"['əbɑlɪʃɪz', 'əbɒlɪʃɪz']"
107,abolishing,"['əbɑlɪʃɪŋ', 'əbɒlɪʃɪŋ']"
108,abolition,['æbəlɪʃən']
109,abolitionism,['æbəlɪʃənɪzəm']
110,abolitionist,['æbəlɪʃənəst']
111,abolitionists,['æbəlɪʃənəsts']
112,abolitionists,['æbəlɪʃənəs']
113,abominable,"['əbɑmənəbəl', 'əbɒmənəbəl']"
114,abomination,"['əbɑməneɪʃən', 'əbɒməneɪʃən']"
115,abominations,"['əbɑməneɪʃənz', 'əbɒməneɪʃənz']"
116,aboriginal,"['æbɝɪdʒənəl', 'æbɚɪdʒənəl']"
117,aborigine,"['æbɝɪdʒəni', 'æbɚɪdʒəni']"
118,aborigines,"['æbɝɪdʒəniz', 'æbɚɪdʒəniz']"
119,abort,['əbɔɹt']
120,aborted,['əbɔɹtɪd']
121,aborting,['əbɔɹtɪŋ']
122,abortion,['əbɔɹʃən']
123,abortionist,['əbɔɹʃənɪst']
124,abortionists,['əbɔɹʃənɪsts']
125,abortionists,['əbɔɹʃənɪs']
126,abortions,['əbɔɹʃənz']
127,abortive,['əbɔɹtɪv']
128,aborts,['əbɔɹts']
129,abound,['əbaʊnd']
130,abounded,['əbaʊndɪd']
131,abounding,['əbaʊndɪŋ']
132,abounds,['əbaʊndz']
133,about,['əbaʊt']
134,above,['əbʌv']
135,aboveboard,['əbʌvbɔɹd']
136,abracadabra,['æbɹəkədæbɹə']
137,abraham,['eɪbɹəhæm']
138,abrasion,['əbɹeɪʒən']
139,abrasions,['əbɹeɪʒənz']
140,abrasive,['əbɹeɪsɪv']
141,abrasives,['əbɹeɪsɪvz']
142,abraxas,['əbɹæksəz']
143,abreast,['əbɹɛst']
144,abridge,['əbɹɪdʒ']
145,abridged,['əbɹɪdʒd']
146,abridgement,['əbɹɪdʒmənt']
147,abridging,['əbɹɪdʒɪŋ']
148,abroad,['əbɹɔd']
149,abrogate,['æbɹəɡeɪt']
150,abrogated,['æbɹəɡeɪtɪd']
151,abrogating,['æbɹəɡeɪtɪŋ']
152,abrupt,['əbɹʌpt']
153,abruptly,['əbɹʌptli']
154,abruptness,['əbɹʌptnəs']
155,abs,['eɪbiɛs']
156,abs,['æbz']
157,abscam,['æbskæm']
158,abscess,['æbsɛs']
159,abscond,"['æbskɑnd', 'æbskɒnd']"
160,absconded,"['æbskɑndəd', 'æbskɒndəd']"
161,absconding,"['æbskɑndɪŋ', 'æbskɒndɪŋ']"
162,absence,['æbsəns']
163,absences,['æbsənsɪz']
164,absent,['æbsənt']
165,absentee,['æbsənti']
166,absenteeism,['æbsəntiɪzəm']
167,absentees,['æbsəntiz']
168,absentia,['æbsɛnʃə']
169,absinthe,['æbsɪnθ']
170,absolute,['æbsəlut']
171,absolutely,['æbsəlutli']
172,absoluteness,['æbsəlutnəs']
173,absolutes,['æbsəluts']
174,absolution,['æbsəluʃən']
175,absolve,"['əbzɑlv', 'əbzɒlv']"
176,absolve,"['æbzɑlv', 'æbzɒlv']"
177,absolved,"['əbzɑlvd', 'əbzɒlvd']"
178,absolved,"['æbzɑlvd', 'æbzɒlvd']"
179,absolves,"['əbzɑlvz', 'əbzɒlvz']"
180,absolves,"['æbzɑlvz', 'æbzɒlvz']"
181,absolving,"['əbzɑlvɪŋ', 'əbzɒlvɪŋ']"
182,absolving,"['æbzɑlvɪŋ', 'æbzɒlvɪŋ']"
183,absorb,['əbzɔɹb']
184,absorbed,['əbzɔɹbd']
185,absorbent,['əbzɔɹbənt']
186,absorber,"['əbzɔɹbɝ', 'əbzɔɹbɚ']"
187,absorbers,"['əbzɔɹbɝz', 'əbzɔɹbɚz']"
188,absorbing,['əbzɔɹbɪŋ']
189,absorbs,['əbzɔɹbz']
190,absorption,['əbzɔɹpʃən']
191,absorption,['əbsɔɹpʃən']
192,abstain,['əbsteɪn']
193,abstain,['æbsteɪn']
194,abstained,['əbsteɪnd']
195,abstained,['æbsteɪnd']
196,abstaining,['əbsteɪnɪŋ']
197,abstaining,['æbsteɪnɪŋ']
198,abstention,['əbstɛntʃən']
199,abstention,['æbstɛntʃən']
200,abstentions,['əbstɛntʃənz']
201,abstentions,['æbstɛntʃənz']
202,abstinence,['æbstənəns']
203,abstinent,['æbstənənt']
204,abstract,['æbstɹækt']
205,abstract,['æbstɹækt']
206,abstracted,['æbstɹæktɪd']
207,abstraction,['æbstɹækʃən']
208,abstractions,['æbstɹækʃənz']
209,abstracts,['æbstɹækts']
210,abstruse,['əbstɹus']
211,absurd,"['əbsɝd', 'əbsɚd']"
212,absurdist,"['əbsɝdɪst', 'əbsɚdɪst']"
213,absurdities,"['əbsɝdətiz', 'əbsɚdətiz']"
214,absurdity,"['əbsɝdəti', 'əbsɚdəti']"
215,absurdly,"['əbsɝdli', 'əbsɚdli']"
216,abt,['æbt']
217,abt,['eɪbiti']
218,abu,['æbu']
219,abundance,['əbʌndəns']
220,abundant,['əbʌndənt']
221,abundantly,['əbʌndəntli']
222,abuse,['əbjus']
223,abuse,['əbjuz']
224,abused,['əbjuzd']
225,abuser,"['əbjuzɝ', 'əbjuzɚ']"
226,abusers,"['əbjuzɝz', 'əbjuzɚz']"
227,abuses,['əbjusɪz']
228,abuses,['əbjuzɪz']
229,abusing,['əbjuzɪŋ']
230,abusive,['əbjusɪv']
231,abut,['əbʌt']
232,abuts,['əbʌts']
233,abutting,['əbʌtɪŋ']
234,abuzz,['əbʌz']
235,abysmal,['əbɪzməl']
236,abysmally,['əbɪzməli']
237,abyss,['əbɪs']
238,abyssinia,['æbsɪniə']
239,abyssinian,['æbsɪniən']
240,ac,['eɪsi']
241,acacia,['əkeɪʃə']
242,academe,['ækədim']
243,academia,['ækədimiə']
244,academic,['ækədɛmɪk']
245,academically,['ækədɛmɪkli']
246,academician,['ækədəmɪʃən']
247,academics,['ækədɛmɪks']
248,academies,['əkædəmiz']
249,academy,['əkædəmi']
250,acadia,['əkeɪdiə']
251,acapulco,['ækəpʊlkoʊ']
252,accede,['æksid']
253,acceded,['æksidɪd']
254,accelerant,"['æksɛlɝənt', 'æksɛlɚənt']"
255,accelerate,"['æksɛlɝeɪt', 'æksɛlɚeɪt']"
256,accelerated,"['æksɛlɝeɪtɪd', 'æksɛlɚeɪtɪd']"
257,accelerates,"['æksɛlɝeɪts', 'æksɛlɚeɪts']"
258,accelerating,"['æksɛlɝeɪtɪŋ', 'æksɛlɚeɪtɪŋ']"
259,acceleration,"['æksɛlɝeɪʃən', 'æksɛlɚeɪʃən']"
260,accelerator,"['æksɛlɝeɪtɝ', 'æksɛlɝeɪtɚ', 'æksɛlɚeɪtɝ', 'æksɛlɚeɪtɚ']"
261,accelerators,"['æksɛlɝeɪtɝz', 'æksɛlɝeɪtɚz', 'æksɛlɚeɪtɝz', 'æksɛlɚeɪtɚz']"
262,accent,['əksɛnt']
263,accent,['æksɛnt']
264,accented,['æksɛntɪd']
265,accents,['æksɛnts']
266,accentuate,['æksɛntʃueɪt']
267,accentuated,['æksɛntʃueɪtɪd']
268,accentuates,['æksɛntʃueɪts']
269,accentuating,['æksɛntʃueɪtɪŋ']
270,accept,['æksɛpt']
271,accept,['əksɛpt']
272,acceptable,['æksɛptəbəl']
273,acceptable,['əksɛptəbəl']
274,acceptance,['æksɛptəns']
275,acceptance,['əksɛptəns']
276,acceptances,['æksɛptənsɪz']
277,accepted,['æksɛptɪd']
278,accepting,['æksɛptɪŋ']
279,accepting,['əksɛptɪŋ']
280,accepts,['æksɛpts']
281,access,['æksɛs']
282,accessed,['æksɛst']
283,accessibility,['æksɛsəbɪlɪti']
284,accessible,['æksɛsəbəl']
285,accessing,['æksɛsɪŋ']
286,accession,['əksɛʃən']
287,accessories,"['æksɛsɝiz', 'æksɛsɚiz']"
288,accessorize,"['æksɛsɝaɪz', 'æksɛsɚaɪz']"
289,accessorized,"['æksɛsɝaɪzd', 'æksɛsɚaɪzd']"
290,accessory,"['æksɛsɝi', 'æksɛsɚi']"
291,accident,['æksədənt']
292,accidental,['æksədɛntəl']
293,accidental,['æksədɛnəl']
294,accidentally,['æksədɛntəli']
295,accidentally,['æksədɛnəli']
296,accidently,['æksədəntli']
297,accidents,['æksədənts']
298,acclaim,['əkleɪm']
299,acclaimed,['əkleɪmd']
300,acclaims,['əkleɪmz']
301,acclamation,['ækləmeɪʃən']
302,acclimate,['ækləmeɪt']
303,acclimated,['ækləmeɪtɪd']
304,accolade,['ækəleɪd']
305,accolades,['ækəleɪdz']
306,accommodate,"['əkɑmədeɪt', 'əkɒmədeɪt']"
307,accommodated,"['əkɑmədeɪtəd', 'əkɒmədeɪtəd']"
308,accommodates,"['əkɑmədeɪts', 'əkɒmədeɪts']"
309,accommodating,"['əkɑmədeɪtɪŋ', 'əkɒmədeɪtɪŋ']"
310,accommodation,"['əkɑmədeɪʃən', 'əkɒmədeɪʃən']"
311,accommodations,"['əkɑmədeɪʃənz', 'əkɒmədeɪʃənz']"
312,accommodative,"['əkɑmədeɪtɪv', 'əkɒmədeɪtɪv']"
313,accompanied,['əkʌmpənid']
314,accompanies,['əkʌmpəniz']
315,accompaniment,['əkʌmpnɪmənt']
316,accompaniment,['əkʌmpnimənt']
317,accompanist,['əkʌmpənəst']
318,accompany,['əkʌmpəni']
319,accompanying,['əkʌmpəniɪŋ']
320,accompli,"['ɑkɑmpli', 'ɑkɒmpli', 'ɒkɑmpli', 'ɒkɒmpli']"
321,accompli,"['əkɑmpli', 'əkɒmpli']"
322,accomplice,"['əkɑmpləs', 'əkɒmpləs']"
323,accomplices,"['əkɑmpləsəz', 'əkɒmpləsəz']"
324,accomplish,"['əkɑmplɪʃ', 'əkɒmplɪʃ']"
325,accomplished,"['əkɑmplɪʃt', 'əkɒmplɪʃt']"
326,accomplishes,"['əkɑmplɪʃɪz', 'əkɒmplɪʃɪz']"
327,accomplishing,"['əkɑmplɪʃɪŋ', 'əkɒmplɪʃɪŋ']"
328,accomplishment,"['əkɑmplɪʃmənt', 'əkɒmplɪʃmənt']"
329,accomplishments,"['əkɑmplɪʃmənts', 'əkɒmplɪʃmənts']"
330,accord,['əkɔɹd']
331,accordance,['əkɔɹdəns']
332,accorded,['əkɔɹdɪd']
333,according,['əkɔɹdɪŋ']
334,accordingly,['əkɔɹdɪŋli']
335,accordion,['əkɔɹdiən']
336,accordions,['əkɔɹdiənz']
337,accords,['əkɔɹdz']
338,accost,['əkɔst']
339,accosted,"['əkɑstəd', 'əkɒstəd']"
340,accosting,"['əkɑstɪŋ', 'əkɒstɪŋ']"
341,account,['əkaʊnt']
342,accountability,['əkaʊntəbɪlɪti']
343,accountable,['əkaʊntəbəl']
344,accountancy,['əkaʊntəntsi']
345,accountant,['əkaʊntənt']
346,accountants,['əkaʊntənts']
347,accounted,['əkaʊntɪd']
348,accounting,['əkaʊntɪŋ']
349,accounting,['əkaʊnɪŋ']
350,accounts,['əkaʊnts']
351,accoutrement,"['əkutɝmənt', 'əkutɚmənt']"
352,accoutrements,"['əkutɝmənts', 'əkutɚmənts']"
353,accra,"['ɑkɹɑ', 'ɑkɹɒ', 'ɒkɹɑ', 'ɒkɹɒ']"
354,accreditation,['əkɹɛdəteɪʃən']
355,accredited,['əkɹɛdɪtɪd']
356,accrediting,['əkɹɛdətɪŋ']
357,accrual,['əkɹuəl']
358,accrue,['əkɹu']
359,accrued,['əkɹud']
360,accrues,['əkɹuz']
361,accruing,['əkɹuɪŋ']
362,accumulate,['əkjumjəleɪt']
363,accumulated,['əkjumjəleɪtɪd']
364,accumulates,['əkjumjəleɪts']
365,accumulating,['əkjumjəleɪtɪŋ']
366,accumulation,['əkjumjəleɪʃən']
367,accumulations,['əkjumjəleɪʃənz']
368,accumulative,['əkjumjəleɪtɪv']
369,accumulator,"['əkjumjəleɪtɝ', 'əkjumjəleɪtɚ']"
370,accuracy,"['ækjɝəsi', 'ækjɚəsi']"
371,accurate,"['ækjɝət', 'ækjɚət']"
372,accurately,"['ækjɝətli', 'ækjɚətli']"
373,accusation,['ækjəzeɪʃən']
374,accusation,['ækjuzeɪʃən']
375,accusations,['ækjəzeɪʃənz']
376,accusations,['ækjuzeɪʃənz']
377,accusatory,['əkjuzətɔɹi']
378,accuse,['əkjuz']
379,accused,['əkjuzd']
380,accuser,"['əkjuzɝ', 'əkjuzɚ']"
381,accusers,"['əkjuzɝz', 'əkjuzɚz']"
382,accuses,['əkjuzɪz']
383,accusing,['əkjuzɪŋ']
384,accustom,['əkʌstəm']
385,accustomed,['əkʌstəmd']
386,ace,['eɪs']
387,aced,['eɪst']
388,acerbic,['əsɛɹbɪk']
389,aces,['eɪsɪz']
390,acetaminophen,['əsitəmɪnəfən']
391,acetate,['æsəteɪt']
392,acetic,['əsɛtɪk']
393,acetic,['əsitɪk']
394,acetone,['æsətoʊn']
395,acetylcholine,['əsɛtəlkoʊlin']
396,acetylcholine,['əsitəlkoʊlin']
397,acetylene,['əsɛtəlin']
398,ache,['eɪk']
399,ached,['eɪkt']
400,aches,['eɪks']
401,achievable,['ətʃivəbəl']
402,achieve,['ətʃiv']
403,achieved,['ətʃivd']
404,achievement,['ətʃivmənt']
405,achievements,['ətʃivmənts']
406,achiever,"['ətʃivɝ', 'ətʃivɚ']"
407,achievers,"['ətʃivɝz', 'ətʃivɚz']"
408,achieves,['ətʃivz']
409,achieving,['ətʃivɪŋ']
410,achilles,['əkɪliz']
411,aching,['eɪkɪŋ']
412,achingly,['eɪkɪŋli']
413,achoo,"['ɑtʃu', 'ɒtʃu']"
414,achy,['eɪki']
415,acid,['æsəd']
416,acidic,['əsɪdɪk']
417,acidity,['əsɪdəti']
418,acidosis,['æsədoʊsəs']
419,acids,['æsədz']
420,ack,['æk']
421,acker,"['ækɝ', 'ækɚ']"
422,acknowledge,"['æknɑlɪdʒ', 'æknɒlɪdʒ']"
423,acknowledged,"['æknɑlɪdʒd', 'æknɒlɪdʒd']"
424,acknowledgement,"['æknɑlɪdʒmənt', 'æknɒlɪdʒmənt']"
425,acknowledgements,"['æknɑlɪdʒmənts', 'æknɒlɪdʒmənts']"
426,acknowledges,"['æknɑlɪdʒɪz', 'æknɒlɪdʒɪz']"
427,acknowledging,"['æknɑlɪdʒɪŋ', 'æknɒlɪdʒɪŋ']"
428,acknowledgment,"['æknɑlɪdʒmənt', 'æknɒlɪdʒmənt']"
429,acme,['ækmi']
430,acne,['ækni']
431,acolyte,['ækəlaɪt']
432,acolytes,['ækəlaɪts']
433,acorn,['eɪkɔɹn']
434,acorns,['eɪkɔɹnz']
435,acoustic,['əkustɪk']
436,acoustical,['əkustɪkəl']
437,acoustically,['əkustɪkli']
438,acoustics,['əkustɪks']
439,acquaint,['əkweɪnt']
440,acquaintance,['əkweɪntəns']
441,acquaintances,['əkweɪntənsɪz']
442,acquaintanceship,['əkweɪntənsʃɪp']
443,acquainted,['əkweɪntɪd']
444,acquainted,['əkweɪnɪd']
445,acquiesce,['ækwiɛs']
446,acquiesced,['ækwiɛst']
447,acquiescence,['ækwiɛsəns']
448,acquiescing,['ækwiɛsɪŋ']
449,acquire,"['əkwaɪɝ', 'əkwaɪɚ']"
450,acquired,"['əkwaɪɝd', 'əkwaɪɚd']"
451,acquirer,"['əkwaɪɝɝ', 'əkwaɪɝɚ', 'əkwaɪɚɝ', 'əkwaɪɚɚ']"
452,acquires,"['əkwaɪɝz', 'əkwaɪɚz']"
453,acquiring,['əkwaɪɹɪŋ']
454,acquiring,"['əkwaɪɝɪŋ', 'əkwaɪɚɪŋ']"
455,acquisition,['ækwəzɪʃən']
456,acquisitions,['ækwəzɪʃənz']
457,acquisitive,['əkwɪzətɪv']
458,acquit,['əkwɪt']
459,acquittal,['əkwɪtəl']
460,acquittals,['əkwɪtəlz']
461,acquitted,['əkwɪtɪd']
462,acquitting,['əkwɪtɪŋ']
463,acre,"['eɪkɝ', 'eɪkɚ']"
464,acreage,['eɪkəɹɪdʒ']
465,acreage,['eɪkɹɪdʒ']
466,acres,"['eɪkɝz', 'eɪkɚz']"
467,acrid,['ækɹɪd']
468,acrimonious,['ækɹəmoʊniəs']
469,acrimony,['ækɹɪmoʊni']
470,acrobat,['ækɹəbæt']
471,acrobatic,['ækɹəbætɪk']
472,acrobatics,['ækɹəbætɪks']
473,acrobats,['ækɹəbæts']
474,acronym,['ækɹənɪm']
475,acronyms,['ækɹənɪmz']
476,acropolis,"['əkɹɑpələs', 'əkɹɒpələs']"
477,across,['əkɹɔs']
478,acrylic,['əkɹɪlɪk']
479,acrylics,['əkɹɪlɪks']
480,act,['ækt']
481,acted,['æktɪd']
482,actin,['æktən']
483,acting,['æktɪŋ']
484,action,['ækʃən']
485,actionable,['ækʃənəbəl']
486,actions,['ækʃənz']
487,activate,['æktəveɪt']
488,activated,['æktɪveɪtɪd']
489,activates,['æktəveɪts']
490,activating,['æktəveɪtɪŋ']
491,activation,['æktəveɪʃən']
492,activator,"['æktəveɪtɝ', 'æktəveɪtɚ']"
493,active,['æktɪv']
494,actively,['æktɪvli']
495,actives,['æktɪvz']
496,activism,['æktɪvɪzəm']
497,activist,['æktɪvɪst']
498,activists,['æktɪvɪsts']
499,activities,['æktɪvɪtiz']
500,activity,['æktɪvɪti']
501,acton,['æktən']
502,actor,"['æktɝ', 'æktɚ']"
503,actors,"['æktɝz', 'æktɚz']"
504,actress,['æktɹəs']
505,actresses,['æktɹəsɪz']
506,acts,['ækts']
507,acts,['æks']
508,actual,['æktʃəwəl']
509,actual,['ækʃəl']
510,actuality,['æktʃuæləti']
511,actualize,['æktʃuəlaɪz']
512,actually,['æktʃuəli']
513,actually,['æktʃli']
514,actually,['ækʃəli']
515,actuarial,['æktʃuɛɹiəl']
516,actuaries,['æktʃuɛɹiz']
517,actuary,['æktʃuɛɹi']
518,actuate,['æktʃueɪt']
519,actuator,"['æktjueɪtɝ', 'æktjueɪtɚ']"
520,actuator,"['æktʃueɪtɝ', 'æktʃueɪtɚ']"
521,actuators,"['æktjueɪtɝz', 'æktjueɪtɚz']"
522,actuators,"['æktʃueɪtɝz', 'æktʃueɪtɚz']"
523,acuity,['əkjuəti']
524,acumen,['əkjumən']
525,acupuncture,"['ækjupəŋktʃɝ', 'ækjupəŋktʃɚ']"
526,acute,['əkjut']
527,acutely,['əkjutli']
528,acuteness,['əkjutnəs']
529,acyclovir,['əsɪkloʊvɪɹ']
530,ad,['æd']
531,adage,['ædədʒ']
532,adagio,"['ədɑʒioʊ', 'ədɒʒioʊ']"
533,adam,['ædəm']
534,adamant,['ædəmənt']
535,adamantly,['ædəməntli']
536,adams,['ædəmz']
537,adapt,['ədæpt']
538,adaptability,['ədæptəbɪləti']
539,adaptable,['ədæptəbəl']
540,adaptation,['ædəpteɪʃən']
541,adaptations,['ædæpteɪʃənz']
542,adaptations,['ædəpteɪʃənz']
543,adapted,['ədæptɪd']
544,adapter,"['ədæptɝ', 'ədæptɚ']"
545,adapting,['ədæptɪŋ']
546,adaptive,['ədæptɪv']
547,adaptor,"['ədæptɝ', 'ədæptɚ']"
548,adaptors,"['ədæptɝz', 'ədæptɚz']"
549,adapts,['ədæpts']
550,adar,"['ədɑɹ', 'ədɒɹ']"
551,add,['æd']
552,added,['ædɪd']
553,addendum,['ədɛndəm']
554,addendums,['ədɛndəmz']
555,adder,"['ædɝ', 'ædɚ']"
556,addict,['ədɪkt']
557,addict,['ædɪkt']
558,addicted,['ədɪktɪd']
559,addicting,['ədɪktɪŋ']
560,addiction,['ədɪkʃən']
561,addictions,['ədɪkʃənz']
562,addictive,['ədɪktɪv']
563,addicts,['ədɪkts']
564,addicts,['ædɪkts']
565,adding,['ædɪŋ']
566,addis,"['ɑdɪs', 'ɒdɪs']"
567,addison,['ædɪsən']
568,addition,['ədɪʃən']
569,additional,['ədɪʃənəl']
570,additionally,['ədɪʃənəli']
571,additions,['ədɪʃənz']
572,additive,['ædɪtɪv']
573,additives,['ædɪtɪvz']
574,addle,['ædəl']
575,addled,['ædəld']
576,address,['ædɹɛs']
577,address,['ædɹɛs']
578,addressed,['ədɹɛst']
579,addressee,['ædɹɛsi']
580,addresses,['ædɹɛsɪz']
581,addresses,['ædɹɛsɪz']
582,addressing,['ædɹɛsɪŋ']
583,adds,['ædz']
584,ade,['eɪd']
585,aden,['eɪdən']
586,adenine,['ædənin']
587,adenoid,['ædənɔɪd']
588,adenoids,['ædənɔɪdz']
589,adenosine,['ədɛnəsin']
590,adept,['ədɛpt']
591,adequacy,['ædəkwəsi']
592,adequate,['ædəkwət']
593,adequate,['ædəkweɪt']
594,adequately,['ædəkwɪtli']
595,adhere,['ədhɪɹ']
596,adhered,['ædhɪɹd']
597,adherence,['ədhɪɹəns']
598,adherent,['ədhɪɹənt']
599,adherents,['ædhɪɹənts']
600,adheres,['ədhɪɹz']
601,adhering,['ədhɪɹɪŋ']
602,adhesion,['ædhiʒən']
603,adhesive,['ædhisɪv']
604,adhesive,['ədhisɪv']
605,adhesives,['ædhisɪvz']
606,adhesives,['ədhisɪvz']
607,adieu,['ədu']
608,adios,"['ɑdioʊs', 'ɒdioʊs']"
609,adipose,['ædəpoʊs']
610,adjacent,['ədʒeɪsənt']
611,adjective,['ædʒɪktɪv']
612,adjectives,['ædʒɪktɪvz']
613,adjoining,['ədʒɔɪnɪŋ']
614,adjoins,['ədʒɔɪnz']
615,adjourn,"['ədʒɝn', 'ədʒɚn']"
616,adjourned,"['ədʒɝnd', 'ədʒɚnd']"
617,adjourning,"['ədʒɝnɪŋ', 'ədʒɚnɪŋ']"
618,adjournment,"['ədʒɝnmənt', 'ədʒɚnmənt']"
619,adjourns,"['ədʒɝnz', 'ədʒɚnz']"
620,adjudge,['ədʒʌdʒ']
621,adjudged,['ədʒʌdʒd']
622,adjudicate,['ədʒudɪkeɪt']
623,adjudicated,['ədʒudəkeɪtɪd']
624,adjudicating,['ədʒudɪkeɪtɪŋ']
625,adjudication,['ədʒudəkeɪʃən']
626,adjunct,['ædʒəŋkt']
627,adjust,['ədʒʌst']
628,adjustable,['ədʒʌstəbəl']
629,adjusted,['ədʒʌstɪd']
630,adjuster,"['ədʒʌstɝ', 'ədʒʌstɚ']"
631,adjusters,"['ədʒʌstɝz', 'ədʒʌstɚz']"
632,adjusting,['ədʒʌstɪŋ']
633,adjustment,['ədʒʌstmənt']
634,adjustments,['ədʒʌstmənts']
635,adjusts,['ədʒʌsts']
636,adjutant,['ædʒətənt']
637,admin,['ædmɪn']
638,administer,"['ədmɪnɪstɝ', 'ədmɪnɪstɚ']"
639,administered,"['ədmɪnɪstɝd', 'ədmɪnɪstɚd']"
640,administering,"['ædmɪnɪstɝɪŋ', 'ædmɪnɪstɚɪŋ']"
641,administers,"['ædmɪnɪstɝz', 'ædmɪnɪstɚz']"
642,administrate,['ædmɪnɪstɹeɪt']
643,administration,['ædmɪnɪstɹeɪʃən']
644,administrations,['ædmɪnɪstɹeɪʃənz']
645,administrative,['ədmɪnɪstɹeɪtɪv']
646,administrator,"['ədmɪnɪstɹeɪtɝ', 'ədmɪnɪstɹeɪtɚ']"
647,administrators,"['ædmɪnɪstɹeɪtɝz', 'ædmɪnɪstɹeɪtɚz']"
648,admirable,"['ædmɝəbəl', 'ædmɚəbəl']"
649,admirable,['ædmɹəbəl']
650,admirably,"['ædmɝəbli', 'ædmɚəbli']"
651,admiral,"['ædmɝəl', 'ædmɚəl']"
652,admirals,"['ædmɝəlz', 'ædmɚəlz']"
653,admiralty,"['ædmɝəlti', 'ædmɚəlti']"
654,admiration,"['ædmɝeɪʃən', 'ædmɚeɪʃən']"
655,admire,['ædmaɪɹ']
656,admired,"['ədmaɪɝd', 'ədmaɪɚd']"
