Word,Pronunciation
letterhead, ˈlet̬ɚhed ˈlet̬·ərˌhed ˈlet̬·ərˌhed ˈleṱɚ- ˈleṱɚ-
lettering, ˈlet̬ɚɪŋ ˈlet̬·ər·ɪŋ
letterman, ˈlet̬ɚmən
letting, ˈlet̬ɪŋ
lettuce, ˈlet̬ɪs ˈlet̬·əs
letup, ˈlet̬ˌʌp
leukemia, luːˈkiːmiə luˈki·mi·ə
leukocyte, ˈluːkəsaɪt
levee, ˈlevi ˈlev·i
level, ˈlevəl ˈlevəl ˈlevəl ˈlevəl ˈlevəl ˈlevəl ˈlev·əl ˈlev·əl ˈlev·əl ˈlev·əl
lever," ˈlevɚ ˈlevɚ ˈlev·ər, ˈli·vər ˈlev·ər, ˈli·vər ˈlevər ˈlevər"
leverage," ˈlevɚɪdʒ ˈlevɚɪdʒ ˈlevɚɪdʒ ˈlevɚɪdʒ ˈlev·ər·ɪdʒ, ˈli·vər- ˈlevərɪdʒ ˈlevərɪdʒ ˈlevərɪdʒ"
leveraged, ˈlevɚɪdʒd ˈlevɚɪdʒd ˈlevərɪdʒd ˈlevərɪdʒd
leviathan, ləˈvaɪəθən
levitate, ˈlevəteɪt
levitation, ˌlevəˈteɪʃən
levity, ˈlevət̬i ˈlev·ɪ·t̬i
levy, ˈlevi ˈlev·i
lewd, luːd lud
lexicon, ˈleksɪkɑːn ˈleksɪkɑːn ˈlek·sɪˌkɑn
lexis, ˈleksɪs
liability, ˌlaɪəˈbɪlət̬i ˌlaɪəˈbɪlət̬i ˌlɑɪ·əˈbɪl·ɪ·t̬i ˌlɑɪ·əˈbɪl·ɪ·t̬i
liable, ˈlaɪəbəl ˈlaɪəbəl ˈlɑɪ·ə·bəl ˈlɑɪ·ə·bəl
liaison," liˈeɪzɑːn liˈeɪzɑːn liˈeɪzɑːn liˈeɪzɑːn liˈeɪˌzɑn, ˈli·ə- liˈeɪˌzɑn, ˈli·ə-"
liar, ˈlaɪɚ ˈlɑɪ·ər
lib, lɪb
libel, ˈlaɪbəl ˈlɑɪ·bəl
libelous, ˈlaɪbələs
liberal, ˈlɪbərəl ˈlɪbərəl ˈlɪbərəl ˈlɪbərəl ˈlɪbərəl ˈlɪb·ər·əl ˈlɪb·ər·əl ˈlɪb·ər·əl ˈlɪb·ər·əl
liberalism, ˈlɪbərəlɪzəm ˈlɪbərəlɪzəm
liberalization, ˌlɪbərələˈzeɪʃən -ɚ-
liberally, ˈlɪbərəli ˈlɪbərəli ˈlɪbərəli ˈlɪbərəli ˈlɪb·ər·ə·li
liberate, ˈlɪbəreɪt ˈlɪbəreɪt ˈlɪb·əˌreɪt
liberated, ˈlɪbəreɪt̬ɪd ˈlɪbəreɪt̬ɪd ˈlɪbəreɪt̬ɪd ˈlɪbəreɪt̬ɪd
liberating, ˈlɪbəreɪt̬ɪŋ
liberation, ˌlɪbəˈreɪʃən ˌlɪbəˈreɪʃən
liberator, ˈlɪbəreɪt̬ɚ
libertarian, ˌlɪbɚˈteriən ˌlɪb·ərˈteər·i·ən
libertine, ˈlɪbɚtiːn ˈlɪbɚtiːn
liberty, ˈlɪbɚt̬i ˈlɪbɚt̬i ˈlɪb·ər·t̬i
libido, ləˈbiːdoʊ
librarian, laɪˈbreriən laɪˈbreriən lɑɪˈbreər·i·ən
library," ˈlaɪbreri ˈlaɪbreri ˈlaɪbreri ˈlɑɪˌbrer·i, -brər·i"
libration, laɪˈbreɪʃən
libretto, lɪˈbret̬oʊ ləˈbret̬·oʊ
lice, laɪs lɑɪs
licence, ˈlaɪsəns ˈlaɪsəns
license, ˈlaɪsəns ˈlɑɪ·səns ˈlɑɪ·səns
licensed, ˈlaɪsənst
licensee, ˌlaɪsənˈsiː ˌlaɪsənˈsiː ˌlaɪsənˈsiː
licensing, ˈlaɪsənsɪŋ
licensure, ˈlaɪsənʃɚ
licentious, laɪˈsenʃəs
lichen, ˈlaɪkən ˈlɑɪ·kən
lick, lɪk lɪk lɪk lɪk lɪk
licking, ˈlɪkɪŋ ˈlɪkɪŋ ˈlɪk·ɪŋ
licorice, ˈlɪkɚɪʃ ˈlɪk·ər·ɪʃ
lid, lɪd lɪd lɪd
lido, ˈliːdoʊ
lie, laɪ laɪ laɪ laɪ laɪ lɑɪ lɑɪ lɑɪ
liege, liːdʒ
lien, ˈliːən ˈliːən
lieutenant, luːˈtenənt luˈten·ənt
life, laɪf laɪf laɪf laɪf laɪf laɪf laɪf laɪf laɪf lɑɪf lɑɪf lɑɪf lɑɪf lɑɪf
lifeblood, ˈlaɪfblʌd ˈlɑɪfˌblʌd
lifeboat, ˈlaɪfboʊt ˈlaɪfboʊt ˈlɑɪfˌboʊt
lifeguard, ˈlaɪfɡɑːrd ˈlɑɪfˌɡɑrd
lifeless, ˈlaɪfləs ˈlaɪfləs ˈlaɪfləs ˈlɑɪf·ləs
lifelike, ˈlaɪflaɪk ˈlɑɪfˌlɑɪk
lifeline, ˈlaɪflaɪn ˈlaɪflaɪn ˈlɑɪfˌlɑɪn
lifelong, ˈlaɪflɑːŋ ˈlɑɪfˌlɔŋ
lifer, ˈlaɪfɚ ˈlaɪfɚ
lifesaver, ˈlaɪfˌseɪvɚ ˈlaɪfˌseɪvɚ ˈlaɪfˌseɪvɚ
lifespan, ˈlaɪfspæn
lifestyle, ˈlaɪfstaɪl ˈlaɪfstaɪl ˈlɑɪfˌstɑɪl
lifetime, ˈlaɪftaɪm ˈlɑɪfˌtɑɪm
lift, lɪft lɪft lɪft lɪft lɪft lɪft lɪft lɪft lɪft lɪft lɪft lɪft lɪft
liftoff, ˈlɪftˌɔf
ligament, ˈlɪɡəmənt ˈlɪɡ·ə·mənt
ligation, laɪˈɡeɪʃən lɑɪˈɡeɪ·ʃən
light, laɪt laɪt lɑɪt lɑɪt lɑɪt lɑɪt
lighted, ˈlaɪt̬ɪd
lighten, ˈlaɪt̬ən ˈlaɪt̬ən ˈlaɪt̬ən ˈlɑɪ·tən ˈlɑɪ·tən ˈlɑɪ·tən
lighter, ˈlaɪt̬ɚ ˈlaɪt̬ɚ ˈlɑɪ·t̬ər
lightheaded, ˈlɑɪtˌhed·əd
lighthearted, ˈlɑɪtˌhɑrt̬·ɪd
lighthouse, ˈlaɪthaʊs ˈlɑɪtˌhɑʊs
lighting, ˈlaɪt̬ɪŋ ˈlɑɪ·t̬ɪŋ
lightly, ˈlaɪtli ˈlaɪtli ˈlaɪtli ˈlaɪtli ˈlɑɪt·li ˈlɑɪt·li
lightness, ˈlaɪtnəs
lightning, ˈlaɪtnɪŋ ˈlɑɪt·nɪŋ
lightweight, ˈlaɪtweɪt ˈlaɪtweɪt ˈlɑɪtˌweɪt ˈlɑɪtˌweɪt
likable, ˈlaɪkəbəl ˈlɑɪ·kə·bəl
like, laɪk laɪk laɪk lɑɪk lɑɪk lɑɪk
likeable, ˈlaɪkəbəl
likelihood, ˈlaɪklihʊd ˈlɑɪk·liˌhʊd
likely, ˈlaɪkli ˈlɑɪk·li
likeness, ˈlaɪknəs ˈlɑɪk·nəs ˈlɑɪk·nəs
likes, lɑɪks
likewise, ˈlaɪkwaɪz ˈlɑɪk·wɑɪz
liking, ˈlaɪkɪŋ
lilac," ˈlaɪlək ˈlaɪlək ˈlɑɪ·lək, -læk, -lɑk"
lilt, lɪlt
lily, ˈlɪli ˈlɪl·i
limb, lɪm lɪm lɪm lɪm
limber, ˈlɪmbɚ ˈlɪm·bər
limbless, ˈlɪmləs
limbo, ˈlɪmboʊ ˈlɪmboʊ ˈlɪmboʊ
lime, laɪm laɪm laɪm laɪm lɑɪm lɑɪm
limelight, ˈlɑɪmˌlɑɪt
limerick, ˈlɪmɚɪk ˈlɪm·ər·ɪk
limestone, ˈlaɪmstoʊn ˈlɑɪmˌstoʊn
limit, ˈlɪmɪt ˈlɪmɪt ˈlɪmɪt ˈlɪm·ɪt
limitation, ˌlɪməˈteɪʃən ˌlɪm·ɪˈteɪ·ʃən
limited, ˈlɪmɪt̬ɪd ˈlɪmɪt̬ɪd ˈlɪmɪt̬ɪd ˈlɪm·ɪ·t̬ɪd
limiting, ˈlɪmɪt̬ɪŋ
limitless, ˈlɪmɪtləs
limo, ˈlɪmoʊ
limousine," ˌlɪməˈziːn ˌlɪməˈziːn ˌlɪm·əˈzin, ˈlɪm·əˌzin"
limp, lɪmp lɪmp lɪmp
linchpin, ˈlɪntʃˌpɪn
linden, ˈlɪndən
line, laɪn laɪn laɪn laɪn laɪn laɪn laɪn laɪn laɪn laɪn laɪn laɪn laɪn laɪn laɪn laɪn laɪn laɪn laɪn laɪn laɪn lɑɪn lɑɪn lɑɪn lɑɪn lɑɪn lɑɪn lɑɪn lɑɪn lɑɪn lɑɪn lɑɪn lɑɪn lɑɪn lɑɪn lɑɪn lɑɪn lɑɪn lɑɪn lɑɪn lɑɪn lɑɪn
lineage, ˈlɪniɪdʒ ˈlɪn·i·ɪdʒ
linear, ˈlɪniɚ ˈlɪniɚ ˈlɪniɚ ˈlɪniɚ ˈlɪniɚ ˈlɪniɚ ˈlɪn·i·ər ˈlɪn·i·ər ˈlɪn·i·ər
linebacker, ˈlaɪnˌbækɚ ˈlɑɪnˌbæk·ər
lined, laɪnd laɪnd laɪnd
lineman, ˈlaɪnmən ˈlaɪnmən ˈlɑɪn·mən
linen, ˈlɪnɪn ˈlɪnɪn ˈlɪn·ən
linens, ˈlɪn·ənz
liner, ˈlaɪnɚ ˈlaɪnɚ ˈlaɪnɚ ˈlaɪnɚ ˈlɑɪ·nər
lineup, ˈlɑɪnˌʌp ˈlɑɪnˌʌp
linger, ˈlɪŋɡɚ ˈlɪŋ·ɡər
lingerie," ˌlɑːnʒəˈreɪ ˌlɑn·dʒəˈreɪ, ˌlɑ̃·ʒə-, -ˈri"
lingering, ˈlɪŋɡɚɪŋ
lingo, ˈlɪŋɡoʊ ˈlɪŋɡoʊ ˈlɪŋ·ɡoʊ
linguine, lɪŋˈɡwiːneɪ
linguist, ˈlɪŋɡwɪst ˈlɪŋ·ɡwɪst
linguistic, lɪŋˈɡwɪstɪk lɪŋˈɡwɪs·tɪk
linguistically, lɪŋˈɡwɪstɪkəli
linguistics, lɪŋˈɡwɪstɪks lɪŋˈɡwɪs·tɪks
lining, ˈlaɪnɪŋ ˈlɑɪ·nɪŋ
link, lɪŋk lɪŋk lɪŋk lɪŋk lɪŋk lɪŋk
linkage, ˈlɪŋkɪdʒ ˈlɪŋ·kɪdʒ
links, lɪŋks lɪŋks
linnet, ˈlɪnɪt
linoleum, lɪˈnoʊliəm ləˈnoʊ·li·əm
linseed, ˈlɪnsiːd
lint, lɪnt lɪnt lɪnt lɪnt
lion, ˈlaɪən ˈlaɪən ˈlɑɪ·ən
lionize, ˈlaɪənaɪz
lip, lɪp lɪp lɪp lɪp lɪp lɪp
lipid, ˈlɪpɪd ˈlɪp·ɪd
liposuction, ˈlaɪpoʊˌsʌkʃən
lippy, ˈlɪpi
lipstick, ˈlɪpstɪk ˈlɪpˌstɪk
liquefaction, ˌlɪkwɪˈfækʃən
liquefy, ˈlɪkwəfaɪ ˈlɪkwəfaɪ ˈlɪk·wəˌfɑɪ
liqueur," lɪˈkjʊr lɪˈkɜr, -ˈkjʊr, -ˈkʊr"
liquid, ˈlɪkwɪd ˈlɪkwɪd ˈlɪk·wɪd
liquidate, ˈlɪkwədeɪt ˈlɪkwədeɪt ˈlɪk·wɪˌdeɪt ˈlɪk·wɪˌdeɪt
liquidation, ˌlɪkwəˈdeɪʃən
liquidator, ˈlɪkwədeɪt̬ɚ -ṱɚ
liquidity, lɪˈkwɪdət̬i lɪˈkwɪdət̬i
liquor, ˈlɪkɚ ˈlɪkɚ ˈlɪk·ər
lira, ˈlɪrə
lisle, laɪl
lisp, lɪsp lɪsp
list, lɪst lɪst lɪst
listen, ˈlɪsən ˈlɪs·ən
listener, ˈlɪsənɚ
listeria, lɪˈstɪriə
listing, ˈlɪstɪŋ ˈlɪs·tɪŋ
listless, ˈlɪstləs ˈlɪst·ləs
listlessly, ˈlɪstləsli
lit, lɪt lɪt
litany, ˈlɪtəni ˈlɪt·ən·i
lite, laɪt laɪt laɪt lɑɪt
liter, ˈliːt̬ɚ ˈli·t̬ər
literacy, ˈlɪt̬ɚəsi ˈlɪt̬ɚəsi ˈlɪt̬·ər·ə·si ˈlɪt̬·ər·ə·si
literal, ˈlɪt̬ɚəl ˈlɪt̬ɚəl ˈlɪt̬·ər·əl ˈlɪt̬·ər·əl
literally, ˈlɪt̬ɚəli ˈlɪt̬ɚəli ˈlɪt̬ɚəli ˈlɪt̬ɚəli ˈlɪt̬·ər·ə·li ˈlɪt̬·ər·ə·li
literary, ˈlɪt̬əreri ˈlɪt̬əreri ˈlɪt̬əreri ˈlɪt̬·əˌrer·i ˈlɪt̬·əˌrer·i
literate, ˈlɪt̬ɚət ˈlɪt̬ɚət ˈlɪt̬·ər·ət ˈlɪt̬·ər·ət ˈlɪt̬·ər·ət
literati, ˌlɪt̬əˈrɑːt̬iː
literature," ˈlɪt̬ɚətʃɚ ˈlɪt̬ɚətʃɚ ˈlɪt̬ɚətʃɚ ˈlɪt̬·ər·ə·tʃər, -ˌtʃʊr ˈlɪt̬·ər·ə·tʃər, -ˌtʃʊr ˈlɪt̬·ər·ə·tʃər, -ˌtʃʊr"
lithe," laɪð lɑɪð, lɑɪθ"
lithic, ˈlɪθɪk
lithium, ˈlɪθiəm ˈlɪθ·i·əm
lithograph, ˈlɪθoʊɡræf
lithographic, ˌlɪθoʊˈɡræfɪk
lithography, ˌlɪˈθɑːɡrəfi
litigant, ˈlɪt̬əɡənt ˈlɪṱ-
litigate, ˈlɪt̬əɡeɪt ˈlɪt̬·ɪˌɡeɪt ˈlɪṱ-
litigation, ˌlɪt̬əˈɡeɪʃən ˌlɪt̬·ɪˈɡeɪ·ʃən ˌlɪṱ-
litigator, ˈlɪt̬əɡeɪt̬ɚ
litigious, lɪˈtɪdʒəs
litmus, ˈlɪtməs ˈlɪt·məs
litter, ˈlɪt̬ɚ ˈlɪt̬ɚ ˈlɪt̬ɚ ˈlɪt̬ɚ ˈlɪt̬·ər ˈlɪt̬·ər
littering, ˈlɪt̬ɚɪŋ
little, ˈlɪt̬əl ˈlɪt̬əl ˈlɪt̬əl ˈlɪt̬əl ˈlɪt̬·əl ˈlɪt̬·əl ˈlɪt̬·əl ˈlɪt̬·əl
liturgy, ˈlɪt̬ɚdʒi ˈlɪt̬·ər·dʒi
livable, ˈlɪvəbəl ˈlɪvəbəl ˈlɪv·ə·bəl
live, lɪv lɪv lɪv lɪv lɪv lɪv lɪv lɪv lɪv lɪv lɪv lɪv
livelihood, ˈlaɪvlihʊd ˈlɑɪv·liˌhʊd
lively, ˈlaɪvli ˈlaɪvli ˈlɑɪv·li
liver, ˈlɪvɚ ˈlɪv·ər ˈlɪv·ər
liverwort, ˈlɪvɚwɝːt
livery, ˈlɪvɚi ˈlɪvɚi
lives, laɪvz lɑɪvz
livestock, ˈlaɪvstɑːk ˈlɑɪvˌstɑk
livid, ˈlɪvɪd ˈlɪvɪd ˈlɪv·ɪd ˈlɪv·ɪd
living, ˈlɪvɪŋ ˈlɪvɪŋ ˈlɪv·ɪŋ
lizard, ˈlɪzɚd ˈlɪz·ərd
llama, ˈlɑːmə ˈlɑ·mə
lo, loʊ
load, loʊd loʊd loʊd loʊd loʊd loʊd loʊd
loaded, ˈloʊdɪd ˈloʊdɪd ˈloʊdɪd ˈloʊdɪd ˈloʊdɪd ˈloʊ·dɪd ˈloʊ·dɪd ˈloʊ·dɪd
loaf, loʊf loʊf loʊf
loafer, ˈloʊfɚ ˈloʊfɚ ˈloʊ·fər
loam, loʊm
loan, loʊn loʊn loʊn
loath," loʊθ, loʊð"
loathe, loʊð loʊð
loathing, ˈloʊðɪŋ
loathsome, ˈloʊðsəm
loaves, loʊvz loʊvz
lob, lɑːb lɑːb lɑb
lobby, ˈlɑːbi ˈlɑ·bi ˈlɑ·bi
lobbyist, ˈlɑːbiɪst ˈlɑːbi-
lobe, loʊb loʊb loʊb loʊb
lobotomy, ləˈbɑːt̬əmi
lobster, ˈlɑːbstɚ ˈlɑb·stər
local, ˈloʊkəl ˈloʊkəl ˈloʊ·kəl ˈloʊ·kəl
locale, ləˈkɑːl loʊˈkæl
locality, loʊˈkælət̬i loʊˈkæl·i·t̬i
localization, ˌləʊkəlɪˈzeɪʃən ˌləʊkəlɪˈzeɪʃən
localize, ˈloʊkəlaɪz ˈloʊkəlaɪz ˈloʊkəlaɪz ˈloʊ- ˈloʊ-
localized, ˈloʊkəlaɪzd
locally, ˈloʊkəli
locate," loʊˈkeɪt loʊˈkeɪt ˈloʊ·keɪt, loʊˈkeɪt ˈloʊ·keɪt, loʊˈkeɪt"
location, loʊˈkeɪʃən loʊˈkeɪʃən loʊˈkeɪʃən loʊˈkeɪʃən loʊˈkeɪ·ʃən
locator, loʊˈkeɪt̬ɚ loʊˈkeɪt̬ɚ
loch, lɑːk
loci, ˈloʊsaɪ
lock, lɑːk lɑːk lɑːk lɑːk lɑːk lɑːk lɑːk lɑk lɑk lɑk
locker, ˈlɑːkɚ ˈlɑ·kər
locket, ˈlɑːkɪt ˈlɑk·ɪt
lockout, ˈlɑːkaʊt ˈlɑkˌɑʊt
locksmith, ˈlɑːksmɪθ ˈlɑkˌsmɪθ
loco, ˈloʊkoʊ
