Word,IPA Pronunciation,Cambridge Pronunciation Number
accoutrements,əkutɚmənts,1
accreditation,əkɹɛdəteɪʃən,1
accredited,əkɹɛdɪtɪd,1
accrual,əkɹuəl,1
accrue,əkɹu,1
accumulate,əkjumjəleɪt,1
accumulation,əkjumjəleɪʃən,1
accumulative,,0
accumulator,əkjumjəleɪtɚ,1
accuracy,ækjɚəsi,1
accurate,ækjɚət,1
accurately,ækjɚətli,1
accusation,ækjəzeɪʃən,1
accusatory,əkjuzətɔɹi,1
accuse,əkjuz,1
accused,əkjuzd,1
accuser,əkjuzɚ,1
accusing,əkjuzɪŋ,1
accustom,əkʌstəm,1
accustomed,əkʌstəmd,1
ace,eɪs,1
acerbic,,0
acetaminophen,,0
acetate,æsəteɪt,1
acetone,æsətoʊn,1
acetylene,əsɛtəlin,1
ache,eɪk,1
achievable,ətʃivəbəl,1
achieve,ətʃiv,1
achievement,ətʃivmənt,1
achingly,eɪkɪŋli,1
achoo,,0
achy,eɪki,1
acid,,0
acidic,əsɪdɪk,1
acidity,əsɪdəti,1
acknowledge,,0
acknowledged,,0
acknowledgment,,0
acme,ækmi,1
acne,ækni,1
acolyte,ækəlaɪt,1
acorn,eɪkɔɹn,1
acoustic,əkustɪk,1
acoustically,,0
acoustics,əkustɪks,1
acquaintance,əkweɪntəns,1
acquaintanceship,əkweɪntənsʃɪp,1
acquainted,əkweɪntɪd,1
acquiesce,ækwiɛs,1
acquiescence,ækwiɛsəns,1
acquire,əkwaɪɚ,1
acquirer,,0
acquisition,ækwəzɪʃən,1
acquisitive,əkwɪzətɪv,1
acquit,əkwɪt,1
acquittal,əkwɪtəl,1
acre,eɪkɚ,1
acreage,,0
acrid,ækɹɪd,1
acrimonious,ækɹəmoʊniəs,1
acrimony,,0
acrobat,ækɹəbæt,1
acrobatic,ækɹəbætɪk,1
acrobatics,ækɹəbætɪks,1
acronym,ækɹənɪm,1
acropolis,,0
across,əkɹɔs,2
acrylic,əkɹɪlɪk,1
act,ækt,1
acting,æktɪŋ,1
action,ækʃən,1
actionable,ækʃənəbəl,1
activate,æktəveɪt,1
activation,æktəveɪʃən,1
active,æktɪv,1
actively,æktɪvli,1
activism,,0
activist,,0
activity,æktɪvɪti,4
actor,æktɚ,1
actress,æktɹəs,1
actual,,0
actuality,æktʃuæləti,1
actualize,æktʃuəlaɪz,1
actually,æktʃuəli,1
actuarial,æktʃuɛɹiəl,1
actuary,æktʃuɛɹi,1
actuate,æktʃueɪt,1
actuator,,0
acuity,əkjuəti,1
acumen,əkjumən,1
acupuncture,,0
acute,əkjut,1
acutely,əkjutli,1
acuteness,əkjutnəs,1
ad,æd,1
adage,,0
adagio,,0
adamant,ædəmənt,1
adamantly,ædəməntli,1
adapt,ədæpt,1
adaptability,ədæptəbɪləti,1
adaptable,ədæptəbəl,1
adaptation,ædəpteɪʃən,1
adapted,ədæptɪd,1
adapter,ədæptɚ,1
adaptive,ədæptɪv,1
add,æd,1
added,ædɪd,1
addendum,ədɛndəm,1
adder,ædɚ,1
addict,,0
addicted,ədɪktɪd,1
addiction,ədɪkʃən,1
addictive,ədɪktɪv,1
addition,ədɪʃən,1
additional,ədɪʃənəl,1
additionally,,0
additive,,0
addle,ædəl,1
addled,ædəld,1
address,ædɹɛs,1
addressee,ædɹɛsi,1
adenine,ædənin,1
adenoid,ædənɔɪd,1
adept,ədɛpt,1
adequacy,ædəkwəsi,1
adequate,ædəkwət,1
adequately,,0
adhere,ədhɪɹ,1
adherence,ədhɪɹəns,1
adherent,ədhɪɹənt,1
adhesion,,0
adhesive,,0
adieu,ədu,1
adios,,0
adipose,ædəpoʊs,1
adjacent,ədʒeɪsənt,1
adjective,ædʒɪktɪv,2
adjoining,ədʒɔɪnɪŋ,1
adjourn,ədʒɝn,1
adjournment,ədʒɝnmənt,1
adjudge,ədʒʌdʒ,1
adjudicate,ədʒudɪkeɪt,2
adjudication,ədʒudəkeɪʃən,1
adjunct,,0
adjust,ədʒʌst,1
adjustable,ədʒʌstəbəl,1
adjustment,ədʒʌstmənt,1
adjutant,ædʒətənt,1
admin,ædmɪn,1
administer,,0
administration,,0
administrative,,0
administrator,,0
admirable,,0
admirably,,0
admiral,,0
admiralty,,0
admiration,,0
admire,,0
admirer,,0
admiring,,0
admissibility,ədmɪsəbɪləti,1
admissible,ədmɪsəbəl,1
admission,,0
admissions,,0
admit,ədmɪt,1
admittance,ədmɪtəns,1
admittedly,,0
admonish,,0
admonishing,,0
admonition,ædmənɪʃən,1
ado,ədu,1
adobe,ədoʊbi,1
adolescence,ædəlɛsəns,1
adolescent,ædəlɛsənt,1
adopt,ədɑpt,1
adoptable,ədɑptəbəl,1
adopted,,0
adoption,ədɑpʃən,1
adoptive,ədɑptɪv,1
adorable,ədɔɹəbəl,1
adoration,,0
adore,ədɔɹ,1
adoring,ədɔɹɪŋ,1
adorn,ədɔɹn,1
adornment,ədɔɹnmənt,1
adrenal,ədɹinəl,1
adrenalin,ədɹɛnəlɪn,1
adrenaline,ədɹɛnələn,1
adrift,ədɹɪft,1
adroit,ədɹɔɪt,1
adroitly,ədɹɔɪtli,1
adulation,ædʒəleɪʃən,1
adult,ədʌlt,2
adulterate,,0
adulterated,,0
adulterer,ədʌltɚɚ,1
adulterous,ədʌltɚəs,1
adultery,ədʌltɚi,1
adulthood,ədʌlthʊd,2
advance,ədvæns,1
advanced,ədvænst,1
advancement,ədvænsmənt,1
advantage,,0
advantaged,,0
advantageous,,0
advent,ædvɛnt,1
adventure,,0
adventurer,,0
adventurous,,0
adverb,ædvɝb,1
adverbial,,0
adversarial,ædvɚsɛɹiəl,1
adversary,ædvɚsɛɹi,1
adverse,ædvɝs,1
adversely,ædvɝsli,1
adversity,,0
advertise,ædvɚtaɪz,1
advertisement,,0
advertiser,ædvɚtaɪzɚ,1
advertising,ædvɚtaɪzɪŋ,1
advice,,0
advisable,ədvaɪzəbəl,1
advise,,0
advisedly,,0
advisement,ədvaɪzmənt,1
adviser,,0
advisory,,0
advocacy,ædvəkəsi,1
advocate,,0
aerial,ɛɹiəl,1
aerie,,0
aerobatics,,0
aerobic,ɛɹoʊbɪk,1
aerobics,,0
aerodynamic,ɛɹoʊdaɪnæmɪk,1
aerodynamically,,0
aerodynamics,ɛɹoʊdaɪnæmɪks,1
aeronautical,,0
aeronautics,,0
aerosol,ɛɹəsɑl,1
aerospace,ɛɹoʊspeɪs,1
aesthete,ɛsθit,1
aesthetic,ɛsθɛtɪk,1
aesthetically,,0
aesthetics,ɛsθɛtɪks,1
afar,əfɑɹ,1
affable,æfəbəl,1
affably,æfəbli,1
affair,əfɛɹ,1
affect,əfɛkt,1
affectation,æfɛkteɪʃən,1
affected,əfɛktɪd,1
affecting,əfɛktɪŋ,1
affection,əfɛkʃən,1
affectionate,əfɛkʃənət,1
affectionately,əfɛkʃənətli,1
affective,əfɛktɪv,1
affidavit,,0
affiliate,əfɪlieɪt,1
affiliated,əfɪlieɪtɪd,1
affiliation,əfɪlieɪʃən,1
affinity,əfɪnɪti,3
affirm,əfɝm,1
affirmation,æfɚmeɪʃən,1
affirmative,əfɝmətɪv,1
affirmatively,əfɝmətɪvli,1
affix,,0
afflict,əflɪkt,1
affliction,əflɪkʃən,1
affluence,æfluəns,1
affluent,æfluənt,1
afford,əfɔɹd,1
affordable,əfɔɹdəbəl,1
affront,əfɹʌnt,1
aficionado,,0
afire,əfaɪɹ,1
aflame,əfleɪm,1
afloat,əfloʊt,1
aflutter,əflʌtɚ,1
afoot,əfʊt,1
aforementioned,əfɔɹmɛnʃənd,1
afraid,əfɹeɪd,1
afresh,əfɹɛʃ,1
aft,æft,1
after,æftɚ,1
aftereffect,æftɚəfɛkt,1
afterglow,æftɚɡloʊ,1
afterimage,æftɚɪmɪdʒ,1
afterlife,æftɚlaɪf,1
aftermarket,,0
aftermath,æftɚmæθ,1
afternoon,æftɚnun,1
afternoons,æftɚnunz,1
aftershave,æftɚʃeɪv,1
aftershock,æftɚʃɑk,1
aftertaste,æftɚteɪst,1
afterthought,æftɚθɑt,1
afterward,æftɚwɚd,1
afterwards,æftɚwɚdz,1
again,əɡɛn,1
against,əɡɛnst,1
agar,,0
agate,æɡət,1
age,eɪdʒ,1
aged,,0
ageless,eɪdʒləs,1
agency,eɪdʒənsi,1
agenda,ədʒɛndə,1
agent,eɪdʒənt,1
ages,eɪdʒɪz,1
agglutinate,,0
aggrandize,əɡɹændaɪz,1
aggrandizement,,0
aggravate,æɡɹəveɪt,1
aggravating,æɡɹəveɪtɪŋ,1
aggravation,æɡɹəveɪʃən,1
aggregate,æɡɹəɡət,1
aggregation,æɡɹəɡeɪʃən,1
aggression,əɡɹɛʃən,1
aggressive,əɡɹɛsɪv,1
aggressively,əɡɹɛsɪvli,1
aggressiveness,əɡɹɛsɪvnəs,1
aggressor,əɡɹɛsɚ,1
aggrieved,əɡɹivd,1
aghast,əɡæst,1
agile,ædʒəl,1
agility,ədʒɪləti,1
agin,,0
aging,eɪdʒɪŋ,1
agitate,ædʒəteɪt,1
agitated,,0
agitation,ædʒəteɪʃən,1
agitator,ædʒəteɪtɚ,1
agitprop,,0
aglow,əɡloʊ,1
agnostic,æɡnɑstɪk,1
ago,əɡoʊ,1
agog,əɡɑɡ,1
agonist,æɡənɪst,1
agonize,æɡənaɪz,1
agonized,æɡənaɪzd,1
agonizing,æɡənaɪzɪŋ,1
agony,æɡəni,1
agora,,0
agoraphobia,,0
agrarian,əɡɹɛɹiən,1
agree,əɡɹi,1
agreeable,əɡɹiəbəl,1
agreed,əɡɹid,1
agreement,əɡɹimənt,1
agribusiness,,0
agricultural,,0
agriculture,,0
aground,əɡɹaʊnd,1
ah,ɑ,1
aha,ɑhɑ,1
ahead,əhɛd,1
ahoy,əhɔɪ,1
aid,eɪd,1
aide,eɪd,1
ail,eɪl,1
aileron,,0
ailing,eɪlɪŋ,1
ailment,eɪlmənt,1
aim,eɪm,1
aimless,eɪmləs,1
aimlessly,eɪmləsli,1
air,ɛɹ,1
airbag,ɛɹbæɡ,1
airbase,ɛɹbeɪs,1
airborne,ɛɹbɔɹn,1
aircraft,ɛɹkɹæft,1
aircrew,ɛɹkɹu,1
airfare,ɛɹfɛɹ,1
airfield,ɛɹfild,1
airhead,ɛɹhɛd,1
airing,ɛɹɪŋ,1
airless,ɛɹləs,1
airlift,ɛɹlɪft,1
airline,ɛɹlaɪn,1
airliner,ɛɹlaɪnɚ,1
airlock,,0
airmail,ɛɹmeɪl,1
airman,ɛɹmən,1
airplane,ɛɹpleɪn,1
airport,ɛɹpɔɹt,1
airship,ɛɹʃɪp,1
airspace,ɛɹspeɪs,1
airspeed,ɛɹspid,1
airstrike,ɛɹstɹaɪk,1
airstrip,ɛɹstɹɪp,1
airtight,ɛɹtaɪt,1
airtime,ɛɹtaɪm,1
airwaves,ɛɹweɪvz,1
airway,ɛɹweɪ,1
airworthy,ɛɹwɝði,1
airy,ɛɹi,1
aisle,aɪl,1
ajar,ədʒɑɹ,1
aka,,0
akimbo,əkɪmboʊ,1
akin,əkɪn,1
ala,,0
alabaster,æləbæstɚ,1
alacrity,əlækɹəti,1
alar,,0
alarm,əlɑɹm,1
alarmed,əlɑɹmd,1
alarming,əlɑɹmɪŋ,1
alarmingly,əlɑɹmɪŋli,1
alarmist,əlɑɹmɪst,1
alas,əlæs,1
albacore,ælbəkɔɹ,1
albatross,ælbətɹɑs,1
albeit,ɔlbiɪt,2
albino,ælbaɪnoʊ,1
album,ælbəm,1
alchemist,,0
alchemy,ælkəmi,1
alcohol,ælkəhɑl,1
alcoholic,ælkəhɑlɪk,1
alcoholism,ælkəhɔlɪzəm,2
alcove,ælkoʊv,1
alder,ɔldɚ,1
alderman,,0
ale,eɪl,1
alert,əlɝt,1
alertness,əlɝtnəs,1
alfalfa,ælfælfə,1
algae,ældʒi,1
algebra,ældʒəbɹə,1
algebraic,ældʒəbɹeɪɪk,1
algorithm,,0
alias,eɪliəs,1
alibi,,0
alien,eɪliən,1
alienate,,0
alienated,eɪliəneɪtɪd,1
alienation,eɪliəneɪʃən,1
alight,əlaɪt,1
align,əlaɪn,1
aligned,əlaɪnd,1
alignment,əlaɪnmənt,1
alike,əlaɪk,1
alimony,æləmoʊni,1
alive,əlaɪv,1
alkali,ælkəlaɪ,1
alkaline,ælkəlaɪn,1
alkaloid,ælkəlɔɪd,1
all,ɔl,3
allay,əleɪ,1
allegation,æləɡeɪʃən,1
allege,əlɛdʒ,1
alleged,əlɛdʒd,1
allegedly,,0
allegiance,əlidʒəns,1
allegorical,,0
allegory,æləɡɔɹi,1
allegro,əlɛɡɹoʊ,1
allele,,0
alleluia,,0
allergen,ælɚdʒən,1
allergic,əlɝdʒɪk,1
allergy,ælɚdʒi,1
alleviate,əlivieɪt,1
alley,æli,1
alliance,əlaɪəns,1
allied,,0
alligator,æləɡeɪtɚ,1
alliteration,,0
alliterative,,0
allocate,æləkeɪt,1
allocation,æləkeɪʃən,1
allot,əlɑt,1
allotment,əlɑtmənt,1
allotted,əlɑtɪd,1
allow,əlaʊ,1
allowable,əlaʊəbəl,1
allowance,əlaʊəns,1
alloy,ælɔɪ,1
allspice,,0
allure,əlʊɹ,1
alluring,əlʊɹɪŋ,1
allusion,əluʒən,1
alluvial,,0
ally,ælaɪ,1
almanac,ɑlmənæk,1
almighty,,0
almond,,0
almost,ɔlmoʊst,2
alms,ɑlmz,3
aloe,æloʊ,1
aloft,əlɔft,2
aloha,əloʊhɑ,1
alone,əloʊn,1
along,əlɔŋ,4
alongside,,0
aloof,əluf,1
aloud,əlaʊd,1
alpaca,ælpækə,1
alpha,ælfə,1
alphabet,ælfəbɛt,1
alphabetical,ælfəbɛtɪkəl,1
alphabetically,,0
alphabetize,,0
alphanumeric,ælfənumɛɹɪk,1
alpine,ælpaɪn,1
already,ɔlɹɛdi,3
alright,,0
also,ɔlsoʊ,2
altar,,0
alter,,0
alteration,,0
altercation,ɑltɚkeɪʃən,1
altered,,0
alternate,,0
alternately,,0
alternating,,0
alternation,,0
alternative,,0
alternatively,,0
alternator,,0
although,ɔlðoʊ,3
altimeter,æltɪmətɚ,1
altitude,æltətud,1
alto,æltoʊ,1
altogether,,0
altruism,æltɹuɪzəm,1
altruistic,,0
alum,æləm,1
aluminium,,0
aluminum,əlumənəm,1
alumna,əlʌmnə,1
alumnae,,0
alumni,əlʌmnaɪ,1
alumnus,əlʌmnəs,1
alveolar,ælviəlɚ,1
always,ɔlweɪz,6
am,æm,2
amalgam,əmælɡəm,1
amalgamation,əmælɡəmeɪʃən,1
amaranth,,0
amaretto,æməɹɛtoʊ,1
amaryllis,,0
amass,əmæs,1
amateur,æmətʃɚ,1
amateurish,,0
amaze,əmeɪz,1
amazed,əmeɪzd,1
amazement,əmeɪzmənt,1
amazing,əmeɪzɪŋ,1
amazingly,əmeɪzɪŋli,1
amazon,æməzɑn,1
amazonian,æməzoʊniən,1
ambassador,æmbæsədɚ,1
ambassadorial,æmbæsədɔɹiəl,1
amber,æmbɚ,1
ambidextrous,æmbɪdɛkstɹəs,1
ambience,æmbiəns,2
ambient,æmbiənt,1
ambiguity,æmbɪɡjuəti,1
ambiguous,æmbɪɡjuəs,1
ambition,æmbɪʃən,1
ambitious,æmbɪʃəs,1
ambitiously,æmbɪʃəsli,1
ambivalence,æmbɪvələns,1
ambivalent,æmbɪvələnt,1
amble,æmbəl,1
ambrosia,æmbɹoʊʒə,1
ambrosial,æmbɹoʊʒəl,1
ambulance,æmbjələns,1
ambulatory,æmbjələtɔɹi,1
ambush,æmbʊʃ,1
ameliorate,,0
amelioration,,0
amen,,0
amenable,,0
amend,əmɛnd,1
amendment,əmɛndmənt,1
amethyst,,0
amiability,eɪmiəbɪləti,1
amiable,eɪmiəbəl,1
amiably,eɪmiəbli,1
amicable,æmɪkəbəl,1
amicably,æmɪkəbli,1
amicus,,0
amid,əmɪd,1
amidships,əmɪdʃɪps,1
amigo,əmiɡoʊ,1
amiss,əmɪs,1
amity,,0
ammeter,æmitɚ,1
ammo,æmoʊ,1
ammonia,əmoʊnjə,2
ammonium,əmoʊniəm,1
ammunition,æmjənɪʃən,1
amnesia,æmniʒə,1
amnesiac,,0
amnesty,æmnəsti,1
amniocentesis,æmnioʊsɛntisɪs,1
amniotic,,0
amoeba,əmibə,1
amoebic,əmibɪk,1
among,əmʌŋ,1
amoral,eɪmɔɹəl,1
amorous,æmɚəs,1
amorphous,əmɔɹfəs,1
amortization,,0
amortize,,0
amount,əmaʊnt,1
amp,æmp,1
amperage,,0
ampersand,æmpɚsænd,1
amphetamine,æmfɛtəmin,2
amphibian,æmfɪbiən,1
amphibious,æmfɪbiəs,1
amphitheater,,0
amphitheatre,,0
amphora,æmfɚə,1
ample,æmpəl,1
amplification,æmpləfəkeɪʃən,1
amplifier,æmpləfaɪɚ,1
amplify,æmpləfaɪ,1
amplitude,æmplətud,1
amply,æmpli,1
amputate,æmpjəteɪt,1
amputation,æmpjəteɪʃən,1
amputee,æmpjəti,1
amuck,əmʌk,1
amulet,æmjələt,1
amuse,əmjuz,1
amused,əmjuzd,1
amusement,əmjuzmənt,1
amusing,əmjuzɪŋ,1
amusingly,əmjuzɪŋli,1
amygdala,,0
an,æn,2
anachronism,ənækɹənɪzəm,1
anachronistic,ənækɹənɪstɪk,1
anaconda,ænəkɑndə,1
anaerobic,,0
anaesthesia,,0
anaesthesiology,ænəsθiziɑlədʒi,1
anaesthetic,ænəsθɛtɪk,1
anaesthetist,,0
anagram,ænəɡɹæm,1
anal,eɪnəl,1
analgesic,,0
analog,ænəlɔɡ,5
analogous,ənæləɡəs,1
analogue,,0
analogy,ənælədʒi,1
analysis,,0
analyst,ænəlɪst,1
analytic,ænəlɪtɪk,1
analytical,ænəlɪtɪkəl,1
analyzable,ænəlaɪzəbəl,1
analyze,ænəlaɪz,1
analyzer,ænəlaɪzɚ,1
anaphylaxis,,0
anarchic,,0
anarchist,ænɚkɪst,1
anarchy,ænɚki,1
anathema,ənæθəmə,1
anatomical,ænətɑmɪkəl,1
anatomically,,0
anatomist,ənætəmɪst,1
anatomy,ənætəmi,1
ancestor,ænsɛstɚ,1
ancestral,ænsɛstɹəl,1
ancestry,ænsɛstɹi,1
anchor,æŋkɚ,1
anchorage,,0
anchorman,æŋkɚmæn,1
anchovy,æntʃoʊvi,1
ancient,,0
ancillary,ænsəlɛɹi,1
and,ənd,14
andante,ɑndɑnteɪ,1
andiron,ændaɪɚn,1
androgynous,,0
androgyny,,0
android,ændɹɔɪd,1
anecdotal,ænɪkdoʊtəl,1
anecdote,ænɪkdoʊt,1
anemia,ənimiə,1
anemic,ənimɪk,1
anemometer,ænəmɑmətɚ,1
anemone,,0
anesthesia,,0
anesthesiologist,ænəsθiziɑlədʒɪst,1
anesthesiology,ænəsθiziɑlədʒi,1
anesthetic,ænəsθɛtɪk,1
anesthetist,,0
anew,ənu,1
angel,eɪndʒəl,1
angelic,ændʒɛlɪk,1
angelica,ændʒɛlɪkə,1
angelically,,0
anger,æŋɡɚ,1
angina,ændʒaɪnə,1
angioplasty,,0
angle,æŋɡəl,1
angled,æŋɡəld,1
angler,æŋɡlɚ,1
angling,æŋɡlɪŋ,1
anglophile,,0
angora,æŋɡɔɹə,1
angrily,æŋɡɹəli,1
angry,æŋɡɹi,1
angst,,0
anguish,æŋɡwɪʃ,1
anguished,æŋɡwɪʃt,1
angular,æŋɡjəlɚ,1
animal,ænəməl,5
animate,ænəmət,1
animated,ænəmeɪtɪd,1
animation,ænəmeɪʃən,1
animator,ænəmeɪtɚ,1
animosity,ænəmɑsəti,1
animus,ænɪməs,1
anise,,0
ankh,,0
ankle,æŋkəl,1
anklet,æŋklɪt,3
annal,ænəl,1
annals,ænəlz,1
annex,ænɛks,1
annexation,ænɛkseɪʃən,1
annihilate,ənaɪəleɪt,1
annihilation,ənaɪəleɪʃən,1
anniversary,ænəvɝsɚi,1
annotate,ænəteɪt,1
announce,ənaʊns,1
announcement,,0
announcer,ənaʊnsɚ,1
annoy,ənɔɪ,1
annoyance,ənɔɪəns,1
annoyed,ənɔɪd,1
annoying,ənɔɪɪŋ,1
annual,ænjuəl,1
annually,ænjuəli,1
annuity,,0
annul,,0
annular,ænjəlɚ,1
annulment,,0
annum,ænəm,1
anode,ænoʊd,1
anoint,ənɔɪnt,1
anointed,ənɔɪntɪd,1
anomalous,ənɑmələs,1
anomaly,ənɑməli,1
anonymity,ænənɪmɪti,2
anonymous,ənɑnəməs,1
anonymously,ənɑnəməsli,1
anopheles,,0
anorexic,,0
another,ənʌðɚ,1
answer,ænsɚ,1
ant,ænt,1
antacid,,0
antagonism,æntæɡənɪzəm,1
antagonist,,0
antagonistic,æntæɡənɪstɪk,1
antagonize,æntæɡənaɪz,1
ante,ænti,1
anteater,æntitɚ,1
antebellum,,0
antecedent,,0
antelope,æntəloʊp,1
antenna,æntɛnə,1
anterior,æntɪɹiɚ,1
anthem,ænθəm,1
anthill,ænthɪl,1
anthology,,0
anthracite,ænθɹəsaɪt,1
anthrax,ænθɹæks,1
anthropological,,0
anthropologist,ænθɹəpɑlədʒɪst,1
anthropology,ænθɹəpɑlədʒi,1
anti,ænti,1
antibacterial,æntibæktɪɹiəl,1
antibiotic,æntibaɪɑtɪk,1
antibody,,0
antic,æntɪk,1
anticipate,æntɪsəpeɪt,1
anticipation,æntɪsəpeɪʃən,1
anticlimactic,æntiklaɪmæktɪk,1
anticline,,0
antics,æntɪks,1
antidepressant,æntidɪpɹɛsənt,1
antidisestablishmentarianism,,0
antidote,æntɪdoʊt,3
antifreeze,æntifɹiz,1
antigen,,0
antihistamine,,0
antimatter,,0
antioxidant,,0
antipathy,æntɪpəθi,1
antiquated,,0
antique,æntik,1
antiquity,æntɪkwəti,1
antiseptic,,0
antisocial,,0
antithesis,,0
antithetical,æntəθɛtɪkəl,1
antitoxin,,0
antitrust,,0
antiviral,æntivaɪɹəl,1
antiwar,,0
antler,æntlɚ,1
antlers,,0
antsy,æntsi,1
anus,eɪnəs,1
anvil,,0
anxiety,æŋzaɪəti,1
anxious,æŋkʃəs,1
anxiously,æŋkʃəsli,1
any,ɛni,1
anybody,,0
anyhow,ɛnihaʊ,1
anymore,ɛnimɔɹ,1
anyone,,0
anyplace,ɛnipleɪs,1
anything,ɛniθɪŋ,1
anytime,ɛnitaɪm,1
anyway,ɛniweɪ,1
anyways,ɛniweɪz,1
anywhere,ɛniwɛɹ,1
aorta,eɪɔɹtə,1
aortic,eɪɔɹtɪk,1
apace,əpeɪs,1
apart,əpɑɹt,1
apartheid,əpɑɹtaɪt,1
apartment,əpɑɹtmənt,1
apathetic,æpəθɛtɪk,1
apathy,æpəθi,1
ape,eɪp,1
aperitif,əpɛɹətif,1
aperture,æpɚtʃɚ,1
apex,eɪpɛks,1
aphasia,əfeɪʒə,1
aphid,,0
aphorism,æfɚɪzəm,1
aphrodisiac,,0
apiece,əpis,1
aplenty,əplɛnti,1
aplomb,əplɑm,1
apnea,æpniə,1
apocalypse,əpɑkəlɪps,1
apocalyptic,əpɑkəlɪptɪk,1
apogee,æpədʒi,1
apolitical,eɪpəlɪtɪkəl,1
apologetic,əpɑlədʒɛtɪk,1
apologist,əpɑlədʒɪst,1
apologize,əpɑlədʒaɪz,1
apology,əpɑlədʒi,1
apoplectic,æpəplɛktɪk,1
