Word,Possible Pronunciations
afterburner,æftɝbɝnɝ æftɝbɝnɚ æftɝbɚnɝ æftɝbɚnɚ æftɚbɝnɝ æftɚbɝnɚ æftɚbɚnɝ æftɚbɚnɚ
afterburners,æftɝbɝnɝz æftɝbɝnɚz æftɝbɚnɝz æftɝbɚnɚz æftɚbɝnɝz æftɚbɝnɚz æftɚbɚnɝz æftɚbɚnɚz
aftereffects,æftɝəfɛkts æftɚəfɛkts
aftermaths,æftɝmæθs æftɚmæθs
aftershaves,æftɝʃeɪvz æftɚʃeɪvz
aftershocks,æftɝʃɑks æftɝʃɒks æftɚʃɑks æftɚʃɒks
afterthoughts,æftɝθɑts æftɝθɒts æftɚθɑts æftɚθɒts
ag,æɡ
aga,ɑɡə ɒɡə
agamemnon,æɡəmɛmnɑn æɡəmɛmnɒn
agates,æɡəts
agee,eɪdʒi
agencies,eɪdʒənsiz
agendas,ədʒɛndəz
agents,eɪdʒənts
ager,eɪdʒɝ eɪdʒɚ
ageratum,ədʒɛɹətəm
aggie,æɡi
aggies,æɡiz
aggrandizing,æɡɹəndaɪzɪŋ
aggravated,æɡɹəveɪtɪd
aggravates,æɡɹəveɪts
aggress,əɡɹɛs
aggressions,əɡɹɛʃənz
aggressors,əɡɹɛsɝz əɡɹɛsɚz
agitating,ædʒəteɪtɪŋ
agitators,ædʒɪteɪtɝz ædʒɪteɪtɚz
agonies,æɡəniz
agreeing,əɡɹiɪŋ
agreements,əɡɹimənts
agrees,əɡɹiz
agriculturalist,æɡɹɪkʌltʃɝələst æɡɹɪkʌltʃɚələst
agua,ɑɡwə ɒɡwə
aguacate,æɡwəkeɪt
ahab,eɪhæb
aho,ɑhoʊ ɒhoʊ
ahold,əhoʊld
ahs,ɑz ɒz
ai,aɪ
aided,eɪdɪd
aides,eɪdz
aiding,eɪdɪŋ
aids,eɪdz
ailerons,eɪlɝɑnz eɪlɝɒnz eɪlɚɑnz eɪlɚɒnz
ailments,eɪlmənts
ails,eɪlz
aimed,eɪmd
aiming,eɪmɪŋ
aims,eɪmz
ainu,eɪnu
airbags,ɛɹbæɡz
airboat,ɛɹboʊt
aircrafts,ɛɹkɹæfts
airdrop,ɛɹdɹɑp ɛɹdɹɒp
aired,ɛɹd
airedale,ɛɹdeɪl
airedales,ɛɹdeɪlz
airfares,ɛɹfɛɹz
airfields,ɛɹfildz
airflow,ɛɹfloʊ
airfoil,ɛɹfɔɪl
airlifted,ɛɹlɪftɪd
airlifting,ɛɹlɪftɪŋ
airlifts,ɛɹlɪfts
airliners,ɛɹlaɪnɝz ɛɹlaɪnɚz
airlines,ɛɹlaɪnz
airlocks,ɛɹlɔks
airmen,ɛɹmɛn
airplanes,ɛɹpleɪnz
airports,ɛɹpɔɹts
airs,ɛɹz
airships,ɛɹʃɪps
airstrikes,ɛɹstɹaɪks
airstrips,ɛɹstɹɪps
airwave,ɛɹweɪv
airways,ɛɹweɪz
ais,aɪz
aisles,aɪlz
ajax,eɪdʒæks
ake,eɪk
akey,əki
akkadian,əkeɪdiən
akron,ækɹən
al,æl
alabama,æləbæmə
aladdin,ælædɪn
alai,əlaɪ
alameda,æləmidə
alamo,æləmoʊ
alamos,æləmoʊz
alan,ælən
alarms,əlɑɹmz əlɒɹmz
alaska,əlæskə
alaskan,əlæskən
alaskans,əlæskənz
alba,ælbə
alban,ɑlbən ɒlbən
albania,ælbeɪniə
albanian,ælbeɪniən
albanians,ælbeɪniənz
albany,ɔlbəni
albatrosses,ælbətɹɑsɪz ælbətɹɒsɪz
albee,əlbi
albert,ælbɝt ælbɚt
alberta,ælbɝtə ælbɚtə
albion,ælbiən
albumin,ælbjumən
albums,ælbəmz
albuquerque,ælbəkɝki ælbəkɚki
albus,ælbəs
alcazar,ɑlkəzɑɹ ɑlkəzɒɹ ɒlkəzɑɹ ɒlkəzɒɹ
alchemically,ælkɛməkli
alcoholics,ælkəhɑlɪks ælkəhɒlɪks
alcoves,ælkoʊvz
aldebaran,ældɛbɝən ældɛbɚən
alden,ɑldən ɒldən
aldermen,ɔldɝmɪn ɔldɚmɪn
aldrin,ɔldɹɪn
alec,ælɪk
alehouse,eɪlhaʊs
alem,əlɛm
aleph,ɑləf ɒləf
alerted,əlɝtɪd əlɚtɪd
alerting,əlɝtɪŋ əlɚtɪŋ
alertly,əlɝtli əlɚtli
alerts,əlɝts əlɚts
ales,eɪlz
aleutian,əluʃən
aleutians,əluʃənz
alexander,ælɪɡzændɝ ælɪɡzændɚ
alexanders,ælɪɡzændɝz ælɪɡzændɚz
alexandria,æləɡzændɹiə
alexandrine,æləɡzændɹin
alexia,əlɛksiə
alf,ælf
alfa,ælfə
alfonso,ælfɑnsoʊ ælfɒnsoʊ
alfred,ælfɹɪd
algeria,ældʒɪɹiə
algerian,ældʒɪɹiən
algerians,ældʒiɹiənz
algiers,ældʒɪɹz
algonquin,ælɡɑŋkwɪn ælɡɒŋkwɪn
algorithms,ælɡɝɪðəmz ælɡɚɪðəmz
alhambra,ælhæmbɹə
aliases,eɪliəsɪz
alibis,æləbaɪz
alice,ælɪs
alienating,eɪliəneɪtɪŋ
aliens,eɪliənz
aligning,əlaɪnɪŋ
alignments,əlaɪnmənts
aligns,əlaɪnz
alimentary,æləmɛntɝi æləmɛntɚi
aline,əlaɪn
alison,ælɪsən
aliyah,əliə
alkaloids,ælkəlɔɪdz
allah,ɑlə ɒlə
allan,ælən
allayed,əleɪd
allaying,əleɪɪŋ
allays,əleɪz
allegations,æləɡeɪʃənz
alleges,əlɛdʒɪz
allegheny,æləɡeɪni
allegiances,əlidʒənsɪz
alleging,əlɛdʒɪŋ
allegories,æləɡɔɹiz
alleles,əlɛliz
allen,ælən
allene,ælin
aller,ɔlɝ ɔlɚ
allergens,ælɝdʒənz ælɚdʒənz
allergies,ælɝdʒiz ælɚdʒiz
allergist,ælɝdʒəst ælɚdʒəst
allergists,ælɝdʒəsts ælɚdʒəsts
alleviated,əlivieɪtɪd
alleviates,əlivieɪts
alleviating,əlivieɪtɪŋ
alleys,æliz
alleyway,æliweɪ
alleyways,æliweɪz
allgood,ɔlɡʊd
alliances,əlaɪənsɪz
allies,ælaɪz
alligators,æləɡeɪtɝz æləɡeɪtɚz
allocated,æləkeɪtɪd
allocates,æləkeɪts
allocating,æləkeɪtɪŋ
allocations,æləkeɪʃənz
allotments,əlɑtmənts əlɒtmənts
allots,əlɑts əlɒts
allotting,əlɑtɪŋ əlɒtɪŋ
allowances,əlaʊənsɪz
allowed,əlaʊd
allowing,əlaʊɪŋ
allows,əlaʊz
alloys,ælɔɪz
alls,ɔlz
allude,əlud
alluded,əludəd
alludes,əludz
alluding,əludɪŋ
allured,əlʊɹd
allusions,əluʒənz
allying,ælaɪɪŋ
alma,ɑlmə ɒlmə
almonds,ɑlməndz ɒlməndz
alphabetized,ælfəbətaɪzd
alphabetizing,ælfəbətaɪzɪŋ
alps,ælps
alrighty,ɔlɹaɪti
als,ælz
alsatian,ælseɪʃən
alt,ɑlt ɒlt
altair,ɑltɛɹ ɒltɛɹ
altarpiece,ɔltɝpis ɔltɚpis
altars,ɔltɝz ɔltɚz
alterations,ɔltɝeɪʃənz ɔltɚeɪʃənz
altering,ɔltɝɪŋ ɔltɚɪŋ
alternated,ɔltɝneɪtəd ɔltɚneɪtəd
alternates,ɔltɝneɪts ɔltɚneɪts
alternatives,ɔltɝnətɪvz ɔltɚnətɪvz
alters,ɔltɝz ɔltɚz
althea,ælθiə
altimeters,æltɪmətɝz æltɪmətɚz
altiplano,æltəplɑnoʊ æltəplɒnoʊ
altitudes,æltɪtudz
altos,æltoʊz
alums,æləmz
alveoli,ælviəlaɪ
aly,eɪli
alzheimer,ælzhaɪmɝ ælzhaɪmɚ
amal,əmɑl əmɒl
amalgamated,əmælɡəmeɪtɪd
amar,əmɑɹ əmɒɹ
amargosa,əmɑɹɡoʊsə əmɒɹɡoʊsə
amarillo,æmɝɪloʊ æmɚɪloʊ
amassed,əmæst
amasses,əmæsɪz
amassing,əmæsɪŋ
amateurism,æmətʃɝɪzəm æmətʃɚɪzəm
amateurs,æmətʃɝz æmətʃɚz
amazes,əmeɪzɪz
amazons,æməzɑnz æməzɒnz
ambassadors,æmbæsədɝz æmbæsədɚz
ambassadorship,æmbæsədɝʃɪp æmbæsədɚʃɪp
ambergris,æmbɝɡɹɪs æmbɚɡɹɪs
ambers,æmbɝz æmbɚz
ambiance,æmbiəns
ambiguities,æmbəɡjuətiz
ambitions,æmbɪʃənz
ambled,æmbəld
ambler,æmblɝ æmblɚ
ambling,æmbəlɪŋ
ambrose,æmbɹoʊz
ambulances,æmbjələnsɪz
ambushed,æmbʊʃt
ambushes,æmbʊʃɪz
ambushing,æmbʊʃɪŋ
ame,eɪm
amelia,əmiljə
ameliorated,əmiliɝeɪtɪd əmiliɚeɪtɪd
amended,əmɛndɪd
amending,əmɛndɪŋ
amendments,əmɛndmənts
amends,əmɛndz
amenities,əmɛnətiz
america,əmɛɹɪkə
american,əmɛɹɪkən
americana,əmɛɹɪkænə
americanism,əmɛɹɪkənɪzəm
americanization,əmɛɹɪkənəzeɪʃən
americanize,əmɛɹɪkənaɪz
americanized,əmɛɹɪkənaɪzd
americans,əmɛɹɪkənz
americas,əmɛɹɪkəz
amex,æmɛks
ami,ɑmi ɒmi
amidst,əmɪdst
amie,æmi
amiga,əmiɡə
amigos,əmiɡoʊz
amin,ɑmin ɒmin
amino,əminoʊ
amir,əmɪɹ
amis,æmɪs
amish,ɑmɪʃ ɒmɪʃ
amman,æmən
amoebas,əmibəz
amok,əmʌk
amongst,əmʌŋst
amor,æmɝ æmɚ
amoroso,ɑmɔɹoʊsoʊ ɒmɔɹoʊsoʊ
amortized,æmɝtaɪzd æmɚtaɪzd
amortizing,æmɝtaɪzɪŋ æmɚtaɪzɪŋ
amos,eɪməs
amounted,əmaʊntɪd
amounting,əmaʊntɪŋ
amounts,əmaʊnts
amour,ɑmuɹ ɒmuɹ
amperes,æmpɝz æmpɚz
amphetamines,æmfɛtəminz
amphibians,æmfɪbiənz
amplified,æmpləfaɪd
amplifiers,æmpləfaɪɝz æmpləfaɪɚz
amplifies,æmpləfaɪz
amplifying,æmpləfaɪɪŋ
amputated,æmpjəteɪtɪd
amputations,æmpjuteɪʃənz
amputees,æmpjətiz
amsterdam,æmstɝdæm æmstɚdæm
amtrak,æmtɹæk
amulets,æmjələts
amusements,əmjuzmənts
amuses,əmjuzɪz
amy,eɪmi
ana,ɑnə ɒnə
anabaptist,ænəbæptəst
anabolic,ænəbɑlɪk ænəbɒlɪk
anachronisms,ənækɹənɪzəmz
anaesthesiologist,ænəsθiziɑlədʒɪst ænəsθiziɒlədʒɪst
anaheim,ænəhaɪm
analgesics,ænəldʒizɪks
analogies,ənælədʒiz
analyses,ænælɪsiz
analysts,ænəlɪsts
analyzed,ænəlaɪzd
analyzers,ænəlaɪzɝz ænəlaɪzɚz
analyzes,ænəlaɪzɪz
analyzing,ænəlaɪzɪŋ
anarchists,ænɝkɪsts ænɚkɪsts
anas,ænəs
anatolian,ænətoʊliən
ancestors,ænsɛstɝz ænsɛstɚz
anchored,æŋkɝd æŋkɚd
anchoring,æŋkɝɪŋ æŋkɚɪŋ
anchormen,æŋkɝmɛn æŋkɚmɛn
anchors,æŋkɝz æŋkɚz
anchovies,æntʃoʊviz
ancients,eɪntʃənts
andean,ændiən
anders,ændɝz ændɚz
anderson,ændɝsən ændɚsən
andes,ændiz
andre,ɑndɹeɪ ɒndɹeɪ
andrew,ændɹu
androids,ændɹɔɪdz
andromeda,ændɹɑmədə ændɹɒmədə
ands,ændz
ane,eɪn
anecdotally,ænɪkdoʊtəli
anecdotes,ænɪkdoʊts
anemias,ənimiəz
anesthesiologists,ænəsθiziɑlədʒɪsts ænəsθiziɒlədʒɪsts
anesthetics,ænəsθɛtɪks
aneurism,ænjʊɹɪzəm
angeles,ændʒəlɪs
angelfish,eɪndʒəlfɪʃ
angelina,ændʒɛlinə
angeline,eɪŋɡɪlaɪn
angelique,ændʒɛlik
angels,eɪndʒəlz
angered,æŋɡɝd æŋɡɚd
angering,æŋɡɝɪŋ æŋɡɚɪŋ
angers,æŋɡɝz æŋɡɚz
angiogram,ændʒioʊɡɹæm
anglers,æŋɡlɝz æŋɡlɚz
angles,æŋɡəlz
anglican,æŋɡlɪkən
anglicized,æŋlɪsaɪzd
anglo,æŋɡloʊ
anglos,æŋɡloʊz
angola,æŋɡoʊlə
angrier,æŋɡɹiɝ æŋɡɹiɚ
angriest,æŋɡɹiəst
angstrom,æŋstɹəm
angstroms,æŋstɹəmz
angulated,æŋɡjuleɪtɪd
angus,æŋɡəs
anhydride,ænhaɪdɹɪd
aniline,ænəlin
animals,ænəməlz
animates,ænəməts
animations,ænəmeɪʃənz
animators,ænəmeɪtɝz ænəmeɪtɚz
animists,ænəməsts
animosities,ænəmɑsətiz ænəmɒsətiz
anisette,ænəsɛt
ankara,æŋkɝə æŋkɚə
anklebone,æŋkəlboʊn
ankles,æŋkəlz
anklets,æŋkləts
ann,æn
anna,ænə
annapolis,ənæpəlɪs
annas,ænəz
anne,æn
annexed,ænɛkst
annexes,ænɛksɪz
annexing,ənɛksɪŋ
annie,æni
annihilated,ənaɪəleɪtɪd
annihilating,ənaɪəleɪtɪŋ
anniversaries,ænəvɝsɝiz ænəvɝsɚiz ænəvɚsɝiz ænəvɚsɚiz
anno,ænoʊ
annotated,ænəteɪtɪd
annotating,ænəteɪtɪŋ
annotations,ænəteɪʃənz
announced,ənaʊnst
announcements,ənaʊnsmɛnts
announcers,ənaʊnsɝz ənaʊnsɚz
announces,ənaʊnsɪz
announcing,ənaʊnsɪŋ
annoyances,ənɔɪənsɪz
annoys,ənɔɪz
annuals,ænuəlz
annuities,ənuɪtiz
annulled,ænəld
anomalies,ənɑməliz ənɒməliz
anorexia,ænɝɛksiə ænɚɛksiə
anorexics,ænɝɛksɪks ænɚɛksɪks
anschluss,ænʃləs
answerable,ænsɝəbəl ænsɚəbəl
answered,ænsɝd ænsɚd
answering,ænsɝɪŋ ænsɚɪŋ
answers,ænsɝz ænsɚz
antacids,æntæsədz
antagonists,æntæɡənəsts
antagonized,æntæɡənaɪzd
antagonizing,æntæɡənaɪzɪŋ
antarctic,æntɑɹktɪk æntɒɹktɪk
antarctica,æntɑɹktɪkə æntɒɹktɪkə
antares,æntɛɹiz
antecedents,æntɪsidənts
anted,æntɪd
antemortem,æntəmɔɹtəm
antennae,æntɛni
antennas,æntɛnəz
antes,æntiz
anthems,ænθəmz
anthills,ænthɪlz
anthologies,ænθɔlədʒiz
anthony,ænθɔni
anthropologists,ænθɹəpɑlədʒɪsts ænθɹəpɒlədʒɪsts
antiaircraft,æntaɪɛɹkɹæft
antibiotics,æntibaɪɑtɪks æntibaɪɒtɪks
antibodies,æntɪbɑdiz æntɪbɒdiz
anticipated,æntɪsəpeɪtəd
anticipates,æntɪsəpeɪts
anticipating,æntɪsəpeɪtɪŋ
