,CMU Word,CMU IPAs,Cambridge IPAs,CMU (Toolkit),Cambridge (Toolkit),Matched Pronunciations (IPA),Matched Pronunciations (Toolkit),Pronunciation Matches,Alternate Pronunciation,Root From Cambridge,Missing From Cambridge,Top Pronunciation (ALL),Top Pronunciation (ALT ONLY)
44,abdominal,"['əbdɑmənəl', 'əbdɒmənəl']",['æbdɑmənəl'],['ebdamenel'],['@bdamenel'],[],[],[],1,0,0,0,0
46,abducted,['æbdʌktɪd'],"['æbdʌkt', 'æbdʌkt']",['@bd^kt1d'],['@bd^kt'],[],[],[],1,1,0,1,1
47,abducted,['əbdʌktɪd'],"['æbdʌkt', 'æbdʌkt']",['ebd^kt1d'],['@bd^kt'],[],[],[],1,1,0,0,0
48,abductee,['æbdəkti'],['æbdʌkti'],['@bdekti'],['@bd^kti'],[],[],[],0,0,0,1,0
49,abductees,['æbdəktiz'],['æbdʌkti'],['@bdektiz'],['@bd^kti'],[],[],[],0,1,0,1,0
50,abducting,['æbdʌktɪŋ'],"['æbdʌkt', 'æbdʌkt']",['@bd^kt1N'],['@bd^kt'],[],[],[],1,1,0,1,1
51,abducting,['əbdʌktɪŋ'],"['æbdʌkt', 'æbdʌkt']",['ebd^kt1N'],['@bd^kt'],[],[],[],1,1,0,0,0
53,abduction,['əbdʌkʃən'],"['æbdʌkʃən', 'æbdʌkʃən']",['ebd^kSen'],['@bd^kSen'],[],[],[],1,0,0,0,0
54,abductions,['æbdʌkʃənz'],"['æbdʌkʃən', 'æbdʌkʃən']",['@bd^kSenz'],['@bd^kSen'],[],[],[],1,1,0,1,1
55,abductions,['əbdʌkʃənz'],"['æbdʌkʃən', 'æbdʌkʃən']",['ebd^kSenz'],['@bd^kSen'],[],[],[],1,1,0,0,0
57,abductor,"['əbdʌktɝ', 'əbdʌktɚ']","['æbdʌktɚ', 'æbdʌktɚ']",['ebd^kt3r'],['@bd^kt3r'],[],[],[],1,0,0,0,0
58,abductors,"['æbdʌktɝz', 'æbdʌktɚz']","['æbdʌktɚ', 'æbdʌktɚ']",['@bd^kt3rz'],['@bd^kt3r'],[],[],[],1,1,0,1,1
59,abductors,"['əbdʌktɝz', 'əbdʌktɚz']","['æbdʌktɚ', 'æbdʌktɚ']",['ebd^kt3rz'],['@bd^kt3r'],[],[],[],1,1,0,0,0
60,abducts,['æbdʌkts'],"['æbdʌkt', 'æbdʌkt', 'æbdʌkt', 'əb']",['@bd^kts'],"['eb', '@bd^kt']",[],[],[],0,1,0,1,0
68,aberrant,['æbɛɹənt'],['æbəɹənt'],['@bErent'],['@berent'],[],[],[],0,0,0,1,0
69,aberration,"['æbɝeɪʃən', 'æbɚeɪʃən']","['æbəɹeɪʃən', 'æbəɹeɪʃən']",['@b3r8Sen'],['@ber8Sen'],[],[],[],0,0,0,1,0
70,aberrations,"['æbɝeɪʃənz', 'æbɚeɪʃənz']","['æbəɹeɪʃən', 'æbəɹeɪʃən']",['@b3r8Senz'],['@ber8Sen'],[],[],[],0,1,0,1,0
72,abetted,['əbɛtɪd'],"['əbɛt', 'əbɛt']",['ebEt1d'],['ebEt'],[],[],[],0,1,0,1,0
73,abetting,['əbɛtɪŋ'],"['əbɛt', 'əbɛt']",['ebEt1N'],['ebEt'],[],[],[],0,1,0,1,0
78,abhors,['əbhɔɹz'],"['æbhɔɹ', 'æbhɔɹ', 'əb']",['ebhcrz'],"['@bhcr', 'eb']",[],[],[],0,1,0,1,0
80,abided,['əbaɪdɪd'],"['əbaɪd', 'əbaɪd']",['eb5d1d'],['eb5d'],[],[],[],0,1,0,1,0
85,abilities,['əbɪlətiz'],"['əbɪləti', 'əbɪləti', 'əbɪlɪti']",['eb1letiz'],"['eb1l1ti', 'eb1leti']",[],[],[],0,1,0,1,0
98,abnormalities,['æbnɔɹmælətiz'],['æbnɔɹmæləti'],['@bncrm@letiz'],['@bncrm@leti'],[],[],[],0,1,0,1,0
101,abo,"['ɑboʊ', 'ɒboʊ']","['eɪbioʊ', 'æboʊ']",['abo'],"['8bio', '@bo']",[],[],[],0,0,0,1,0
105,abolished,"['əbɑlɪʃt', 'əbɒlɪʃt']",['əbɑlɪʃ'],['ebal1St'],['ebal1S'],[],[],[],0,1,0,1,0
106,abolishes,"['əbɑlɪʃɪz', 'əbɒlɪʃɪz']","['əbɑlɪʃ', 'əbɑlɪʃ']",['ebal1S1z'],['ebal1S'],[],[],[],0,1,0,1,0
107,abolishing,"['əbɑlɪʃɪŋ', 'əbɒlɪʃɪŋ']",['əbɑlɪʃ'],['ebal1S1N'],['ebal1S'],[],[],[],0,1,0,1,0
110,abolitionist,['æbəlɪʃənəst'],"['æbəlɪʃənɪst', 'æbəlɪʃənɪst']",['@bel1Senest'],['@bel1Sen1st'],[],[],[],0,0,0,1,0
111,abolitionists,['æbəlɪʃənəsts'],"['æbəlɪʃənɪst', 'æbəlɪʃənɪst']",['@bel1Senests'],['@bel1Sen1st'],[],[],[],1,1,0,1,1
112,abolitionists,['æbəlɪʃənəs'],"['æbəlɪʃənɪst', 'æbəlɪʃənɪst']",['@bel1Senes'],['@bel1Sen1st'],[],[],[],1,1,0,0,0
115,abominations,"['əbɑməneɪʃənz', 'əbɒməneɪʃənz']",['əbɑməneɪʃən'],['ebamen8Senz'],['ebamen8Sen'],[],[],[],0,1,0,1,0
116,aboriginal,"['æbɝɪdʒənəl', 'æbɚɪdʒənəl']","['æbəɹɪdʒənəl', 'æbəɹɪdʒənəl']",['@b3r1Genel'],['@ber1Genel'],[],[],[],0,0,0,1,0
117,aborigine,"['æbɝɪdʒəni', 'æbɚɪdʒəni']","['æbəɹɪdʒəni', 'æbəɹɪdʒəni']",['@b3r1Geni'],['@ber1Geni'],[],[],[],0,0,0,1,0
118,aborigines,"['æbɝɪdʒəniz', 'æbɚɪdʒəniz']","['æbəɹɪdʒəni', 'æbəɹɪdʒəni']",['@b3r1Geniz'],['@ber1Geni'],[],[],[],0,1,0,1,0
120,aborted,['əbɔɹtɪd'],"['əbɔɹt', 'əbɔɹt', 'əbɔɹt']",['ebcrt1d'],['ebcrt'],[],[],[],0,1,0,1,0
121,aborting,['əbɔɹtɪŋ'],"['əbɔɹt', 'əbɔɹt', 'əbɔɹt']",['ebcrt1N'],['ebcrt'],[],[],[],0,1,0,1,0
124,abortionists,['əbɔɹʃənɪsts'],['əbɔɹʃənɪst'],['ebcrSen1sts'],['ebcrSen1st'],[],[],[],1,1,0,1,1
125,abortionists,['əbɔɹʃənɪs'],['əbɔɹʃənɪst'],['ebcrSen1s'],['ebcrSen1st'],[],[],[],1,1,0,0,0
126,abortions,['əbɔɹʃənz'],"['əbɔɹʃən', 'əbɔɹʃən', 'əbɔɹʃən']",['ebcrSenz'],['ebcrSen'],[],[],[],0,1,0,1,0
128,aborts,['əbɔɹts'],"['əbɔɹt', 'əbɔɹt', 'əbɔɹt', 'əbɔɹt', 'əbɔɹt']",['ebcrts'],['ebcrt'],[],[],[],0,1,0,1,0
130,abounded,['əbaʊndɪd'],['əbaʊnd'],['ebOnd1d'],['ebOnd'],[],[],[],0,1,0,1,0
131,abounding,['əbaʊndɪŋ'],['əbaʊnd'],['ebOnd1N'],['ebOnd'],[],[],[],0,1,0,1,0
132,abounds,['əbaʊndz'],"['əbaʊnd', 'əbɑʊnd']",['ebOndz'],"['ebaUnd', 'ebOnd']",[],[],[],0,1,0,1,0
141,abrasives,['əbɹeɪsɪvz'],"['əbɹeɪsɪv', 'əbɹeɪsɪv', 'əbɹeɪsɪv', 'zɪv', 'əbɹeɪsɪv', 'zɪv']",['ebr8s1vz'],"['ebr8s1v', 'z1v']",[],[],[],0,1,0,1,0
147,abridging,['əbɹɪdʒɪŋ'],"['əbɹɪdʒ', 'əbɹɪdʒ']",['ebr1G1N'],['ebr1G'],[],[],[],0,1,0,1,0
150,abrogated,['æbɹəɡeɪtɪd'],"['æbɹəɡeɪt', 'æbɹəɡeɪt']",['@breg8t1d'],['@breg8t'],[],[],[],0,1,0,1,0
151,abrogating,['æbɹəɡeɪtɪŋ'],"['æbɹəɡeɪt', 'æbɹəɡeɪt']",['@breg8t1N'],['@breg8t'],[],[],[],0,1,0,1,0
155,abs,['eɪbiɛs'],['æbz'],['8biEs'],['@bz'],[],[],[],1,0,0,1,1
160,absconded,"['æbskɑndəd', 'æbskɒndəd']","['æbskɑnd', 'æbskɑnd']",['@bskanded'],['@bskand'],[],[],[],0,1,0,1,0
161,absconding,"['æbskɑndɪŋ', 'æbskɒndɪŋ']","['æbskɑnd', 'æbskɑnd']",['@bskand1N'],['@bskand'],[],[],[],0,1,0,1,0
163,absences,['æbsənsɪz'],"['æbsəns', 'æbsəns', 'æbsəns', 'æbsəns']",['@bsens1z'],['@bsens'],[],[],[],0,1,0,1,0
167,absentees,['æbsəntiz'],"['æbsənti', 'æbsənti', 'æbsənti']",['@bsentiz'],['@bsenti'],[],[],[],0,1,0,1,0
169,absinthe,['æbsɪnθ'],['æbsæ̃θ'],['@bs1nT'],[''],[],[],[],0,0,0,1,0
176,absolve,"['æbzɑlv', 'æbzɒlv']","['əbzɑlv', 'əbzɑlv', 'æb', 'zɔlv']",['@bzalv'],"['ebzalv', 'zclv', '@b']",[],[],[],1,0,0,0,0
177,absolved,"['əbzɑlvd', 'əbzɒlvd']",['əbzɑlv'],['ebzalvd'],['ebzalv'],[],[],[],1,1,0,1,1
178,absolved,"['æbzɑlvd', 'æbzɒlvd']",['əbzɑlv'],['@bzalvd'],['ebzalv'],[],[],[],1,1,0,0,0
179,absolves,"['əbzɑlvz', 'əbzɒlvz']","['əbzɑlv', 'əbzɑlv', 'æb', 'zɔlv']",['ebzalvz'],"['ebzalv', 'zclv', '@b']",[],[],[],1,1,0,1,1
180,absolves,"['æbzɑlvz', 'æbzɒlvz']","['əbzɑlv', 'əbzɑlv', 'æb', 'zɔlv']",['@bzalvz'],"['ebzalv', 'zclv', '@b']",[],[],[],1,1,0,0,0
181,absolving,"['əbzɑlvɪŋ', 'əbzɒlvɪŋ']",['əbzɑlv'],['ebzalv1N'],['ebzalv'],[],[],[],1,1,0,1,1
182,absolving,"['æbzɑlvɪŋ', 'æbzɒlvɪŋ']",['əbzɑlv'],['@bzalv1N'],['ebzalv'],[],[],[],1,1,0,0,0
189,absorbs,['əbzɔɹbz'],"['əbsɔɹb', 'əbsɔɹb', 'əbsɔɹb', 'əbsɔɹb', 'əbsɔɹb', 'əbsɔɹb', 'əbzɔɹb', 'sɔɹb', 'əbzɔɹb', 'sɔɹb', 'əbzɔɹb', 'sɔɹb']",['ebzcrbz'],"['ebzcrb', 'scrb', 'ebscrb']",[],[],[],0,1,0,1,0
191,absorption,['əbsɔɹpʃən'],"['əbzɔɹpʃən', 'əbzɔɹpʃən', 'əbzɔɹpʃən', 'əbzɔɹpʃən', 'əbzɔɹpʃən', 'æb', 'sɔɹp', 'əbzɔɹpʃən', 'æb', 'sɔɹp']",['ebscrpSen'],"['@b', 'ebzcrpSen', 'scrp']",[],[],[],1,0,0,0,0
192,abstain,['əbsteɪn'],"['æbsteɪn', 'æbsteɪn', 'æbsteɪn', 'æbsteɪn', 'əb', 'æbsteɪn', 'əb']",['ebst8n'],"['eb', '@bst8n']",[],[],[],1,0,0,1,1
194,abstained,['əbsteɪnd'],"['æbsteɪn', 'æbsteɪn', 'æbsteɪn']",['ebst8nd'],['@bst8n'],[],[],[],1,1,0,1,1
195,abstained,['æbsteɪnd'],"['æbsteɪn', 'æbsteɪn', 'æbsteɪn']",['@bst8nd'],['@bst8n'],[],[],[],1,1,0,0,0
196,abstaining,['əbsteɪnɪŋ'],"['æbsteɪn', 'æbsteɪn', 'æbsteɪn']",['ebst8n1N'],['@bst8n'],[],[],[],1,1,0,1,1
197,abstaining,['æbsteɪnɪŋ'],"['æbsteɪn', 'æbsteɪn', 'æbsteɪn']",['@bst8n1N'],['@bst8n'],[],[],[],1,1,0,0,0
198,abstention,['əbstɛntʃən'],"['æbstɛnʃən', 'æbstɛnʃən']",['ebstEnCen'],['@bstEnSen'],[],[],[],1,0,0,1,1
199,abstention,['æbstɛntʃən'],"['æbstɛnʃən', 'æbstɛnʃən']",['@bstEnCen'],['@bstEnSen'],[],[],[],1,0,0,0,0
200,abstentions,['əbstɛntʃənz'],"['æbstɛnʃən', 'æbstɛnʃən']",['ebstEnCenz'],['@bstEnSen'],[],[],[],1,1,0,1,1
201,abstentions,['æbstɛntʃənz'],"['æbstɛnʃən', 'æbstɛnʃən']",['@bstEnCenz'],['@bstEnSen'],[],[],[],1,1,0,0,0
208,abstractions,['æbstɹækʃənz'],"['æbstɹækʃən', 'æbstɹækʃən', 'æbstɹækʃən', 'æbstɹækʃən']",['@bstr@kSenz'],['@bstr@kSen'],[],[],[],0,1,0,1,0
209,abstracts,['æbstɹækts'],"['æbstɹækt', 'æbstɹækt', 'æbstɹækt', 'æbstɹækt', 'æbstɹækt', 'æbstɹækt', 'æbstɹækt', 'æbstɹækt', 'æbstɹækt', 'æbstɹækt']",['@bstr@kts'],['@bstr@kt'],[],[],[],0,1,0,1,0
210,abstruse,['əbstɹus'],['æbstɹus'],['ebstrus'],['@bstrus'],[],[],[],0,0,0,1,0
213,absurdities,"['əbsɝdətiz', 'əbsɚdətiz']","['əbsɝdəti', 'əbsɝdəti']",['ebs3rdetiz'],['ebs3rdeti'],[],[],[],0,1,0,1,0
224,abused,['əbjuzd'],"['əbjuz', 'əbjuz', 'əbjuz']",['ebjuzd'],['ebjuz'],[],[],[],0,1,0,1,0
226,abusers,"['əbjuzɝz', 'əbjuzɚz']","['əbjuzɚ', 'əbjuzɚ']",['ebjuz3rz'],['ebjuz3r'],[],[],[],0,1,0,1,0
227,abuses,['əbjusɪz'],"['əbjuz', 'əbjuz', 'əbjuz', 'əbjus']",['ebjus1z'],"['ebjuz', 'ebjus']",[],[],[],1,1,0,1,1
228,abuses,['əbjuzɪz'],"['əbjuz', 'əbjuz', 'əbjuz', 'əbjus']",['ebjuz1z'],"['ebjuz', 'ebjus']",[],[],[],1,1,0,0,0
229,abusing,['əbjuzɪŋ'],"['əbjuz', 'əbjuz', 'əbjuz']",['ebjuz1N'],['ebjuz'],[],[],[],0,1,0,1,0
232,abuts,['əbʌts'],['əbʌt'],['eb^ts'],['eb^t'],[],[],[],0,1,0,1,0
239,abyssinian,['æbsɪniən'],['æbəsɪniən'],['@bs1nien'],['@bes1nien'],[],[],[],0,0,0,1,0
246,academician,['ækədəmɪʃən'],"['əkædəmɪʃən', 'əkædəmɪʃən']",['@kedem1Sen'],['ek@dem1Sen'],[],[],[],0,0,0,1,0
248,academies,['əkædəmiz'],"['əkædəmi', 'əkædəmi', 'əkædəmi', 'əkædəmi']",['ek@demiz'],['ek@demi'],[],[],[],0,1,0,1,0
254,accelerant,"['æksɛlɝənt', 'æksɛlɚənt']",['ɛksɛlɚənt'],['@ksEl3rent'],['EksEl3rent'],[],[],[],0,0,0,1,0
255,accelerate,"['æksɛlɝeɪt', 'æksɛlɚeɪt']","['ɛksɛlɚeɪt', 'ɛksɛlɚeɪt', 'ɛksɛlɚeɪt', 'ɪksɛləɹeɪt', 'æk', 'ɪksɛləɹeɪt', 'æk']",['@ksEl3r8t'],"['EksEl3r8t', '@k', '1ksEler8t']",[],[],[],0,0,0,1,0
257,accelerates,"['æksɛlɝeɪts', 'æksɛlɚeɪts']","['ɛksɛlɚeɪt', 'ɛksɛlɚeɪt', 'ɛksɛlɚeɪt', 'ɪksɛləɹeɪt', 'æk', 'ɪksɛləɹeɪt', 'æk']",['@ksEl3r8ts'],"['EksEl3r8t', '@k', '1ksEler8t']",[],[],[],0,1,0,1,0
258,accelerating,"['æksɛlɝeɪtɪŋ', 'æksɛlɚeɪtɪŋ']",['ɛksɛlɚeɪtɪŋ'],['@ksEl3r8t1N'],['EksEl3r8t1N'],[],[],[],0,0,0,1,0
259,acceleration,"['æksɛlɝeɪʃən', 'æksɛlɚeɪʃən']","['ɛksɛləɹeɪʃən', 'ɛksɛləɹeɪʃən', 'ɪksɛləɹeɪʃən', 'æk', 'ɪksɛləɹeɪʃən', 'æk']",['@ksEl3r8Sen'],"['EksEler8Sen', '@k', '1ksEler8Sen']",[],[],[],0,0,0,1,0
260,accelerator,"['æksɛlɝeɪtɝ', 'æksɛlɝeɪtɚ', 'æksɛlɚeɪtɝ', 'æksɛlɚeɪtɚ']","['ɛksɛlɚeɪtɚ', 'ɛksɛlɚeɪtɚ', 'ɛksɛlɚeɪtɚ', 'ɪksɛləɹeɪtəɹ', 'æk', 'ɪksɛləɹeɪtəɹ', 'æk', 'ɪksɛləɹeɪtəɹ', 'æk']",['@ksEl3r8t3r'],"['EksEl3r8t3r', '@k', '1ksEler8ter']",[],[],[],0,0,0,1,0
261,accelerators,"['æksɛlɝeɪtɝz', 'æksɛlɝeɪtɚz', 'æksɛlɚeɪtɝz', 'æksɛlɚeɪtɚz']","['ɛksɛlɚeɪtɚ', 'ɛksɛlɚeɪtɚ', 'ɛksɛlɚeɪtɚ', 'ɪksɛləɹeɪtəɹ', 'æk', 'ɪksɛləɹeɪtəɹ', 'æk', 'ɪksɛləɹeɪtəɹ', 'æk']",['@ksEl3r8t3rz'],"['EksEl3r8t3r', '@k', '1ksEler8ter']",[],[],[],0,1,0,1,0
262,accent,['əksɛnt'],"['æksənt', 'æksənt', 'æksənt', 'æksɛnt', 'æksɛnt', 'æksɛnt']",['eksEnt'],"['@ksent', '@ksEnt']",[],[],[],1,0,0,1,1
265,accents,['æksɛnts'],"['æksənt', 'æksənt', 'æksənt', 'æksənt', 'æksɛnt', 'æksɛnt', 'æksɛnt']",['@ksEnts'],"['@ksent', '@ksEnt']",[],[],[],0,1,0,1,0
266,accentuate,['æksɛntʃueɪt'],"['əksɛntʃueɪt', 'ɪksɛntʃueɪt', 'æk']",['@ksEnCu8t'],"['eksEnCu8t', '@k', '1ksEnCu8t']",[],[],[],0,0,0,1,0
267,accentuated,['æksɛntʃueɪtɪd'],['əksɛntʃueɪt'],['@ksEnCu8t1d'],['eksEnCu8t'],[],[],[],0,1,0,1,0
268,accentuates,['æksɛntʃueɪts'],"['əksɛntʃueɪt', 'ɪksɛntʃueɪt', 'æk']",['@ksEnCu8ts'],"['eksEnCu8t', '@k', '1ksEnCu8t']",[],[],[],0,1,0,1,0
269,accentuating,['æksɛntʃueɪtɪŋ'],['əksɛntʃueɪt'],['@ksEnCu8t1N'],['eksEnCu8t'],[],[],[],0,1,0,1,0
270,accept,['æksɛpt'],"['əksɛpt', 'əksɛpt', 'əksɛpt', 'əksɛpt', 'ɪksɛpt', 'æk', 'ɪksɛpt', 'æk', 'ɪksɛpt', 'æk', 'ɪksɛpt', 'æk']",['@ksEpt'],"['1ksEpt', '@k', 'eksEpt']",[],[],[],1,0,0,1,1
272,acceptable,['æksɛptəbəl'],"['əksɛptəbəl', 'əksɛptəbəl', 'ɪksɛptəbəl', 'æk', 'ɪksɛptəbəl', 'æk']",['@ksEptebel'],"['1ksEptebel', '@k', 'eksEptebel']",[],[],[],1,0,0,1,1
274,acceptance,['æksɛptəns'],"['əksɛptəns', 'əksɛptəns', 'əksɛptəns', 'ɪksɛptəns', 'æk', 'ɪksɛptəns', 'æk']",['@ksEptens'],"['eksEptens', '@k', '1ksEptens']",[],[],[],1,0,0,1,1
276,acceptances,['æksɛptənsɪz'],"['əksɛptəns', 'əksɛptəns', 'əksɛptəns', 'ɪksɛptəns', 'æk', 'ɪksɛptəns', 'æk']",['@ksEptens1z'],"['eksEptens', '@k', '1ksEptens']",[],[],[],0,1,0,1,0
277,accepted,['æksɛptɪd'],['əksɛptɪd'],['@ksEpt1d'],['eksEpt1d'],[],[],[],0,0,0,1,0
278,accepting,['æksɛptɪŋ'],['əksɛptɪŋ'],['@ksEpt1N'],['eksEpt1N'],[],[],[],1,0,0,1,1
280,accepts,['æksɛpts'],"['əksɛpt', 'əksɛpt', 'əksɛpt', 'əksɛpt', 'ɪksɛpt', 'æk', 'ɪksɛpt', 'æk', 'ɪksɛpt', 'æk', 'ɪksɛpt', 'æk']",['@ksEpts'],"['1ksEpt', '@k', 'eksEpt']",[],[],[],0,1,0,1,0
282,accessed,['æksɛst'],"['æksɛs', 'æksɛs', 'æksɛs']",['@ksEst'],['@ksEs'],[],[],[],0,1,0,1,0
283,accessibility,['æksɛsəbɪlɪti'],"['əksɛsəbɪləti', 'əksɛsəbɪləti', 'əksɛsəbɪləti', 'ɪksɛsəbɪlɪti', 'æk']",['@ksEseb1l1ti'],"['eksEseb1leti', '@k', '1ksEseb1l1ti']",[],[],[],0,0,0,1,0
284,accessible,['æksɛsəbəl'],"['əksɛsəbəl', 'əksɛsəbəl', 'əksɛsəbəl', 'ɪksɛsəbəl', 'æk']",['@ksEsebel'],"['1ksEsebel', '@k', 'eksEsebel']",[],[],[],0,0,0,1,0
285,accessing,['æksɛsɪŋ'],"['æksɛs', 'æksɛs', 'æksɛs']",['@ksEs1N'],['@ksEs'],[],[],[],0,1,0,1,0
287,accessories,"['æksɛsɝiz', 'æksɛsɚiz']","['əksɛsəɹi', 'əksɛsəɹi', 'əksɛsəɹi', 'əksɛsəɹi', 'ɪksɛsəɹi', 'æk', 'ɪksɛsəɹi', 'æk']",['@ksEs3riz'],"['eksEseri', '@k', '1ksEseri']",[],[],[],0,1,0,1,0
288,accessorize,"['æksɛsɝaɪz', 'æksɛsɚaɪz']",['əksɛsɚaɪz'],['@ksEs3r5z'],['eksEs3r5z'],[],[],[],0,0,0,1,0
289,accessorized,"['æksɛsɝaɪzd', 'æksɛsɚaɪzd']",['əksɛsɚaɪz'],['@ksEs3r5zd'],['eksEs3r5z'],[],[],[],0,1,0,1,0
290,accessory,"['æksɛsɝi', 'æksɛsɚi']","['əksɛsəɹi', 'əksɛsəɹi', 'ɪksɛsəɹi', 'æk', 'ɪksɛsəɹi', 'æk']",['@ksEs3ri'],"['eksEseri', '@k', '1ksEseri']",[],[],[],0,0,0,1,0
293,accidental,['æksədɛnəl'],['æksədɛntəl'],['@ksedEnel'],['@ksedEntel'],[],[],[],1,0,0,0,0
295,accidentally,['æksədɛnəli'],['æksədɛntəli'],['@ksedEneli'],['@ksedEnteli'],[],[],[],1,0,0,0,0
297,accidents,['æksədənts'],"['æksədənt', 'æksədənt', 'æksədənt', 'dɛnt', 'æksədənt', 'dɛnt']",['@ksedents'],"['@ksedent', 'dEnt']",[],[],[],0,1,0,1,0
300,acclaims,['əkleɪmz'],"['əkleɪm', 'əkleɪm']",['ekl8mz'],['ekl8m'],[],[],[],0,1,0,1,0
303,acclimated,['ækləmeɪtɪd'],"['ækləmeɪt', 'ækləmeɪt']",['@klem8t1d'],['@klem8t'],[],[],[],0,1,0,1,0
305,accolades,['ækəleɪdz'],['ækəleɪd'],['@kel8dz'],['@kel8d'],[],[],[],0,1,0,1,0
307,accommodated,"['əkɑmədeɪtəd', 'əkɒmədeɪtəd']","['əkɑmədeɪt', 'əkɑmədeɪt', 'əkɑmədeɪt', 'əkɑmədeɪt']",['ekamed8ted'],['ekamed8t'],[],[],[],0,1,0,1,0
308,accommodates,"['əkɑmədeɪts', 'əkɒmədeɪts']","['əkɑmədeɪt', 'əkɑmədeɪt', 'əkɑmədeɪt', 'əkɑmədeɪt', 'əkɑmədeɪt', 'əkɑmədeɪt']",['ekamed8ts'],['ekamed8t'],[],[],[],0,1,0,1,0
313,accompanied,['əkʌmpənid'],"['əkʌmpəni', 'əkʌmpəni', 'əkʌmpəni', 'əkʌmpəni']",['ek^mpenid'],['ek^mpeni'],[],[],[],0,1,0,1,0
314,accompanies,['əkʌmpəniz'],"['əkʌmpəni', 'əkʌmpəni', 'əkʌmpəni', 'əkʌmpəni', 'əkʌmpəni', 'əkʌmpəni']",['ek^mpeniz'],['ek^mpeni'],[],[],[],0,1,0,1,0
315,accompaniment,['əkʌmpnɪmənt'],"['əkʌmpənɪmənt', 'əkʌmpənɪmənt', 'əkʌmpənimənt', 'əkʌmpənimənt']",['ek^mpn1ment'],"['ek^mpen1ment', 'ek^mpeniment']",[],[],[],1,0,0,1,1
316,accompaniment,['əkʌmpnimənt'],"['əkʌmpənɪmənt', 'əkʌmpənɪmənt', 'əkʌmpənimənt', 'əkʌmpənimənt']",['ek^mpniment'],"['ek^mpen1ment', 'ek^mpeniment']",[],[],[],1,0,0,0,0
317,accompanist,['əkʌmpənəst'],['əkʌmpənɪst'],['ek^mpenest'],['ek^mpen1st'],[],[],[],0,0,0,1,0
322,accomplice,"['əkɑmpləs', 'əkɒmpləs']","['əkɑmplɪs', 'əkɑmplɪs']",['ekamples'],['ekampl1s'],[],[],[],0,0,0,1,0
323,accomplices,"['əkɑmpləsəz', 'əkɒmpləsəz']","['əkɑmplɪs', 'əkɑmplɪs']",['ekamplesez'],['ekampl1s'],[],[],[],0,1,0,1,0
326,accomplishes,"['əkɑmplɪʃɪz', 'əkɒmplɪʃɪz']","['əkɑmplɪʃ', 'əkɑmplɪʃ']",['ekampl1S1z'],['ekampl1S'],[],[],[],0,1,0,1,0
327,accomplishing,"['əkɑmplɪʃɪŋ', 'əkɒmplɪʃɪŋ']",['əkɑmplɪʃ'],['ekampl1S1N'],['ekampl1S'],[],[],[],0,1,0,1,0
