Word,Pronunciation
directorial, ˌdɪrekˈtɔːriəl ˌdɪrekˈtɔːriəl dɪˌrekˈtɔriəl
directorship, daɪˈrektɚʃɪp dɪˈrektəʃɪp
directory," dɪˈrektɚi dəˈrek·tə·ri, dɑɪ-"
dirge, dɝːdʒ
dirk, dɝːk
dirt, dɝːt dɝːt dɝːt dɝːt dɜrt dɜrt dɜrt dɜrt
dirty, ˈdɝːt̬i ˈdɝːt̬i ˈdɝːt̬i ˈdɝːt̬i ˈdɜr·t̬i ˈdɜr·t̬i ˈdɜr·t̬i
dis, dɪs dɪs
disability, ˌdɪsəˈbɪlət̬i ˌdɪs·əˈbɪl·ɪ·t̬i
disable, dɪˈseɪbəl dɪˈseɪbəl dɪsˈeɪ·bəl
disabled, dɪˈseɪbəld dɪˈseɪbəld dɪsˈeɪ·bəld
disabling, dɪˈseɪblɪŋ
disabuse, ˌdɪsəˈbjuːz
disadvantage, ˌdɪsədˈvænt̬ɪdʒ ˌdɪs·ədˈvæn·tɪdʒ
disadvantaged, ˌdɪsədˈvænt̬ɪdʒd ˌdɪs·ədˈvæn·tɪdʒd
disadvantageous, ˌdɪsˌædvænˈteɪdʒəs
disaffected, ˌdɪsəˈfektɪd ˌdɪsəˈfektɪd ˌdɪs·əˈfek·tɪd
disagree, ˌdɪsəˈɡriː ˌdɪsəˈɡriː ˌdɪs·əˈɡri
disagreeable, ˌdɪsəˈɡriːəbəl ˌdɪs·əˈɡri·ə·bəl
disagreement, ˌdɪsəˈɡriːmənt ˌdɪs·əˈɡri·mənt
disallow, ˌdɪsəˈlaʊ
disappear, ˌdɪsəˈpɪr ˌdɪsəˈpɪr ˌdɪs·əˈpɪər
disappearance, ˌdɪsəˈpɪrəns ˌdɪs·əˈpɪər·əns
disappoint, ˌdɪsəˈpɔɪnt ˌdɪs·əˈpɔɪnt
disappointed, ˌdɪsəˈpɔɪnt̬ɪd ˌdɪs·əˈpɔɪn·tɪd
disappointing, ˌdɪsəˈpɔɪnt̬ɪŋ ˌdɪs·əˈpɔɪn·tɪŋ
disappointment, ˌdɪsəˈpɔɪntmənt ˌdɪsəˈpɔɪntmənt ˌdɪs·əˈpɔɪnt·mənt
disapproval, ˌdɪsəˈpruːvəl ˌdɪs·əˈpru·vəl
disapprove, ˌdɪsəˈpruːv ˌdɪs·əˈpruv
disapproving, ˌdɪsəˈpruːvɪŋ
disarm, dɪˈsɑːrm dɪˈsɑːrm dɪsˈɑrm dɪsˈɑrm
disarmament, dɪˈsɑːrməmənt dɪsˈɑr·mə·mənt
disarming, dɪˈsɑːrmɪŋ dɪsˈɑr·mɪŋ
disarmingly, dɪˈsɑːrmɪŋli
disarray, ˌdɪsəˈreɪ ˌdɪs·əˈreɪ
disassemble, ˌdɪsəˈsembəl
disassociate, ˌdɪsəˈsoʊsieɪt
disaster, dɪˈzæstɚ dɪˈzæs·tər dɪˈzæs·tər
disastrous, dɪˈzæstrəs dɪˈzæs·trəs dɪˈzæs·trəs
disastrously, dɪˈzæstrəsli
disavow, ˌdɪsəˈvaʊ ˌdɪs·əˈvɑʊ
disband, dɪsˈbænd dɪsˈbænd
disbar, dɪsˈbɑːr -ˈbɑːr
disbelief, ˌdɪsbɪˈliːf ˌdɪs·bəˈlif
disbelieve, ˌdɪsbɪˈliːv
disburse, dɪsˈbɝːs -ˈbɝːs
disbursement, dɪsˈbɝːsmənt dɪsˈbɝːsmənt -ˈbɝːsmənt
disc, dɪsk dɪsk dɪsk dɪsk dɪsk
discard, dɪˈskɑːrd dɪˈskɑːrd dɪsˈkɑrd
discern," dɪˈsɝːn dɪˈsɜrn, -ˈzɜrn"
discernible," dɪˈsɝːnəbəl dɪˈsɜr·nə·bəl, -ˈzɜr-"
discerning," dɪˈsɝːnɪŋ dɪˈsɜr·nɪŋ, -ˈzɜr-"
discernment, dɪˈsɝːnmənt
discharge," dɪsˈtʃɑːrdʒ dɪsˈtʃɑːrdʒ dɪsˈtʃɑːrdʒ dɪsˈtʃɑːrdʒ dɪsˈtʃɑrdʒ, ˈdɪs·tʃɑrdʒ dɪsˈtʃɑrdʒ, ˈdɪs·tʃɑrdʒ dɪsˈtʃɑrdʒ, ˈdɪs·tʃɑrdʒ dɪsˈtʃɑrdʒ, ˈdɪs·tʃɑrdʒ dɪsˈtʃɑrdʒ, ˈdɪs·tʃɑrdʒ"
disciple, dɪˈsaɪpəl dɪˈsɑɪ·pəl dɪˈsɑɪ·pəl
disciplinarian, ˌdɪsəplɪˈneriən
disciplinary, ˈdɪsəplɪneri ˈdɪs·ə·pləˌner·i ˈdɪsəplɪneri
discipline," ˈdɪsəplɪn ˈdɪsəplɪn ˈdɪsəplɪn ˈdɪs·ə·plən, -ˌplɪn ˈdɪs·ə·plən, -ˌplɪn ˈdɪs·ə·plən, -ˌplɪn"
disciplined, ˈdɪsəplɪnd
disclaim, dɪˈskleɪm dɪsˈkleɪm
disclaimer, dɪˈskleɪmɚ dɪˈskleɪmɚ dɪsˈkleɪ·mər
disclose, dɪˈskloʊz dɪˈskloʊz
disclosure, dɪˈskloʊʒɚ dɪˈskloʊ·ʒər
disco, ˈdɪskoʊ ˈdɪskoʊ ˈdɪs·koʊ
discoloration, dɪˌskʌləˈreɪʃən
discolored, dɪˈskʌlɚd
discombobulate, ˌdɪskəmˈbɑːbjəleɪt
discomfort, dɪˈskʌmfɚt dɪsˈkʌm·fərt dɪsˈkʌm·fərt
disconcerting, ˌdɪskənˈsɝːt̬ɪŋ
disconnect, ˌdɪskəˈnekt ˌdɪskəˈnekt ˌdɪskəˈnekt ˌdɪs·kəˈnekt ˌdɪs·kəˈnekt
disconnected, ˌdɪskəˈnektɪd ˌdɪskəˈnektɪd ˌdɪskəˈnektɪd ˌdɪskəˈnektɪd
disconnection, ˌdɪskəˈnekʃən ˌdɪskəˈnekʃən ˌdɪskəˈnekʃən ˌdɪskəˈnekʃən
discontent, ˌdɪskənˈtent ˌdɪs·kənˈtent
discontented, ˌdɪskənˈtent̬ɪd
discontinuation, ˌdɪskənˌtɪnjuˈeɪʃən
discontinue, ˌdɪskənˈtɪnjuː ˌdɪs·kənˈtɪn·ju
discontinued, ˌdɪskənˈtɪnjuːd
discord, ˈdɪskɔːrd ˈdɪskɔːrd ˈdɪs·kɔrd
discordant, dɪˈskɔːrdənt dɪˈskɔːrdənt
discotheque, ˈdɪskətek
discount, ˈdɪskaʊnt ˈdɪs·kɑʊnt
discounted, ˈdɪskaʊntɪd ˈdɪskaʊntɪd
discounting, ˈdɪskaʊntɪŋ ˈdɪskaʊntɪŋ ˈdɪskaʊntɪŋ
discourage," dɪˈskɝːɪdʒ dɪˈskɝːɪdʒ dɪˈskɜr·ɪdʒ, -ˈskʌr- dɪˈskɜr·ɪdʒ, -ˈskʌr-"
discouraged, dɪˈskɝːɪdʒd
discouragement," dɪˈskɝːɪdʒmənt dɪˈskɝːɪdʒmənt dɪˈskər·ɪdʒ·mənt, -ˈskʌr-"
discouraging," dɪˈskɝːɪdʒɪŋ dɪˈskɜr·ə·dʒɪŋ, -ˈskʌr-"
discourse," ˈdɪskɔːrs ˈdɪskɔːrs ˈdɪskɔːrs ˈdɪs·kɔrs, -koʊrs"
discover, dɪˈskʌvɚ dɪˈskʌvɚ dɪˈskʌv·ər dɪˈskʌv·ər
discoverer, dɪˈskʌvɚɚ
discovery, dɪˈskʌvɚi dɪˈskʌvɚi dɪˈskʌv·ə·ri dɪˈskʌv·ə·ri
discredit, dɪˈskredɪt dɪsˈkred·ɪt
discreet, dɪˈskriːt dɪˈskrit
discreetly, dɪˈskriːtli
discrepancy, dɪˈskrepənsi dɪˈskrep·ən·si
discrete, dɪˈskriːt dɪˈskrit
discretion, dɪˈskreʃən dɪˈskreʃən dɪˈskreʃ·ən
discretionary, dɪˈskreʃəneri dɪˈskreʃəneri dɪˈskreʃəneri dɪˈskreʃ·əˌner·i
discriminate, dɪˈskrɪməneɪt dɪˈskrɪməneɪt dɪˈskrɪm·əˌneɪt dɪˈskrɪm·əˌneɪt
discriminating, dɪˈskrɪməneɪt̬ɪŋ dɪˈskrɪm·əˌneɪ·t̬ɪŋ
discrimination, dɪˌskrɪməˈneɪʃən dɪˌskrɪməˈneɪʃən dɪˌskrɪm·əˈneɪ·ʃən dɪˌskrɪm·əˈneɪ·ʃən dɪˌskrɪm·əˈneɪ·ʃən
discriminative, dɪˈskrɪmənət̬ɪv dɪˈskrɪmənət̬ɪv
discriminatory," dɪˈskrɪmənətɔːri dɪˈskrɪm·ə·nəˌtɔr·i, -ˌtoʊr·i dɪˈskrɪmɪnətɔri"
discus, ˈdɪskəs ˈdɪs·kəs
discuss, dɪˈskʌs dɪˈskʌs dɪˈskʌs
discussion, dɪˈskʌʃən dɪˈskʌʃ·ən
disdain, dɪsˈdeɪn dɪsˈdeɪn
disdainful, dɪsˈdeɪnfəl
disease, dɪˈziːz dɪˈziːz dɪˈziz
diseased, dɪˈziːzd
disembark, ˌdɪsɪmˈbɑːrk ˌdɪs·əmˈbɑrk
disembarkation, ˌdɪsɪmbɑːrˈkeɪʃən
disembodied, ˌdɪsɪmˈbɑːdid ˌdɪs·əmˈbɑd·id
disenchanted, ˌdɪsɪnˈtʃænt̬ɪd ˌdɪs·ənˈtʃænt·ɪd
disenchantment, ˌdɪsɪnˈtʃæntmənt
disenfranchise, ˌdɪsɪnˈfræntʃaɪz ˌdɪs·ənˈfræn·tʃɑɪz
disenfranchised, ˌdɪsɪnˈfræntʃaɪzd ˌdɪsɪnˈfræntʃaɪzd
disenfranchisement, ˌdɪsɪnˈfræntʃaɪzmənt ˌdɪsɪnˈfræntʃaɪzmənt
disengage, ˌdɪsɪŋˈɡeɪdʒ ˌdɪsɪŋˈɡeɪdʒ ˌdɪsɪŋˈɡeɪdʒ ˌdɪsɪŋˈɡeɪdʒ ˌdɪs·ənˈɡeɪdʒ
disengaged, ˌdɪsɪŋˈɡeɪdʒd
disengagement, ˌdɪsɪŋˈɡeɪdʒmənt
disentangle, ˌdɪsɪnˈtæŋɡəl ˌdɪs·ənˈtæŋ·ɡəl
disfavor, dɪsˈfeɪvɚ
disfigure, dɪsˈfɪɡjɚ dɪsˈfɪɡ·jər
disgrace, dɪsˈɡreɪs dɪsˈɡreɪs
disgraced, dɪsˈɡreɪst
disgraceful, dɪsˈɡreɪsfəl
disgruntled, dɪsˈɡrʌnt̬əld dɪsˈɡrʌn·təld
disguise, dɪsˈɡaɪz dɪsˈɡaɪz dɪsˈɡɑɪz dɪsˈɡɑɪz
disguised, dɪsˈɡaɪzd
disgust, dɪsˈɡʌst dɪsˈɡʌst
disgusted, dɪsˈɡʌstɪd
disgusting, dɪsˈɡʌstɪŋ
dish, dɪʃ dɪʃ dɪʃ dɪʃ dɪʃ dɪʃ
disharmony, dɪsˈhɑːrməni
disheartened, dɪsˈhɑːrtənd
disheartening, dɪsˈhɑːrtənɪŋ dɪsˈhɑr·tən·ɪŋ
disheveled, dɪˈʃevəld dɪˈʃev·əld
dishonest, dɪˈsɑːnɪst dɪsˈɑn·əst
dishonestly, dɪˈsɑːnɪstli
dishonesty, dɪˈsɑːnəsti
dishonor, dɪˈsɑːnɚ dɪsˈɑn·ər
dishonorable, dɪˈsɑːnɚəbəl dɪˈsɑːnɚəbəl
dishwasher," ˈdɪʃˌwɑːʃɚ ˈdɪʃˌwɑːʃɚ ˈdɪʃˌwɑʃ·ər, -wɔ·ʃər"
disillusion, ˌdɪsɪˈluːʒən ˌdɪs·əˈlu·ʒən
disillusioned, ˌdɪsɪˈluːʒənd
disillusionment, ˌdɪsɪˈluːʒənmənt
disinclination, ˌdɪsɪŋkləˈneɪʃən
disinfect, ˌdɪsɪnˈfekt ˌdɪs·ɪnˈfekt
disinfectant, ˌdɪsɪnˈfekt̬ənt ˌdɪs·ɪnˈfek·tənt
disinfection, ˌdɪsɪnˈfekʃən
disinformation, ˌdɪsɪnfɚˈmeɪʃən
disingenuous, ˌdɪsɪnˈdʒenjuəs ˌdɪs·ɪnˈdʒen·ju·əs
disintegrate, dɪˈsɪnt̬əɡreɪt dɪˈsɪnt̬əɡreɪt dəˈsɪn·tɪˌɡreɪt
disintegration, ˌdɪsɪnt̬əˈɡreɪʃən
disinterest," dɪsˈɪntrɪst dɪsˈɪntrɪst dɪsˈɪn·trəst, -ˈɪnt·ə·rəst"
disinterested," dɪˈsɪntrɪstɪd dɪsˈɪn·trə·stɪd, -ˈɪnt·əˌres·tɪd dɪsˈɪn·trə·stɪd, -ˈɪnt·əˌres·tɪd"
disjointed, dɪsˈdʒɔɪnt̬ɪd dɪsˈdʒɔɪn·tɪd
disk, dɪsk dɪsk dɪsk dɪsk dɪsk dɪsk
diskette, dɪsˈket dɪsˈket
dislike, dɪˈslaɪk dɪsˈlɑɪk
dislocate, dɪˈsloʊkeɪt dɪˈsloʊkeɪt dɪsˈloʊ·keɪt
dislocated, dɪˈsloʊkeɪt̬id dɪˈsloʊkeɪt̬id dɪˈsloʊkeɪt̬id
dislocation, ˌdɪsloʊˈkeɪʃən ˌdɪsloʊˈkeɪʃən
dislodge, dɪˈslɑːdʒ dɪsˈlɑdʒ
disloyal, ˌdɪsˈlɔɪəl dɪsˈlɔɪ·əl
disloyalty, ˌdɪsˈlɔɪəlti
dismal, ˈdɪzməl ˈdɪzməl ˈdɪz·məl
dismantle, dɪˈsmænt̬əl dɪˈsmænt̬əl dɪˈsmænt̬əl dɪsˈmænt·əl
dismay, dɪˈsmeɪ dɪsˈmeɪ
dismayed, dɪˈsmeɪd
dismaying, dɪˈsmeɪɪŋ
dismember, dɪˈsmembɚ dɪˈsmembɚ dɪsˈmem·bər
dismemberment, dɪˈsmembɚmənt dɪˈsmembɚmənt
dismiss, dɪˈsmɪs dɪˈsmɪs dɪˈsmɪs dɪˈsmɪs dɪsˈmɪs dɪsˈmɪs dɪsˈmɪs
dismissal, dɪˈsmɪsəl dɪˈsmɪsəl dɪsˈmɪs·əl
dismissive, dɪˈsmɪsɪv dɪsˈmɪs·ɪv
disobedience, ˌdɪsəˈbiːdiəns
disobedient, ˌdɪsəˈbiːdiənt ˌdɪs·əˈbid·i·ənt
disobey, ˌdɪsəˈbeɪ ˌdɪs·əˈbeɪ
disorder, dɪˈsɔːrdɚ dɪˈsɔːrdɚ dɪˈsɔːrdɚ dɪsˈɔr·dər dɪsˈɔr·dər dɪsˈɔr·dər
disordered, dɪˈsɔːrdɚd dɪˈsɔːrdɚd
disorderly, dɪˈsɔːrdɚli dɪˈsɔːrdɚli dɪsˈɔr·dər·li dɪsˈɔr·dər·li
disorganization, dɪˌsɔːrɡənəˈzeɪʃən dɪˌsɔːrɡənəˈzeɪʃən
disorganized, dɪˈsɔːrɡənaɪzd dɪˈsɔːrɡənaɪzd dɪsˈɔr·ɡəˌnɑɪzd
disorient, dɪˈsɔːriənt dɪsˈɔr·iˌent
disorientation, ˌdɪsɔːrienˈteɪʃən
disoriented, dɪˈsːɔriənt̬ɪd
disorienting, dɪˈsɔːriənt̬ɪŋ
disown, dɪˈsoʊn dɪsˈoʊn
disparage, dɪˈsperɪdʒ dɪˈspær·ɪdʒ
disparaging, dɪˈsperɪdʒɪŋ
disparagingly, dɪˈsperɪdʒɪŋli
disparate," ˈdɪspɚət ˈdɪs·pə·rət, dɪˈspær·ət"
disparity, dɪˈsperət̬i dɪˈspær·ɪ·t̬i
dispassionate, dɪˈspæʃənət dɪsˈpæʃ·ə·nət
dispassionately, dɪˈspæʃənətli
dispatch, dɪˈspætʃ dɪˈspætʃ dɪˈspætʃ
dispatcher, ˈdɪspætʃɚ
dispel, dɪˈspel dɪˈspel
dispensable, dɪˈspensəbəl
dispensary, dɪˈspensɚi dɪˈspen·sə·ri
dispensation, ˌdɪspenˈseɪʃən ˌdɪspenˈseɪʃən
dispense, dɪˈspens dɪˈspens dɪˈspens
dispenser, dɪˈspensɚ dɪˈspen·sər
dispersal, dɪˈspɝːsəl
disperse, dɪˈspɝːs dɪˈspɜrs
dispersed, dɪˈspɝːst
dispersion, dɪˈspɝːʃən dɪˈspɝːʃən dɪˈspɜr·ʒən dɪˈspɜr·ʒən
dispirited, dɪˈspɪrət̬ɪd dɪˈspɪr·ɪ·t̬ɪd
displace, dɪˈspleɪs dɪˈspleɪs dɪˈspleɪs dɪˈspleɪs
displaced, dɪˈspleɪst dɪˈspleɪst dɪˈspleɪst
displacement, dɪˈspleɪsmənt dɪˈspleɪsmənt dɪˈspleɪ·smənt dɪˈspleɪ·smənt dɪˈspleɪsmənt
display, dɪˈspleɪ dɪˈspleɪ dɪˈspleɪ dɪˈspleɪ dɪˈspleɪ
displease, dɪˈspliːz dɪsˈpliz
displeased, dɪˈspliːzd
displeasure, dɪˈspleʒɚ
disposable, dɪˈspoʊzəbəl dɪˈspoʊzəbəl dɪˈspoʊ·zə·bəl
disposal, dɪˈspoʊzəl dɪˈspoʊ·zəl
dispose, dɪˈspoʊz
disposed, dɪˈspoʊzd dɪˈspoʊzd
disposition, ˌdɪspəˈzɪʃən ˌdɪspəˈzɪʃən ˌdɪs·pəˈzɪʃ·ən
dispositive, dɪsˈpɑːzət̬ɪv
dispossess, ˌdɪspəˈzes ˌdɪs·pəˈzes
dispossessed, ˌdɪspəˈzest
disproportionate, ˌdɪsprəˈpɔːrʃənət ˌdɪs·prəˈpɔr·ʃə·nət
disproportionately, ˌdɪsprəˈpɔːrʃənətli
disprove, dɪˈspruːv dɪˈspruv
dispute, dɪˈspjuːt dɪˈspjut
disputed, dɪˈspjuːt̬ɪd
disqualification, dɪˌskwɑːləfəˈkeɪʃən dɪˌskwɑːləfəˈkeɪʃən
disqualify, dɪˈskwɑːləfaɪ dɪsˈkwɑl·əˌfɑɪ
disquiet, dɪˈskwaɪət
disquieting, dɪˈskwaɪət̬ɪŋ dɪsˈkwɑɪ·ɪ·t̬ɪŋ
disregard, ˌdɪsrɪˈɡɑːrd ˌdɪs·rɪˈɡɑrd
disrepair, ˌdɪsrɪˈper ˌdɪs·rɪˈpeər
disreputable, dɪsˈrepjət̬əbəl dɪsˈrep·jə·t̬ə·bəl
disrepute, ˌdɪsrɪˈpjuːt ˌdɪs·rɪˈpjut
disrespect, ˌdɪsrɪˈspekt ˌdɪs·rɪˈspekt
disrespectful, ˌdɪsrɪˈspektfəl
disrupt, dɪsˈrʌpt dɪsˈrʌpt dɪsˈrʌpt
disruption, dɪsˈrʌpʃən dɪsˈrʌpʃən
disruptive, dɪsˈrʌpt̬ɪv dɪsˈrʌpt̬ɪv dɪsˈrʌp·tɪv
diss, dɪs
dissatisfaction, ˌdɪssæt̬əsˈfækʃən
dissatisfied, ˌdɪsˈsæt̬əsfaɪd dɪsˈsæt̬·əsˌfɑɪd
dissect," daɪˈsekt daɪˈsekt dɪˈsekt, dɑɪ- dɪˈsekt, dɑɪ-"
dissection, dɪˈsekʃən dɪˈsekʃən
dissemble, dɪˈsembəl
disseminate, dɪˈseməneɪt dɪˈsem·əˌneɪt
dissemination, dɪˌseməˈneɪʃən
dissension, dɪˈsenʃən dɪˈsen·ʃən
dissent, dɪˈsent dɪˈsent dɪˈsent dɪˈsent
dissenter, dɪˈsent̬ɚ
dissenting, dɪˈsent̬ɪŋ
dissertation, ˌdɪsɚˈteɪʃən ˌdɪs·ərˈteɪ·ʃən
disservice, ˌdɪsˈsɝːvɪs dɪsˈsɜr·vɪs
dissident, ˈdɪsədənt ˈdɪs·ə·dənt
dissimilar, ˌdɪsˈsɪməlɚ dɪsˈsɪm·ə·lər
dissipate, ˈdɪsəpeɪt ˈdɪs·əˌpeɪt
dissipated, ˈdɪsəpeɪt̬ɪd
dissipation, ˌdɪsəˈpeɪʃən ˌdɪsəˈpeɪʃən ˌdɪsəˈpeɪʃən
dissociate, dɪˈsoʊʃieɪt
dissociation, dɪˌsoʊʃiˈeɪʃən dɪˌsoʊʃiˈeɪʃən
dissolution, ˌdɪsəˈluːʃən ˌdɪs·əˈlu·ʃən
dissolve, dɪˈzɑːlv dɪˈzɑːlv dɪˈzɑːlv dɪˈzɑlv dɪˈzɑlv
dissonance, ˈdɪsənəns ˈdɪsənəns
dissonant, ˈdɪsənənt ˈdɪsənənt
dissuade, dɪˈsweɪd dɪˈsweɪd
distal, ˈdɪstəl
distance, ˈdɪstəns ˈdɪstəns ˈdɪs·təns
distant, ˈdɪstənt ˈdɪstənt ˈdɪstənt ˈdɪs·tənt ˈdɪs·tənt
distaste, dɪsˈteɪst dɪsˈteɪst
distasteful, dɪsˈteɪstfəl dɪsˈteɪstfəl
distemper, dɪˈstempɚ dɪˈstempɚ
distend, dɪˈstend
distended, dɪˈstendɪd
distill, dɪˈstɪl dɪˈstɪl dɪˈstɪl dɪˈstɪl
distillate, ˈdɪstəleɪt
distillation, ˌdɪstəˈleɪʃən ˌdɪstəˈleɪʃən ˌdɪs·təˈleɪ·ʃən
distiller, dɪˈstɪlɚ
distillery, dɪˈstɪlɚi dɪˈstɪl·ə·ri
distinct, dɪˈstɪŋkt dɪˈstɪŋkt dɪˈstɪŋkt dɪˈstɪŋkt
distinction, dɪˈstɪŋkʃən dɪˈstɪŋkʃən dɪˈstɪŋkʃən dɪˈstɪŋkʃən dɪˈstɪŋk·ʃən dɪˈstɪŋk·ʃən dɪˈstɪŋk·ʃən
distinctive, dɪˈstɪŋktɪv dɪˈstɪŋk·tɪv
distinctively, dɪˈstɪŋktɪvli
distinctiveness, dɪˈstɪŋktɪvnəs
distinctly, dɪˈstɪŋktli dɪˈstɪŋktli dɪˈstɪŋkt·li
distinguish, dɪˈstɪŋɡwɪʃ dɪˈstɪŋ·ɡwɪʃ dɪˈstɪŋ·ɡwɪʃ
distinguishable, dɪˈstɪŋɡwɪʃəbəl
distinguished, dɪˈstɪŋɡwɪʃt dɪˈstɪŋɡwɪʃt dɪˈstɪŋ·ɡwɪʃt dɪˈstɪŋ·ɡwɪʃt
distinguishing, dɪˈstɪŋɡwɪʃɪŋ
distort, dɪˈstɔːrt dɪˈstɔːrt dɪˈstɔːrt dɪˈstɔːrt dɪˈstɔrt
distorted, dɪˈstɔːrt̬ɪd dɪˈstɔːrt̬ɪd dɪˈstɔːrt̬ɪd dɪˈstɔːrt̬ɪd
distortion, dɪˈstɔːrʃən dɪˈstɔːrʃən dɪˈstɔːrʃən
distract, dɪˈstrækt dɪˈstrækt
distracted, dɪˈstræktɪd
distracting, dɪˈstræktɪŋ
distraction, dɪˈstrækʃən dɪˈstrækʃən dɪˈstrækʃən
distraught, dɪˈstrɑːt dɪˈstrɔt
distress, dɪˈstres dɪˈstres dɪˈstres
distressed, dɪˈstrest dɪˈstrest dɪˈstrest
distressing, dɪˈstresɪŋ
distressingly, dɪˈstresɪŋli
distribute," dɪˈstrɪbjuːt dɪˈstrɪb·jut, -jət"
distribution, ˌdɪstrɪˈbjuːʃən ˌdɪstrɪˈbjuːʃən ˌdɪstrɪˈbjuːʃən ˌdɪs·trəˈbju·ʃən ˌdɪs·trəˈbju·ʃən
distributor, dɪˈstrɪbjət̬ɚ dɪˈstrɪbjət̬ɚ dɪˈstrɪb·jə·t̬ər dɪˈstrɪb·jə·t̬ər
district, ˈdɪstrɪkt ˈdɪs·trɪkt
distrust, dɪˈstrʌst dɪsˈtrʌst
distrustful, dɪˈstrʌstfəl
disturb, dɪˈstɝːb dɪˈstɝːb dɪˈstɝːb dɪˈstɜrb dɪˈstɜrb dɪˈstɜrb
disturbance, dɪˈstɝːbəns dɪˈstɝːbəns dɪˈstɝːbəns dɪˈstɜr·bəns dɪˈstɜr·bəns
disturbed, dɪˈstɝːbd dɪˈstɜrbd
disturbing, dɪˈstɝːbɪŋ
