Word,Pronunciation
accommodation, əˌkɑːməˈdeɪʃən əˌkɑːməˈdeɪʃən əˌkɑːməˈdeɪʃən əˌkɑːməˈdeɪʃən əˌkɑːməˈdeɪʃən əˌkɑːməˈdeɪʃən əˌkɑːməˈdeɪʃən
accommodations, əˌkɑm·əˈdeɪ·ʃənz
accommodative, əˈkɑːmədeɪt̬ɪv əˈkɑːmədeɪt̬ɪv əˈkɑːmədeɪt̬ɪv
accompaniment, əˈkʌmpənɪmənt əˈkʌmpənɪmənt əˈkʌm·pə·ni·mənt əˈkʌm·pə·ni·mənt
accompanist, əˈkʌmpənɪst
accompany, əˈkʌmpəni əˈkʌmpəni əˈkʌmpəni əˈkʌmpəni əˈkʌm·pə·ni əˈkʌm·pə·ni
accompanying, əˈkʌmpəniɪŋ
accomplice, əˈkɑːmplɪs əˈkɑm·plɪs
accomplish, əˈkɑːmplɪʃ əˈkɑm·plɪʃ
accomplished, əˈkɑːmplɪʃt əˈkɑm·plɪʃt
accomplishment, əˈkɑːmplɪʃmənt əˈkɑːmplɪʃmənt əˈkɑːmplɪʃmənt əˈkɑm·plɪʃ·mənt
accord, əˈkɔːrd əˈkɔrd əˈkɔrd
accordingly, əˈkɔːrdɪŋli əˈkɔr·dɪŋ·li
accordion, əˈkɔːrdiən əˈkɔr·di·ən
accost," əˈkɑːst əˈkɔst, əˈkɑst"
account, əˈkaʊnt əˈkaʊnt əˈkaʊnt əˈkaʊnt əˈkaʊnt əˈkɑʊnt əˈkɑʊnt əˈkɑʊnt
accountability, əˌkaʊnt̬əˈbɪlət̬i
accountable, əˈkaʊnt̬əbəl əˈkɑʊn·tə·bəl
accountancy, əˈkaʊnt̬ənsi
accountant, əˈkaʊnt̬ənt əˈkɑʊn·tənt
accounting, əˈkaʊnt̬ɪŋ əˈkaʊnt̬ɪŋ əˈkɑʊn·tɪŋ -ṱɪŋ -ṱɪŋ -ṱɪŋ
accounts, əˈkaʊnts
accoutrements, əˈkuːt̬ɚmənts
accreditation," əˌkredəˈteɪʃən əˌkred·əˈteɪ·ʃən, -ət̬ˈeɪ·ʃən"
accredited, əˈkredɪt̬ɪd
accrual, əˈkruːəl
accrue, əˈkruː əˈkru
accumulate, əˈkjuːmjəleɪt əˈkjuːmjəleɪt əˈkjum·jəˌleɪt
accumulation, əˌkjuːmjəˈleɪʃən
accumulative, əˈkjuːmjələt̬ɪv
accumulator, əˈkjuːmjəleɪt̬ɚ
accuracy, ˈækjɚəsi ˈækjɚəsi ˈæk·jər·ə·si ˈæk·jər·ə·si ˈæk·jər·ə·si
accurate, ˈækjɚət ˈæk·jər·ət ˈæk·jər·ət
accurately, ˈækjɚətli ˈækjʊrətli
accusation, ˌækjəˈzeɪʃən
accusatory, əˈkjuːzətɔːri
accuse, əˈkjuːz əˈkjuz
accused, əˈkjuzd
accuser, əˈkjuːzɚ
accusing, əˈkjuːzɪŋ
accustom, əˈkʌs·təm
accustomed, əˈkʌstəmd əˈkʌstəmd
ace, eɪs eɪs eɪs eɪs eɪs eɪs eɪs
acerbic, əˈsɝːbɪk
acetaminophen, əˌsiːt̬əˈmɪnəfen
acetate, ˈæsəteɪt
acetone, ˈæsət̬oʊn
acetylene, əˈset̬əliːn
ache, eɪk eɪk eɪk eɪk
achievable, əˈtʃiːvəbəl
achieve, əˈtʃiːv əˈtʃiv
achievement, əˈtʃiːvmənt əˈtʃiv·mənt
achingly, ˈeɪkɪŋli
achoo, əˈtʃuː
achy, ˈeɪki
acid, ˈæsɪd ˈæsɪd ˈæs·ɪd
acidic," əˈsɪdɪk əˈsɪdɪk əˈsɪd·ɪk, æ-"
acidity," əˈsɪdət̬i əˈsɪd·ɪ·t̬i, æ-"
acknowledge," əkˈnɑːlɪdʒ əkˈnɑːlɪdʒ ɪkˈnɑl·ɪdʒ, æk-"
acknowledged," ɪkˈnɑl·ɪdʒd, æk-"
acknowledgment," əkˈnɑːlɪdʒmənt əkˈnɑːlɪdʒmənt əkˈnɑːlɪdʒmənt ɪkˈnɑl·ɪdʒ·mənt, æk-"
acme, ˈæk·mi
acne, ˈækni ˈæk·ni
acolyte, ˈækəlaɪt
acorn," ˈeɪkɔːrn ˈeɪ·kɔrn, -kərn"
acoustic, əˈkuːstɪk əˈkuːstɪk əˈku·stɪk əˈku·stɪk əˈku·stɪk
acoustically, əˈkuːstɪkəli əˈkuːstɪkəli
acoustics, əˈkuːstɪks əˈku·stɪks
acquaintance, əˈkweɪntəns əˈkweɪntəns əˈkweɪntəns əˈkweɪn·təns əˈkweɪn·təns
acquaintanceship, əˈkweɪntənsʃɪp
acquainted, əˈkweɪnt̬ɪd əˈkweɪn·tɪd
acquiesce, ˌækwiˈes ˌæk·wiˈes
acquiescence, ˌækwiˈesəns
acquire, əˈkwaɪɚ əˈkwaɪɚ əˈkwaɪɚ əˈkwaɪɚ əˈkwaɪɚ əˈkwɑɪər
acquirer, əˈkwaɪrɚ -rɚ
acquisition, ˌækwəˈzɪʃən ˌækwəˈzɪʃən ˌækwəˈzɪʃən ˌækwəˈzɪʃən ˌækwəˈzɪʃən ˌæk·wəˈzɪʃ·ən
acquisitive, əˈkwɪzət̬ɪv əˈkwɪzət̬ɪv -əṱɪv
acquit, əˈkwɪt əˈkwɪt əˈkwɪt
acquittal, əˈkwɪt̬əl əˈkwɪt̬·əl
acre, ˈeɪkɚ ˈeɪ·kər
acreage, ˈeɪkɚɪdʒ -kɚ-
acrid, ˈækrɪd ˈæk·rɪd
acrimonious, ˌækrəˈmoʊniəs ˌæk·rəˈmoʊ·ni·əs
acrimony, ˈækrəˌmoʊni
acrobat, ˈækrəbæt ˈæk·rəˌbæt
acrobatic, ˌækrəˈbæt̬ɪk ˌæk·rəˈbæt̬·ɪk
acrobatics, ˌækrəˈbæt̬ɪks
acronym, ˈækrənɪm ˈæk·rəˌnɪm
acropolis, əˈkrɑːpəlɪs
across," əˈkrɑːs əˈkrɔs, əˈkrɑs əˈkrɔs, əˈkrɑs"
acrylic, əˈkrɪlɪk əˈkrɪlɪk əˈkrɪl·ɪk
act, ækt ækt ækt ækt ækt ækt
acting, ˈæktɪŋ ˈæk·tɪŋ
action, ˈækʃən ˈækʃən ˈækʃən ˈækʃən ˈækʃən ˈækʃən ˈækʃən ˈækʃən ˈækʃən ˈæk·ʃən ˈæk·ʃən ˈæk·ʃən ˈæk·ʃən ˈæk·ʃən
actionable, ˈækʃənəbəl
activate, ˈæktəveɪt ˈæktəveɪt ˈæk·təˌveɪt ˈæk·təˌveɪt
activation, ˌæktəˈveɪʃən
active, ˈæktɪv ˈæktɪv ˈæktɪv ˈæktɪv ˈæk·tɪv ˈæk·tɪv ˈæk·tɪv
actively, ˈæktɪvli
activism, ˈæk·təˌvɪz·əm
activist, ˈæktəvɪst
activity, ækˈtɪvət̬i ækˈtɪvət̬i ækˈtɪvət̬i ækˈtɪv·ɪ·t̬i
actor, ˈæktɚ ˈæktɚ ˈæk·tər
actress, ˈæktrəs
actual, ˈæktʃuəl ˈæk·tʃu·əl
actuality, ˌæktʃuˈælət̬i
actualize, ˈæktʃuəlaɪz
actually, ˈæktʃuəli ˈæktʃuəli ˈæktʃuəli ˈæk·tʃu·ə·li ˈæk·tʃu·ə·li
actuarial, ˌæktʃuˈeriəl
actuary, ˈæktʃueri -eri
actuate, ˈæktʃueɪt
actuator, ˈæktʃueɪt̬ɚ
acuity, əˈkjuːət̬i
acumen," əˈkjuːmən əˈkju·mən, ˈæk·jə·mən"
acupuncture, ˈækjəpʌŋktʃɚ ˈæk·jəˌpʌŋk·tʃər
acute, əˈkjuːt əˈkjuːt əˈkjuːt əˈkjuːt əˈkjut əˈkjut əˈkjut əˈkjut
acutely, əˈkjuːtli əˈkjuːtli
acuteness, əˈkjuːtnəs əˈkjuːtnəs
ad, æd æd
adage, ˈædɪdʒ ˈæd·ɪdʒ
adagio, əˈdɑːdʒioʊ
adamant, ˈædəmənt ˈæd·ə·mənt
adamantly, ˈædəməntli
adapt, əˈdæpt əˈdæpt əˈdæpt əˈdæpt
adaptability, əˌdæptəˈbɪlət̬i əˌdæp·təˈbɪl·ɪ·t̬i
adaptable, əˈdæptəbəl əˈdæp·tə·bəl
adaptation," ˌædəpˈteɪʃən ˌædəpˈteɪʃən ˌædəpˈteɪʃən ˌæd·əpˈteɪ·ʃən, -ˌæp- ˌæd·əpˈteɪ·ʃən, -ˌæp-"
adapted, əˈdæpt̬ɪd əˈdæpt̬ɪd
adapter, əˈdæptɚ əˈdæptɚ əˈdæptɚ
adaptive, əˈdæptɪv əˈdæptɪv əˈdæp·tɪv əˈdæp·tɪv əˈdæptɪv
add, æd æd æd æd æd
added, ˈædɪd
addendum, əˈdendəm əˈdendəm
adder, ˈædɚ
addict, ˈædɪkt ˈæd·ɪkt
addicted, əˈdɪktɪd
addiction, əˈdɪkʃən əˈdɪk·ʃən
addictive, əˈdɪktɪv əˈdɪktɪv
addition, əˈdɪʃən əˈdɪʃən əˈdɪʃən əˈdɪʃən əˈdɪʃən əˈdɪʃ·ən əˈdɪʃ·ən
additional, əˈdɪʃənəl əˈdɪʃ·ə·nəl
additionally, əˈdɪʃənəli
additive, ˈædət̬ɪv ˈæd·ə·t̬ɪv
addle, ˈædəl
addled, ˈædəld
address," ˈædres ˈædres ˈædres ˈædres ˈædres ˈæd·res, əˈdres ˈæd·res, əˈdres ˈæd·res, əˈdres ˈædres ˈædres ˈædres ˈædres ˈædres"
addressee, ˌædresˈiː
adenine, ˈædəniːn ˈæd·əˌnin
adenoid, ˈædənɔɪd
adept, əˈdept əˈdept
adequacy, ˈædəkwəsi
adequate, ˈædəkwət ˈæd·ɪ·kwət
adequately, ˈædəkwətli
adhere," ədˈhɪr ədˈhɪər, æd-"
adherence," ədˈhɪrəns ədˈhɪər·əns, æd-"
adherent," ədˈhɪrənt ədˈhɪər·ənt, æd-"
adhesion, ədˈhiːʒən
adhesive," ədˈhiːsɪv ədˈhi·sɪv, æd-, -zɪv"
adieu, əˈduː
adios, ˌædiˈoʊs
adipose, ˈædəpoʊs
adjacent, əˈdʒeɪsənt əˈdʒeɪ·sənt əˈdʒeɪ·sənt
adjective, ˈædʒektɪv ˈædʒ·ɪk·tɪv
adjoining, əˈdʒɔɪnɪŋ əˈdʒɔɪ·nɪŋ
adjourn, əˈdʒɝːn əˈdʒɜrn
adjournment, əˈdʒɝːnmənt
adjudge, əˈdʒʌdʒ
adjudicate, əˈdʒuːdəkeɪt əˈdʒud·ɪˌkeɪt
adjudication, əˌdʒuːdəˈkeɪʃən
adjunct, ˈædʒʌŋkt ˈædʒʌŋkt ˈædʒ·ʌŋkt ˈædʒ·ʌŋkt
adjust, əˈdʒʌst əˈdʒʌst əˈdʒʌst əˈdʒʌst
adjustable, əˈdʒʌstəbəl
adjustment, əˈdʒʌstmənt əˈdʒʌstmənt
adjutant, ˈædʒətənt
admin, ˈædmɪn ˈædmɪn
administer," ədˈmɪnəstɚ ədˈmɪnəstɚ ədˈmɪnəstɚ ədˈmɪn·ə·stər, æd- ədˈmɪn·ə·stər, æd-"
administration," ədˌmɪnəˈstreɪʃən ədˌmɪnəˈstreɪʃən ədˌmɪnəˈstreɪʃən ədˌmɪnəˈstreɪʃən ədˌmɪnəˈstreɪʃən ədˌmɪn·əˈstreɪ·ʃən, æd- ədˌmɪn·əˈstreɪ·ʃən, æd- ədˌmɪn·əˈstreɪ·ʃən, æd-"
administrative, ædˈmɪnɪˌstreɪt̬ɪv ædˈmɪnɪˌstreɪt̬ɪv ædˈmɪnɪˌstreɪt̬ɪv
administrator, ədˈmɪnəstreɪt̬ɚ ədˈmɪnəstreɪt̬ɚ
admirable, ˈædmərəbəl
admirably, ˈædmərəbli
admiral, ˈædmərəl ˈæd·mər·əl
admiralty, ˈædmərəlti
admiration, ˌædməˈreɪʃən
admire, ədˈmaɪr ədˈmaɪr ədˈmɑɪər
admirer, ədˈmaɪrɚ
admiring, ədˈmaɪrɪŋ
admissibility, ədˌmɪsəˈbɪlət̬i
admissible," ədˈmɪsəbəl ədˈmɪs·ə·bəl, æd-"
admission," ədˈmɪʃən ədˈmɪʃən ədˈmɪʃən ədˈmɪʃən ədˈmɪʃ·ən, æd- ədˈmɪʃ·ən, æd- ədˈmɪʃ·ən, æd-"
admissions," ədˈmɪʃ·ənz, æd-"
admit," ədˈmɪt ədˈmɪt ədˈmɪt ədˈmɪt ədˈmɪt, æd- ədˈmɪt, æd-"
admittance, ədˈmɪt̬əns
admittedly, ədˈmɪt̬ɪdli
admonish," ədˈmɑːnɪʃ ədˈmɑːnɪʃ ədˈmɑn·ɪʃ, æd-"
admonishing, ədˈmɑːnɪʃɪŋ
admonition, ˌædməˈnɪʃən
ado, əˈduː əˈdu
adobe, əˈdoʊbi əˈdoʊ·bi
adolescence, ˌædəˈlesəns
adolescent, ˌædəˈlesənt ˌæd·əlˈes·ənt ˌæd·əlˈes·ənt
adopt, əˈdɑːpt əˈdɑːpt əˈdɑːpt əˈdɑːpt əˈdɑːpt əˈdɑːpt əˈdɑːpt əˈdɑpt əˈdɑpt əˈdɑpt
adoptable, əˈdɑːptəbəl
adopted, əˈdɑːptɪd əˈdɑːptɪd əˈdɑːptɪd
adoption, əˈdɑːpʃən əˈdɑːpʃən əˈdɑːpʃən əˈdɑp·ʃən əˈdɑp·ʃən
adoptive, əˈdɑːptɪv əˈdɑp·tɪv
adorable," əˈdɔːrəbəl əˈdɔr·ə·bəl, -ˈdoʊr-"
adoration, ˌædəˈreɪʃən
adore," əˈdɔːr əˈdɔːr əˈdɔr, əˈdoʊr"
adoring, əˈdɔːrɪŋ
adorn, əˈdɔːrn əˈdɔrn
adornment, əˈdɔːrnmənt
adrenal, əˈdriːnəl
adrenalin, əˈdrenəlɪn
adrenaline," əˈdren·əl·ən, -ˌin"
adrift, əˈdrɪft əˈdrɪft əˈdrɪft
adroit, əˈdrɔɪt əˈdrɔɪt
adroitly, əˈdrɔɪtli
adulation, ˌædʒəˈleɪʃən ˌædʒ·əˈleɪ·ʃən
adult," ˈædʌlt əˈdʌlt, ˈæd·ʌlt əˈdʌlt, ˈæd·ʌlt əˈdʌlt, ˈæd·ʌlt"
adulterate, əˈdʌltəreɪt əˈdʌl·təˌreɪt
adulterated, əˈdʌltəreɪt̬ɪd
adulterer, əˈdʌltɚɚ
adulterous, əˈdʌltɚəs
adultery," əˈdʌltɚi əˈdʌl·tə·ri, -tri"
adulthood, ˈædʌlthʊd əˈdʌlt·hʊd
advance," ədˈvæns ədˈvæns ədˈvæns ədˈvæns ədˈvæns, æd-"
advanced," ədˈvænst ədˈvænst ədˈvænst ədˈvænst ədˈvænst, æd-"
advancement, ədˈvænsmənt
advantage," ədˈvænt̬ɪdʒ ədˈvænt̬ɪdʒ ədˈvæn·tɪdʒ, æd-"
advantaged, ədˈvænt̬ɪdʒd
advantageous, ˌædvænˈteɪdʒəs
advent, ˈædvent ˈæd·vent ˈæd·vent
adventure," ədˈventʃɚ ədˈven·tʃər, æd-"
adventurer, ədˈventʃɚɚ ədˈventʃɚɚ ədˈven·tʃər·ər
adventurous, ədˈventʃɚəs ədˈventʃɚəs ədˈven·tʃər·əs
adverb, ˈædvɝːb ˈæd·vɜrb
adverbial, ədˈvɝːbiəl
adversarial, ˌædvɚˈseriəl ˌæd·vərˈseər·i·əl
adversary, ˈædvɚseri ˈæd·vərˌser·i
adverse," ædˈvɝːs ædˈvɜrs, ˈæd·vɜrs"
adversely, ædˈvɝːsli
adversity, ədˈvɝːsət̬i ædˈvɜr·sɪ·t̬i
advertise, ˈædvɚtaɪz ˈæd·vərˌtɑɪz
advertisement," ˌædvɚˈtaɪzmənt ˌædvɚˈtaɪzmənt ˌæd·vərˈtɑɪz·mənt, ədˈvɜr·t̬əz·mənt ˌædvərˈtaɪzmənt ˌædvərˈtaɪzmənt"
advertiser, ˈædvɚtaɪzɚ
advertising, ˈædvɚtaɪzɪŋ ˈæd·vərˌtɑɪ·zɪŋ
advice," ədˈvaɪs ədˈvɑɪs, æd-"
advisable, ədˈvaɪzəbəl
advise," ədˈvaɪz ədˈvaɪz ədˈvɑɪz, æd-"
advisedly, ədˈvaɪzɪdli
advisement, ədˈvaɪzmənt
adviser, ədˈvaɪzɚ
advisory, ədˈvaɪzɚi
advocacy, ˈædvəkəsi
advocate, ˈædvəkeɪt ˈædvəkeɪt ˈædvəkeɪt ˈæd·vəˌkeɪt
aerial," ˈeriəl ˈeriəl ˈer·i·əl, ˈær-"
aerie, ˈɪri
aerobatics, ˌeroʊˈbæt̬ɪks
aerobic, erˈoʊbɪk erˈoʊbɪk
aerobics, erˈoʊbɪks eəˈroʊ·bɪks
aerodynamic, ˌeroʊdaɪˈnæmɪk
aerodynamically, ˌeroʊdaɪˈnæmɪkəli
aerodynamics, ˌeroʊdaɪˈnæmɪks ˌeər·oʊ·dɑɪˈnæm·ɪks
aeronautical, ˌerəˈnɑːt̬ɪkəl
aeronautics, ˌerəˈnɑːt̬ɪks
aerosol," ˈerəsɑːl ˈerəsɑːl ˈeər·əˌsɔl, -ˌsɑl"
aerospace," ˈeroʊspeɪs ˈeər·oʊˌspeɪs, ær-"
aesthete, ˈesθiːt
aesthetic, esˈθet̬ɪk esˈθet̬ɪk esˈθet̬ɪk esˈθet̬·ɪk
aesthetically, esˈθet̬ɪkəli esˈθet̬ɪkəli
aesthetics, esˈθet̬·ɪks
afar, əˈfɑːr
affable, ˈæfəbəl ˈæf·ə·bəl
affably, ˈæfəbli
affair, əˈfer əˈfer əˈfer əˈfer əˈfer əˈfeər əˈfeər əˈfeər
affect, əˈfekt əˈfekt əˈfekt əˈfekt əˈfekt
affectation, ˌæfekˈteɪʃən ˌæf·ekˈteɪ·ʃən
affected, əˈfektɪd əˈfek·tɪd
affecting, əˈfektɪŋ
affection, əˈfekʃən əˈfek·ʃən
