Word,Possible IPA from CMU,Possible IPA from Cambridge
advantaged,ædvæntɪdʒd,ədvæntɪdʒd
advantageous,ædvənteɪdʒəs,ædvænteɪdʒəs
adventure,ædvɛntʃɝ ædvɛntʃɚ,ədvɛntʃɚ ədvɛntʃəɹ æd
adventurer,ædvɛntʃɝɝ ædvɛntʃɝɚ ædvɛntʃɚɝ ædvɛntʃɚɚ,ədvɛntʃɚɚ ədvɛntʃɚɚ ədvɛntʃəɹəɹ
adventurous,ædvɛntʃɝəs ædvɛntʃɚəs,ədvɛntʃɚəs ədvɛntʃɚəs ədvɛntʃəɹəs
adverbial,ædvɝbiəl ædvɚbiəl,ədvɝbiəl
adversity,ædvɝsɪti ædvɚsɪti,ədvɝsəti ædvɜɹsɪti
advertisement,ædvɝtəzmənt ædvɚtəzmənt,ædvɚtaɪzmənt ædvɚtaɪzmənt ædvəɹtɑɪzmənt ədvɜɹtəzmənt ædvəɹtaɪzmənt ædvəɹtaɪzmənt
advice,ædvaɪs,ədvaɪs ədvɑɪs æd
advise,ædvaɪz,ədvaɪz ədvaɪz ədvɑɪz æd
advisedly,ædvaɪzədli,ədvaɪzɪdli
adviser,ædvaɪzɝ ædvaɪzɚ,ədvaɪzɚ
advisory,ædvaɪzɝi ædvaɪzɚi,ədvaɪzɚi
advocate,ædvəkət,ædvəkeɪt ædvəkeɪt ædvəkeɪt ædvəkeɪt
aerie,ɛɹi,ɪɹi
aerobatics,ɛɹəbætɪks,ɛɹoʊbætɪks
aerobics,ɝoʊbɪks ɚoʊbɪks,ɛɹoʊbɪks ɛəɹoʊbɪks
aerodynamically,ɛɹoʊdaɪnæmɪkli,ɛɹoʊdaɪnæmɪkəli
aeronautical,ɛɹoʊnɑtəkəl ɛɹoʊnɒtəkəl,ɛɹənɑtɪkəl
aeronautics,ɛɹənɔtɪks,ɛɹənɑtɪks
aesthetically,ɛsθɛtɪkli,ɛsθɛtɪkəli ɛsθɛtɪkəli
affidavit,æfədeɪvət,æfədeɪvɪt æfədeɪvɪt æfədeɪvɪt
affix,æfɪks,əfɪks əfɪks əfɪks æ
aficionado,əfiʃjənɑdoʊ əfiʃjənɒdoʊ,əfɪʃiənɑdoʊ
aftermarket,æftɝmɑɹkɪt æftɝmɒɹkɪt æftɚmɑɹkɪt æftɚmɒɹkɪt,æftəɹmɑɹkɪt
agar,eɪɡɝ eɪɡɚ,eɪɡɑɹ
aged,eɪdʒd,eɪdʒɪd
agglutinate,əɡlutɪneɪt,əɡlutəneɪt əɡlutəneɪt
aggrandizement,æɡɹəndaɪzmənt,əɡɹændɪzmənt
agin,ɑdʒin ɒdʒin,əɡɪn
agitated,ædʒəteɪtəd,ædʒəteɪtɪd ædʒəteɪtɪd
agitprop,ædʒətpɹɔp,ædʒɪtpɹɑp
agora,æɡɝə æɡɚə,æɡəɹə æɡəɹə æɡəɹə
agoraphobia,əɡɔɹəfoʊbiə,æɡəɹəfoʊbiə
agribusiness,æɡɹəbɪznəs,æɡɹəbɪznɪs æɡɹibɪznɪs æɡɹibɪznɪs
agricultural,æɡɹɪkʌltʃɝəl æɡɹɪkʌltʃɚəl,æɡɹəkʌltʃɚəl
agriculture,æɡɹɪkAH2ltʃɝ æɡɹɪkAH2ltʃɚ,æɡɹəkʌltʃɚ æɡɹɪkʌltʃəɹ
aileron,eɪlɝɑn eɪlɝɒn eɪlɚɑn eɪlɚɒn,eɪləɹɑn
airlock,ɛɹlɔk,ɛɹlɑk ɛɹlɑk
aka,ɑkə ɒkə,eɪkeɪeɪ eɪkeɪeɪ
ala,ælə,eɪlə
alar,eɪlɑɹ eɪlɒɹ,eɪlɚ eɪlɚ
alchemist,ælkɛmɪst,ælkəmɪst
alderman,ɔldɝmən ɔldɚmən,ɑldɚmən ɑldɚmən ɔldəɹmən
algorithm,ælɡɝɪðəm ælɡɚɪðəm,ælɡəɹɪðəm ælɡəɹɪðəm
alibi,æləbaɪ,ælɪbaɪ ælɪbaɪ æləbɑɪ æləbɑɪ
alienate,eɪljəneɪt,eɪliəneɪt eɪliəneɪt eɪliəneɪt eɪljə
allegedly,əlɛdʒədli,əlɛdʒɪdli əlɛdʒɪdli
allegorical,æləɡɔɹɪkəl,æləɡɔɹəkəl
allele,əlɛli,əlil əlil
alleluia,ælɛlujɑ ælɛlujɒ,æləlujə
allied,əlaɪd,ælaɪd ælaɪd ælaɪd ælɑɪd əlɑɪd ælɑɪd əlɑɪd
alliteration,əlɪtɝeɪʃən əlɪtɚeɪʃən,əlɪtəɹeɪʃən əlɪtəɹeɪʃən
alliterative,əlɪtɝətɪv əlɪtɚətɪv,əlɪtəɹətɪv
allspice,ɔlspaɪs,ɑlspaɪs
alluvial,æluviəl,əluviəl
almighty,ɔlmaɪti,ɑlmaɪti ɑlmaɪti ɔlmɑɪti ɔlmɑɪti
almond,ɑmənd ɒmənd,ɑlmənd ɔmənd ɔl
alongside,əlɔŋsaɪd,əlɑŋsaɪd əlɔŋsɑɪd
alphabetically,ælfəbɛtɪkli,ælfəbɛtɪkəli
alphabetize,ælfəbətaɪz,ælfəbɛtaɪz
alright,ɔlɹaɪt,ɑlɹaɪt ɔlɹɑɪt ɔlɹɑɪt
altar,ɔltɝ ɔltɚ,ɑltɚ ɔltəɹ
alter,ɔltɝ ɔltɚ,ɑltɚ ɑltɚ ɑltɚ ɔltəɹ
alteration,ɔltɝeɪʃən ɔltɚeɪʃən,ɑltəɹeɪʃən ɑltəɹeɪʃən ɑltəɹeɪʃən
altered,ɔltɝd ɔltɚd,ɑltɚd ɑltɚd
alternate,ɔltɝnət ɔltɚnət,ɑltɚneɪt ɑltɚneɪt ɔltəɹneɪt
alternately,ɔltɝnətli ɔltɚnətli,ɑltɝnətli ɔltəɹnətli
alternating,ɔltɝneɪtɪŋ ɔltɚneɪtɪŋ,ɑltɚneɪtɪŋ ɑltɚneɪtɪŋ
alternation,ɔltɝneɪʃən ɔltɚneɪʃən,ɑltɚneɪʃən
alternative,ɔltɝnətɪv ɔltɚnətɪv,ɑltɝnətɪv ɑltɝnətɪv ɔltɜɹnətɪv
alternatively,ɔltɝnətɪvli ɔltɚnətɪvli,ɑltɝnətɪvli ɔltɜɹnətɪvli
alternator,ɔltɝneɪtɝ ɔltɝneɪtɚ ɔltɚneɪtɝ ɔltɚneɪtɚ,ɑltɚneɪtɚ
altogether,ɔltəɡɛðɝ ɔltəɡɛðɚ,ɑltəɡɛðɚ ɑltəɡɛðɚ ɑltəɡɛðɚ ɔltəɡɛðəɹ ɔltəɡɛðəɹ
altruistic,ɔltɹuɪstɪk,æltɹuɪstɪk
aluminium,əlumɪnəm,æljəmɪniəm
alumnae,əlʌmneɪ,əlʌmni
amaranth,æmɝænθ æmɚænθ,æməɹænθ
amaryllis,æmɝɪlɪs æmɚɪlɪs,æməɹɪlɪs
amateurish,æmətʃɝɪʃ æmətʃɚɪʃ,æmətʊɹɪʃ æmətʃʊəɹɪʃ tɜɹɪʃ
ameliorate,əmiljɝeɪt əmiljɚeɪt,əmiljəɹeɪt
amelioration,əmiljɝeɪʃən əmiljɚeɪʃən,əmiliəɹeɪʃən
amen,eɪmɛn,ɑmɛn ɑmɛn eɪ ɑmɛn eɪ
amenable,əmɛnəbəl,əminəbəl əminəbəl mɛnə
amethyst,æmɪθɪst,æməθɪst æməθɪst
amicus,əmikəs,æmɪkəs
amity,æmɪti,æməti
amnesiac,æmniziæk,æmniʒiæk
amniotic,æmniɔtɪk,æmniɑtɪk
amortization,æmɝtɪzeɪʃən æmɚtɪzeɪʃən,æmɔɹtəzeɪʃən
amortize,æmɝtaɪz æmɚtaɪz,æmɔɹtaɪz æmɔɹtaɪz
amperage,æmpɝɪdʒ æmpɚɪdʒ,æmpɹɪdʒ
amphitheater,æmfəθieɪtɝ æmfəθieɪtɚ,æmfəθiətɚ æmfəθiətɚ æmfəθiətəɹ æmpə
amphitheatre,æmfəθieɪtɝ æmfəθieɪtɚ,æmfəθiətɚ æmfəθiətɚ
amygdala,æmɪɡdɑlə æmɪɡdɒlə,əmɪɡdələ
anaerobic,ænɝoʊbɪk ænɚoʊbɪk,ænəɹoʊbɪk
anaesthesia,ænɪsθiʒiə,ænəsθiziə ænəsθiziə
anaesthetist,ənɛsθɛtɪst,ənɛsθətɪst
analgesic,ænəldʒisɪk,ænəldʒizɪk ænəldʒizɪk sɪk
analogue,ænəlɔɡ,ænəlɑɡ ænəlɑɡ ænəlɑɡ ænəlɑɡ
analysis,ænælɪsɪs,ənæləsɪs ənæləsɪs ənæləsɪs ənæləsɪs ənæləsɪs
anaphylaxis,ænəfəlæksɪs,ænəfɪlæksɪs
anarchic,ænɑɹkɪk ænɒɹkɪk,ənɑɹkɪk ənɑɹkɪk
anatomically,ænətɑməkli ænətɒməkli,ænətɑmɪkəli ænətɑmɪkəli
anchorage,æŋkəɹɪdʒ,æŋkɚɪdʒ æŋkɚɪdʒ
ancient,eɪntʃənt,eɪnʃənt eɪnʃənt eɪnʃənt eɪnʃənt eɪnʃənt
androgynous,ændɹɔdʒənəs,ændɹɑdʒənəs ændɹɑdʒənəs
androgyny,ændɹɔdʒəni,ændɹɑdʒəni
anemone,ænɪmoʊn,ənɛməni ənɛməni
anesthesia,ænɪsθiʒiə,ænəsθiziə ænəsθiʒə
anesthetist,ənɛsθɛtɪst,ənɛsθətɪst ənɛsθətəst
angelically,ændʒɛlɪkli,ændʒɛlɪkəli
angioplasty,ændʒiəplæsti,ændʒioʊplæsti
anglophile,ænɡləfaɪl,æŋɡləfaɪl
angst,ɑŋkst ɒŋkst,ɑŋst ɑŋst æŋst
anise,ænəs,ænɪs
ankh,ænk,ɑŋk
announcement,ənaʊnsmɛnt,ənaʊnsmənt ənaʊnsmənt
annuity,ənuɪti,ənjuəti ənuti
annul,ænəl,ənʌl ənʌl
annulment,ænəlmənt,ənʌlmənt
anopheles,ɑnɔfɪliz ɒnɔfɪliz,ənɑfəliz
anorexic,ænɝɛksɪk ænɚɛksɪk,ænəɹɛksɪk
antacid,æntæsəd,æntæsɪd æntæsɪd
antagonist,æntæɡənəst,æntæɡənɪst æntæɡənɪst æntæɡənɪst æntæɡənɪst
antebellum,æntɪbɛləm,æntəbɛləm
antecedent,æntɛsədənt,æntəsidənt æntəsidənt æntəsidənt æntəsidənt æntəsidənt
anthology,ænθɔlədʒi,ænθɑlədʒi ænθɑlədʒi
anthropological,ænθɹəpəlɑdʒəkəl ænθɹəpəlɒdʒəkəl,ænθɹəpəlɑdʒɪkəl
antibody,æntɪbɑdi æntɪbɒdi,æntibɑdi æntibɑdi
anticline,æntɪklaɪn,æntiklaɪn æntɪklɑɪn
antidisestablishmentarianism,æntaɪdɪsəstæblɪʃməntɛɹiənɪzəm,æntidɪsəstæblɪʃməntɛɹiənɪzəm
antigen,æntədʒən,æntɪdʒən æntɪdʒən dʒɛn
antihistamine,æntihɪstəmən,æntihɪstəmɪn æntihɪstəmin æntɑɪ mən
antimatter,ætaɪmætɝ ætaɪmætɚ,æntimætɚ æntimætəɹ æntɑɪ
antioxidant,æntiɑksədənt æntiɒksədənt,æntiɑksɪdənt æntiɑksɪdənt æntɑɪ
antiquated,æntəkweɪtəd,æntəkweɪtɪd æntɪkweɪtɪd
antiseptic,æntəsɛptɪk,æntisɛptɪk æntɪsɛptɪk
antisocial,æntɪsoʊʃəl,æntisoʊʃəl æntisoʊʃəl æntisoʊʃəl æntɑɪ æntisoʊʃəl æntɑɪ
antithesis,æntɪθəsəs,æntɪθəsɪs æntɪθəsɪs æntɪθəsɪs æntɪθəsɪs
antitoxin,æntitɑksən æntitɒksən,æntitɑksɪn
antitrust,æntaɪtɹʌst,æntitɹʌst æntitɹʌst æntɑɪ
antiwar,æntaɪwɔɹ,æntiwɔɹ æntɑɪ
antlers,æntlɝz æntlɚz,æntləɹz
anvil,ænvəl,ænvɪl ænvɪl
anybody,ɛnibədi,ɛnibɑdi ɛnibɑdi bədi
anyone,ɛniwAH2n,ɛniwʌn ɛniwʌn ɛniwʌn wən
aphid,æfɪd,eɪfɪd
aphrodisiac,æfɹoʊdiziæk,æfɹədɪzdiʒæk
apostate,əpɔsteɪt,əpɑsteɪt
apostle,əpɔsəl,əpɑsəl əpɑsəl
apotheosis,əpɑθioʊsəs əpɒθioʊsəs,əpɑθioʊsɪs
appalled,əpɔld,əpɑld
appalling,əpɔlɪŋ,əpɑlɪŋ əpɑlɪŋ
appallingly,əpɔlɪŋli,əpɑlɪŋli əpɑlɪŋli
apparatchik,æpɝætʃɪk æpɚætʃɪk,ɑpəɹɑtʃɪk
apparatus,æpɝætəs æpɚætəs,æpəɹætəs æpəɹætəs æpəɹætəs æpəɹætəs
apparition,æpɝɪʃən æpɚɪʃən,æpəɹɪʃən æpəɹɪʃən
appearances,əpɪɹənsəz,əpɪəɹənsəz
appellate,əpɛlɪt,əpɛlət əpɛlət
appendectomy,æpɪndɛktəmi,æpɛndɛktəmi
appendicitis,əpɛndɪsaɪtɪz,əpɛndəsaɪtəs əpɛndəsɑɪtəs
appetizing,æpɪtaɪzɪŋ,æpətaɪzɪŋ æpɪtɑɪzɪŋ
applicability,æpləkəbɪləti,æplɪkəbɪləti
applicable,æpləkəbəl,əplɪkəbəl
appointed,əpɔɪntəd,əpɔɪntɪd əpɔɪntɪd əpɔɪntɪd
appreciative,əpɹiʃieɪtɪv,əpɹiʃətɪv əpɹiʃətɪv ʃiə
appreciatively,əpɹiʃieɪtɪvli,əpɹiʃətɪvli
apprentice,əpɹɛntəs,əpɹɛntɪs əpɹɛntɪs
apprenticeship,əpɹɛntəsʃɪp,əpɹɛntɪsʃɪp
appropriately,əpɹoʊpɹiɪtli,əpɹoʊpɹiətli
apricot,eɪpɹəkɑt eɪpɹəkɒt,eɪpɹɪkɑt eɪpɹɪkɑt æpɹkɑt eɪpɹ
aquamarine,ɑkwəmɝin ɑkwəmɚin ɒkwəmɝin ɒkwəmɚin,ækwəməɹin ækwəməɹin
aqueduct,ækwədAH2kt,ækwədʌkt ækwədʌkt
aquifer,ækwəfɝ ækwəfɚ,ɑkwəfɚ
arachnid,əɹæknəd,əɹæknɪd
arbiter,ɑɹbɪtɝ ɑɹbɪtɚ ɒɹbɪtɝ ɒɹbɪtɚ,ɑɹbətɚ ɑɹbɪtəɹ ɑɹbɪtəɹ
arbitrarily,ɑɹbɪtɹɛɹəli ɒɹbɪtɹɛɹəli,ɑɹbətɹɛɹəli ɑɹbətɹɛɹəli
arbitrator,ɑɹbɪtɹeɪtɝ ɑɹbɪtɹeɪtɚ ɒɹbɪtɹeɪtɝ ɒɹbɪtɹeɪtɚ,ɑɹbətɹeɪtɚ ɑɹbɪtɹeɪṱɚ
arboretum,ɑɹbɝitəm ɑɹbɚitəm ɒɹbɝitəm ɒɹbɚitəm,ɑɹbəɹitəm
archdiocese,ɑɹtʃdaɪəsəs ɒɹtʃdaɪəsəs,ɑɹtʃdaɪəsɪs ɑɹtʃdɑɪəsɪs siz
archetypal,ɑɹktaɪpəl ɒɹktaɪpəl,ɑɹkətaɪpəl
archetype,ɑɹkɪtaɪp ɒɹkɪtaɪp,ɑɹkətaɪp ɑɹkɪtɑɪp
architecturally,ɑɹkɪtɛktʃɝəli ɑɹkɪtɛktʃɚəli ɒɹkɪtɛktʃɝəli ɒɹkɪtɛktʃɚəli,ɑɹkətɛktʃɚəli
arena,ɝinə ɚinə,əɹinə əɹinə əɹinə əɹinə
argent,ɑɹdʒɪnt ɒɹdʒɪnt,ɑɹdʒənt ɑɹdʒənt
argot,ɑɹɡət ɒɹɡət,ɑɹɡoʊ
arid,æɹəd,ɛɹɪd ɛɹɪd ɛɹɪd æɹɪd
arise,ɝaɪz ɚaɪz,əɹaɪz əɹaɪz əɹɑɪz əɹɑɪz
aristocrat,ɝɪstəkɹæt ɚɪstəkɹæt,əɹɪsstəkɹæt
aristocratic,ɝɪstəkɹætɪk ɚɪstəkɹætɪk,ɛɹəstəkɹætɪk
arithmetic,ɛɹɪθmɛtɪk,əɹɪθmətɪk əɹɪθmətɪk əɹɪθmətɪk
armistice,ɑɹməstəs ɒɹməstəs,ɑɹməstɪs ɑɹməstɪs
aroma,ɝoʊmə ɚoʊmə,əɹoʊmə əɹoʊmə
aromatherapy,əɹoʊməθɝəpi əɹoʊməθɚəpi,əɹoʊməθɛɹəpi
arose,ɝoʊz ɚoʊz,əɹoʊz əɹoʊz
around,ɝaʊnd ɚaʊnd,əɹaʊnd əɹaʊnd əɹaʊnd əɹaʊnd əɹaʊnd əɹaʊnd əɹɑʊnd əɹɑʊnd
arousal,ɝaʊzəl ɚaʊzəl,əɹaʊzəl əɹaʊzəl
arouse,ɝaʊz ɚaʊz,əɹaʊz əɹaʊz əɹɑʊz
aroused,ɝaʊzd ɚaʊzd,əɹaʊzd
arraign,ɝeɪn ɚeɪn,əɹeɪn əɹeɪn
arraignment,ɝeɪnmənt ɚeɪnmənt,əɹeɪnmənt
arrange,ɝeɪndʒ ɚeɪndʒ,əɹeɪndʒ əɹeɪndʒ əɹeɪndʒ əɹeɪndʒ əɹeɪndʒ əɹeɪndʒ
arrangement,ɝeɪndʒmənt ɚeɪndʒmənt,əɹeɪndʒmənt əɹeɪndʒmənt əɹeɪndʒmənt əɹeɪndʒmənt əɹeɪndʒmənt əɹeɪndʒmənt əɹeɪndʒmənt
arranger,ɝeɪndʒɝ ɝeɪndʒɚ ɚeɪndʒɝ ɚeɪndʒɚ,əɹeɪndʒɚ əɹeɪndʒɚ əɹeɪndʒɚ
array,ɝeɪ ɚeɪ,əɹeɪ əɹeɪ
arrayed,ɝeɪd ɚeɪd,əɹeɪd
arrears,ɝɪɹz ɚɪɹz,əɹɪɹz
arrest,ɝɛst ɚɛst,əɹɛst əɹɛst əɹɛst əɹɛst əɹɛst
arresting,ɝɛstɪŋ ɚɛstɪŋ,əɹɛstɪŋ əɹɛstɪŋ
arrhythmia,ɝɪðmiə ɚɪðmiə,əɹɪðmiə
arrival,ɝaɪvəl ɚaɪvəl,əɹaɪvəl əɹaɪvəl əɹɑɪvəl
arrive,ɝaɪv ɚaɪv,əɹaɪv əɹaɪv əɹaɪv əɹɑɪv əɹɑɪv əɹɑɪv
arrowhead,æɹoʊhɛd,ɛɹoʊhɛd
arroyo,ɝɔɪoʊ ɚɔɪoʊ,əɹɔɪoʊ əɹɔɪə oʊ
arsonist,ɑɹsənəst ɒɹsənəst,ɑɹsənɪst
arteriosclerosis,ɑɹtɪɹioʊsklɝoʊsəs ɑɹtɪɹioʊsklɚoʊsəs ɒɹtɪɹioʊsklɝoʊsəs ɒɹtɪɹioʊsklɚoʊsəs,ɑɹtɪɹioʊskləɹoʊsɪs
article,ɑɹtəkəl ɒɹtəkəl,ɑɹtɪkəl ɑɹtɪkəl ɑɹtɪkəl ɑɹtɪkəl ɑɹtɪkəl ɑɹtɪkəl ɑɹtɪkəl
articulate,ɑɹtɪkjəleɪt ɒɹtɪkjəleɪt,ɑɹtɪkjələt ɑɹtɪkjələt
articulated,ɑɹtɪkjəleɪtəd ɒɹtɪkjəleɪtəd,ɑɹtɪkjəleɪtɪd
artist,ɑɹtəst ɒɹtəst,ɑɹtɪst ɑɹtɪst ɑɹtɪst ɑɹtɪst ɑɹtɪst
artistically,ɑɹtɪstɪkli ɒɹtɪstɪkli,ɑɹtɪstɪkəli ɑɹtɪstɪkəli ɑɹtɪstɪkəli
artistry,ɑɹtɪstɹi ɒɹtɪstɹi,ɑɹtəstɹi ɑɹtəstɹi
asexual,eɪsɛksjuəl,eɪsɛkʃuəl eɪsɛkʃuəl eɪsɛkʃuəl
ashes,æʃɪz,æʃəz
aspirate,æspɝeɪt æspɚeɪt,æspəɹeɪt æspəɹeɪt æspəɹeɪt
aspiration,æspɝeɪʃən æspɚeɪʃən,æspəɹeɪʃən æspəɹeɪʃən æspəɹeɪʃən æspəɹeɪʃən æspəɹeɪʃən
aspiring,əspaɪɹɪŋ,əspɑɪɹɪŋ
assay,æsi,æseɪ
assemblage,əsɛmblədʒ,əsɛmblɪdʒ əsɛmblɪdʒ əsɛmblɪdʒ əsɛmblɪdʒ
assiduous,əsɪdwəs,əsɪdʒuəs
