Word,Pronunciation
rhetorically," rɪˈtɔːrɪkəli rɪˈtɔːrɪkəli rɪˈtɔr·ɪ·kli, -ˈtɑr-"
rheumatic, ruːˈmæt̬ik
rheumatism, ˈruːmətɪzəm ˈru·məˌtɪz·əm
rheumatology, ˌruːməˈtɑːlədʒi
rhinestone, ˈraɪnstoʊn ˈrɑɪnˌstoʊn
rhino, ˈraɪnoʊ
rhinoceros, raɪˈnɑːsɚəs rɑɪˈnɑs·ər·əs
rhinoplasty, ˈraɪnəˌplæsti
rhizome, ˈraɪzoʊm
rho, roʊ
rhododendron, ˌroʊdəˈdendrən ˌroʊ·dəˈden·drən
rhubarb, ˈruːbɑːrb ˈruːbɑːrb ˈru·bɑrb
rhyme, raɪm rɑɪm
rhythm, ˈrɪðəm ˈrɪðəm ˈrɪðəm ˈrɪð·əm ˈrɪð·əm ˈrɪð·əm
rhythmic, ˈrɪðmɪk
rhythmically, ˈrɪðmɪkəli
rial, ˈriːɔːl
rib, rɪb rɪb rɪb rɪb rɪb rɪb rɪb
ribald, ˈrɪbəld
ribaldry, ˈrɪbəldri
ribbed, rɪbd
ribbing, ˈrɪbɪŋ ˈrɪbɪŋ
ribbon, ˈrɪbən ˈrɪbən ˈrɪbən ˈrɪbən ˈrɪb·ən ˈrɪb·ən
rice, raɪs raɪs rɑɪs
rich, rɪtʃ rɪtʃ rɪtʃ rɪtʃ rɪtʃ rɪtʃ rɪtʃ rɪtʃ rɪtʃ rɪtʃ rɪtʃ rɪtʃ rɪtʃ rɪtʃ rɪtʃ rɪtʃ
riches, ˈrɪtʃɪz ˈrɪtʃɪz ˈrɪtʃ·ɪz ˈrɪtʃ·ɪz
richly, ˈrɪtʃli ˈrɪtʃ·li
richness, ˈrɪtʃnəs ˈrɪtʃnəs ˈrɪtʃnəs
rick, rɪk
rickets, ˈrɪkɪts
rickety, ˈrɪkət̬i ˈrɪk·ɪ·t̬i
ricochet, ˈrɪkəʃeɪ ˈrɪk·əˌʃeɪ
rid, rɪd
ridden, ˈrɪdən
riddle, ˈrɪdəl ˈrɪdəl ˈrɪd·əl
riddled, ˈrɪd·əld
ride, raɪd raɪd raɪd raɪd rɑɪd rɑɪd
rider, ˈraɪdɚ ˈraɪdɚ ˈraɪdɚ ˈrɑɪ·dər
ridge, rɪdʒ rɪdʒ rɪdʒ rɪdʒ rɪdʒ
ridicule, ˈrɪdəkjuːl ˈrɪd·ɪˌkjul
ridiculous, rɪˈdɪkjələs rɪˈdɪk·jə·ləs
ridiculously, rɪˈdɪkjələsli
riding, ˈraɪdɪŋ ˈrɑɪ·dɪŋ ˈrɑɪ·dɪŋ
rife, raɪf rɑɪf rɑɪf
riff, rɪf rɪf rɪf
riffle, ˈrɪfəl
riffraff, ˈrɪfˌræf
rifle, ˈraɪfəl ˈrɑɪ·fəl
riflery, ˈraɪflɚi
rift, rɪft rɪft rɪft
rig, rɪɡ rɪɡ rɪɡ rɪɡ
rigatoni, ˌrɪɡəˈtoʊni
rigging, ˈrɪɡɪŋ ˈrɪɡɪŋ ˈrɪɡ·ɪŋ
right, raɪt raɪt raɪt raɪt raɪt raɪt raɪt raɪt rɑɪt rɑɪt rɑɪt rɑɪt
righteous, ˈraɪtʃəs ˈraɪtʃəs ˈrɑɪ·tʃəs
righteously, ˈraɪtʃəsli ˈraɪtʃəsli
righteousness, ˈraɪtʃəsnəs
rightful, ˈraɪtfəl ˈrɑɪt·fəl
rightfully, ˈraɪtfəli
rightist, ˈraɪt̬ɪst
rightly, ˈraɪtli ˈraɪtli ˈrɑɪt·li ˈrɑɪt·li ˈrɑɪt·li
rightness, ˈraɪtnəs
rights, rɑɪts
righty, ˈraɪt̬i ˈraɪt̬i
rigid, ˈrɪdʒɪd ˈrɪdʒɪd ˈrɪdʒ·ɪd ˈrɪdʒ·ɪd
rigidity, rɪˈdʒɪdət̬i rɪˈdʒɪdət̬i rəˈdʒɪd·ɪ·t̬i rəˈdʒɪd·ɪ·t̬i
rigidly, ˈrɪdʒ·ɪd·li ˈrɪdʒ·ɪd·li
rigor, ˈrɪɡɚ ˈrɪɡɚ ˈrɪɡ·ər
rigorous, ˈrɪɡɚəs ˈrɪɡɚəs ˈrɪɡ·ər·əs
rigorously, ˈrɪɡɚəsli ˈrɪɡɚəsli
rigors, ˈrɪɡ·ərz
rile, raɪl rɑɪl
riled, raɪld
rill, rɪl
rim, rɪm rɪm
rind, raɪnd rɑɪnd
ring, rɪŋ rɪŋ rɪŋ rɪŋ rɪŋ rɪŋ rɪŋ rɪŋ rɪŋ rɪŋ rɪŋ rɪŋ rɪŋ
ringer, ˈrɪŋɚ ˈrɪŋɚ ˈrɪŋɚ ˈrɪŋɚ ˈrɪŋɚ ˈrɪŋɚ
ringing, ˈrɪŋɪŋ ˈrɪŋɪŋ
ringleader, ˈrɪŋˌliːdɚ ˈrɪŋˌlid·ər
ringmaster, ˈrɪŋˌmæstɚ
ringside, ˈrɪŋsaɪd ˈrɪŋˌsɑɪd
rink, rɪŋk rɪŋk
rinse, rɪns rɪns
riot, ˈraɪət ˈraɪət ˈrɑɪ·ət ˈrɑɪ·ət
rioting, ˈraɪət̬ɪŋ
riotous, ˈraɪət̬əs
rip, rɪp rɪp rɪp rɪp rɪp rɪp
ripe, raɪp raɪp raɪp raɪp rɑɪp rɑɪp
ripen, ˈraɪpən ˈraɪpən
riposte, rɪˈpoʊst
ripped, rɪpt rɪpt
ripple, ˈrɪpəl ˈrɪpəl ˈrɪpəl ˈrɪp·əl ˈrɪp·əl
rise, raɪz raɪz raɪz raɪz raɪz raɪz raɪz raɪz raɪz raɪz raɪz rɑɪz rɑɪz rɑɪz rɑɪz rɑɪz rɑɪz
riser, ˈraɪzɚ ˈraɪzɚ ˈrɑɪ·zər
rising, ˈraɪzɪŋ
risk, rɪsk rɪsk rɪsk rɪsk
risky, ˈrɪski
risotto, rɪˈzɑːt̬oʊ
rite, raɪt rɑɪt
ritual, ˈrɪtʃuəl ˈrɪtʃuəl ˈrɪtʃ·u·əl ˈrɪtʃ·u·əl
ritualistic, ˌrɪtʃuəlˈɪstɪk
ritualistically, ˌrɪtʃuəlˈɪstɪkəli
ritzy, ˈrɪtsi ˈrɪt·si
rival, ˈraɪvəl ˈrɑɪ·vəl
rivalry, ˈraɪvəlri ˈrɑɪ·vəl·ri ˈraɪvəlri
riven, ˈrɪvən
river, ˈrɪvɚ ˈrɪvɚ ˈrɪv·ər ˈrɪv·ər
riverbank, ˈrɪvəˌbæŋk ˈrɪv·ərˌbæŋk
riverbed, ˈrɪvəbed ˈrɪv·ərˌbed
riverboat, ˈrɪvɚboʊt
riverside, ˈrɪvɚsaɪd ˈrɪv·ərˌsɑɪd
rivet, ˈrɪvɪt ˈrɪv·ɪt
riveting, ˈrɪvɪt̬ɪŋ ˈrɪv·ɪ·t̬ɪŋ
riviera, rɪviˈerə
roach, roʊtʃ roʊtʃ roʊtʃ roʊtʃ
road, roʊd roʊd roʊd
roadblock, ˈroʊdblɑːk ˈroʊdˌblɑk ˈroʊdˌblɑk
roadhouse, ˈroʊdhaʊs
roadie, ˈroʊdi
roadrunner, ˈroʊdˌrʌnɚ ˈroʊdˌrʌn·ər
roadshow, ˈroʊdʃoʊ
roadside, ˈroʊdsaɪd ˈroʊdˌsɑɪd
roadster, ˈroʊdstɚ
roadway, ˈroʊdweɪ ˈroʊdˌweɪ
roadwork, ˈroʊdwɝːk
roam, roʊm roʊm roʊm roʊm roʊm
roaming, ˈroʊmɪŋ
roan, roʊn
roar," rɔːr rɔːr rɔːr rɔr, roʊr rɔr, roʊr"
roaring," ˈrɔːrɪŋ ˈrɔr·ɪŋ, ˈroʊr-"
roast, roʊst roʊst roʊst roʊst roʊst
roaster, ˈroʊstɚ ˈroʊstɚ
roasting, ˈroʊstɪŋ
rob, rɑːb rɑːb rɑb rɑb
robber, ˈrɑːbɚ ˈrɑb·ər
robbery, ˈrɑːbɚi
robe, roʊb roʊb roʊb
robin, ˈrɑːbɪn ˈrɑb·ɪn
robot," ˈroʊbɑːt ˈroʊbɑːt ˈroʊbɑːt ˈroʊ·bɑt, -bət"
robotic, roʊˈbɑːt̬ɪk roʊˈbɑːt̬ɪk roʊˈbɑt̬·ɪk
robotics, roʊˈbɑːt̬ɪks roʊˈbɑːt̬ɪks roʊˈbɑt̬·ɪks
robust, roʊˈbʌst roʊˈbʌst
robustly, roʊˈbʌstli
rock, rɑːk rɑːk rɑːk rɑːk rɑːk rɑːk rɑk rɑk rɑk
rockabilly, ˈrɑːkəˌbɪli
rocker, ˈrɑːkɚ ˈrɑːkɚ ˈrɑːkɚ ˈrɑːkɚ ˈrɑːkɚ ˈrɑːkɚ ˈrɑk·ər ˈrɑk·ər
rocket, ˈrɑːkɪt ˈrɑːkɪt ˈrɑːkɪt ˈrɑk·ɪt
rocky, ˈrɑːki ˈrɑːki ˈrɑːki ˈrɑk·i ˈrɑk·i
rococo, rəˈkoʊkoʊ
rod, rɑːd rɑːd rɑd
rode, roʊd roʊd
rodent, ˈroʊdənt ˈroʊ·dənt
rodeo," ˈroʊdioʊ ˈroʊ·diˌoʊ, rəˈdeɪ·oʊ"
roe, roʊ roʊ
roger, ˈrɑːdʒɚ
rogue, roʊɡ roʊɡ roʊɡ
roil, rɔɪl rɔɪl
roister, ˈrɔɪstɚ
role, roʊl roʊl roʊl roʊl
roll, roʊl roʊl roʊl roʊl roʊl roʊl roʊl roʊl roʊl roʊl roʊl roʊl roʊl roʊl roʊl
rollback, ˈroʊlbæk
roller, ˈroʊlɚ ˈroʊlɚ ˈroʊlɚ ˈroʊlɚ ˈroʊ·lər ˈroʊ·lər
rollerblading, ˈroʊlɚˌbleɪdɪŋ
rollicking, ˈrɑːlɪkɪŋ ˈrɑl·ɪ·kɪŋ
rolling, ˈroʊlɪŋ ˈroʊlɪŋ ˈroʊ·lɪŋ
rollout, ˈroʊlˌaʊt ˈroʊlˌaʊt ˈroʊlˌɑʊt ˈroʊlˌɑʊt
rollover, ˈroʊloʊvɚ
romaine, rəˈmeɪn
roman, ˈroʊmən
romance," roʊˈmæns roʊˈmæns roʊˈmæns roʊˈmæns roʊˈmæns roʊˈmæns, ˈroʊ·mæns roʊˈmæns, ˈroʊ·mæns roʊˈmæns, ˈroʊ·mæns roʊˈmæns, ˈroʊ·mæns"
romantic, roʊˈmænt̬ɪk roʊˈmænt̬ɪk roʊˈmænt̬ɪk roʊˈmæn·tɪk roʊˈmæn·tɪk roʊˈmæn·tɪk
romantically, roʊˈmænt̬ɪkəli roʊˈmænt̬ɪkəli roʊˈmænt̬ɪkəli
romanticism, roʊˈmænt̬əsɪzəm
romanticize, roʊˈmænt̬əsaɪz roʊˈmæn·təˌsɑɪz
romp, rɑːmp rɑmp rɑmp
roof," ruːf ruf, rʊf ruf, rʊf"
roofer, ˈruːfɚ
roofing," ˈruːfɪŋ ˈruːfɪŋ ˈru·fɪŋ, ˈrʊf·ɪŋ"
rooftop," ˈruːftɑːp ˈrufˌtɑp, ˈrʊf-"
rook, rʊk rʊk rʊk rʊk
rookie, ˈrʊki ˈrʊk·i
room," ruːm ruːm ruːm ruːm ruːm rum, rʊm rum, rʊm"
roomful, ˈruːmfʊl
roommate," ˈruːmmeɪt ˈruːmmeɪt ˈrumˌmeɪt, ˈrʊm-"
roomy," ˈruːmi ˈru·mi, ˈrʊm·i"
roost, ruːst rust
rooster, ˈruːstɚ ˈru·stər
root," ruːt ruːt ruːt ruːt ruːt ruːt ruːt rut, rʊt rut, rʊt rut, rʊt rut, rʊt rut, rʊt"
rooted, ˈruːt̬ɪd ˈruːt̬ɪd
rootless," ˈruːtləs ˈrut·ləs, ˈrʊt-"
roots," ruts, rʊts"
rope, roʊp roʊp roʊp
rosary, ˈroʊzɚi ˈroʊ·zə·ri
rose, roʊz roʊz
rosebud, ˈroʊzbʌd
rosella, roʊˈzelə roʊˈzelə roʊˈzelə
rosemary, ˈroʊzmeri ˈroʊzˌmeər·i
rosette, roʊˈzet
rosewood, ˈroʊzwʊd
rosin, ˈrɑːzən
roster, ˈrɑːstɚ ˈrɑs·tər
rostrum, ˈrɑːstrəm ˈrɑs·trəm
rosy, ˈroʊzi ˈroʊzi ˈroʊ·zi ˈroʊ·zi
rot, rɑːt rɑt
rota, ˈroʊt̬ə
rotary, ˈroʊt̬ɚi ˈroʊt̬ɚi ˈroʊ·t̬ə·ri
rotate, ˈroʊteɪt ˈroʊteɪt ˈroʊteɪt ˈroʊ·teɪt ˈroʊ·teɪt ˈrəʊteɪt ˈrəʊteɪt
rotating, ˈrəʊteɪtɪŋ
rotation, roʊˈteɪʃən roʊˈteɪʃən roʊˈteɪʃən roʊˈteɪʃən roʊˈteɪʃən roʊˈteɪ·ʃən roʊˈteɪ·ʃən
rote, roʊt
roti, ˈroʊt̬i
rotisserie, roʊˈtɪsɚi roʊˈtɪs·ə·ri
rotor, ˈroʊt̬ɚ
rotten, ˈrɑːtən ˈrɑːtən ˈrɑt·ən ˈrɑt·ən
rotter, ˈrɑːt̬ɚ
rotund, roʊˈtʌnd roʊˈtʌnd
rotunda, roʊˈtʌndə roʊˈtʌn·də
rouble, ˈruːbəl
rouge, ruːʒ ruʒ
rough, rʌf rʌf rʌf rʌf rʌf rʌf rʌf rʌf rʌf rʌf rʌf rʌf rʌf rʌf rʌf rʌf
roughly, ˈrʌfli ˈrʌfli ˈrʌfli ˈrʌf·li ˈrʌf·li
roughneck, ˈrʌfnek ˈrʌfnek
roughness, ˈrʌfnəs ˈrʌfnəs ˈrʌfnəs ˈrʌfnəs ˈrʌfnəs ˈrʌfnəs ˈrʌfnəs ˈrʌfnəs
roulette, ruːˈlet
round, raʊnd raʊnd raʊnd raʊnd rɑʊnd rɑʊnd
roundabout, ˈraʊndəbaʊt ˈraʊndəbaʊt ˈraʊndəbaʊt ˈrɑʊnd·əˈbɑʊt
rounded, ˈraʊndɪd ˈrɑʊn·dɪd
rounder, ˈraʊndɚ ˈraʊndɚ ˈraʊndɚ ˈraʊndɚ
rounding, ˈraʊndɪŋ
roundly, ˈraʊndli
rounds, rɑʊndz
roundtable, ˈrɑʊndˌteɪ·bəl
roundup, ˈrɑʊndˌʌp
rouse, raʊz rɑʊz
rousing, ˈraʊzɪŋ ˈrɑʊ·zɪŋ
rout, raʊt raʊt rɑʊt
route," ruːt ruːt ruːt rut, rɑʊt rut, rɑʊt ruːt, raʊt ruːt, raʊt ruːt, raʊt"
router," ˈraʊt̬ɚ ˈrɑʊ·t̬ər ˈruːtər, ˈraʊtər"
routine, ruːˈtiːn ruːˈtiːn ruːˈtiːn ruˈtin ruˈtin
routinely, ruːˈtiːnli
routing," ˈruːt̬ɪŋ ˈruːt̬ɪŋ ˈruːtɪŋ, ˈraʊtɪŋ ˈruːtɪŋ, ˈraʊtɪŋ"
roux, ruː
rove, roʊv roʊv roʊv
rover, ˈroʊvɚ ˈroʊvɚ
roving, ˈroʊvɪŋ
row, roʊ roʊ roʊ roʊ roʊ
rowan, ˈroʊən
rowboat, ˈroʊ ˌboʊt ˈroʊˌboʊt
rowdy, ˈraʊdi ˈrɑʊ·di
rower, ˈroʊɚ
rowing, ˈroʊɪŋ
royal, ˈrɔɪəl ˈrɔɪəl ˈrɔɪəl ˈrɔɪ·əl
royalist, ˈrɔɪəlɪst
royally, ˈrɔɪəli ˈrɔɪəli ˈrɔɪəli
royalty, ˈrɔɪəlt̬i ˈrɔɪəlt̬i ˈrɔɪ·əl·ti ˈrɔɪ·əl·ti
rpm, ˌɑːrpiːˈem
rub, rʌb rʌb
rubber, ˈrʌbɚ ˈrʌbɚ ˈrʌbɚ ˈrʌbɚ ˈrʌbɚ ˈrʌb·ər ˈrʌb·ər ˈrʌb·ər
rubbery, ˈrʌbɚi ˈrʌb·ə·ri ˈrʌb·ə·ri
rubbish, ˈrʌbɪʃ ˈrʌbɪʃ ˈrʌb·ɪʃ
rubble, ˈrʌbəl ˈrʌbəl ˈrʌb·əl
rubella, ruːˈbelə ruˈbel·ə
rubric, ˈruːbrɪk
ruby, ˈruːbi ˈruːbi ˈruːbi ˈru·bi
ruck, rʌk rʌk
rucksack, ˈrʌksæk
ruckus, ˈrʌkəs ˈrʌk·əs
rudder, ˈrʌdɚ ˈrʌd·ər
rudderless, ˈrʌdɚləs
ruddy, ˈrʌdi ˈrʌd·i
rude, ruːd ruːd ruːd ruːd rud rud
rudely, ˈruːdli ˈruːdli ˈruːdli ˈruːdli
rudeness, ˈruːdnəs ˈruːdnəs ˈruːdnəs
rudimentary," ˌruːdəˈmentəri ˌruːdəˈmentəri ˌrud·əˈment·ə·ri, -ˈmen·tri"
rudiments, ˈru·də·mənts
rue, ruː ru
ruff, rʌf rʌf
ruffle, ˈrʌfəl ˈrʌfəl ˈrʌf·əl ˈrʌf·əl
ruffled, ˈrʌf·əld ˈrʌf·əld
rug, rʌɡ rʌɡ rʌɡ rʌɡ
rugby, ˈrʌɡbi ˈrʌɡ·bi
rugged, ˈrʌɡɪd ˈrʌɡɪd ˈrʌɡɪd ˈrʌɡ·ɪd ˈrʌɡ·ɪd ˈrʌɡ·ɪd
ruggedly, ˈrʌɡɪdli ˈrʌɡɪdli ˈrʌɡɪdli
ruin, ˈruːɪn ˈruːɪn ˈru·ɪn
ruined, ˈruːɪnd
ruinous, ˈruːənəs ˈru·ɪ·nəs
rule, ruːl ruːl rul rul
ruler, ˈruːlɚ ˈruːlɚ ˈru·lər ˈru·lər
ruling, ˈruːlɪŋ ˈru·lɪŋ
rum, rʌm rʌm
rumble, ˈrʌmbəl ˈrʌmbəl ˈrʌmbəl ˈrʌm·bəl
rumbling, ˈrʌmbəlɪŋ ˈrʌmbəlɪŋ
ruminant, ˈruːmənənt
ruminate, ˈruːməneɪt ˈruːməneɪt ˈru·məˌneɪt
rumination, ˌruːməˈneɪʃən ˌruːməˈneɪʃən
rummage, ˈrʌmɪdʒ ˈrʌm·ɪdʒ
rummy, ˈrʌmi ˈrʌm·i
rumor, ˈruːmɚ ˈru·mər
rumored, ˈruːmɚd
rumour, ˈruːmɚ
rump, rʌmp rʌmp rʌmp rʌmp
rumple, ˈrʌmpəl ˈrʌm·pəl
rumpled, ˈrʌmpəld
run, rʌn rʌn rʌn rʌn rʌn rʌn rʌn rʌn rʌn rʌn rʌn rʌn rʌn rʌn rʌn rʌn rʌn rʌn rʌn rʌn rʌn rʌn rʌn rʌn rʌn rʌn rʌn rʌn rʌn rʌn rʌn rʌn
runabout, ˈrʌnəbaʊt ˈrʌnəbaʊt
runaround, ˈrʌn·əˌrɑʊnd
runaway, ˈrʌnəweɪ ˈrʌnəweɪ ˈrʌnəweɪ ˈrʌn·əˌweɪ
rundown, ˈrʌndaʊn ˈrʌndaʊn ˈrʌndaʊn ˈrʌnˌdɑʊn
rune, ruːn
rung, rʌŋ rʌŋ
runner, ˈrʌnɚ ˈrʌnɚ ˈrʌnɚ ˈrʌnɚ ˈrʌnɚ ˈrʌnɚ ˈrʌnɚ ˈrʌnɚ ˈrʌnɚ ˈrʌn·ər ˈrʌn·ər
running, ˈrʌnɪŋ ˈrʌnɪŋ ˈrʌn·ɪŋ
runny, ˈrʌni ˈrʌni ˈrʌn·i
runoff, ˈrʌnɑːf ˈrʌnɑːf ˈrʌnˌɔf ˈrʌnˌɔf ˈrʌnˌɔf
runway, ˈrʌnweɪ ˈrʌnweɪ ˈrʌnˌweɪ
rupee, ˈruːpiː
rupture, ˈrʌptʃɚ ˈrʌp·tʃər
rural, ˈrʊrəl ˈrʊr·əl
ruse, ruːz ruz
rush, rʌʃ rʌʃ rʌʃ rʌʃ
rushed, rʌʃt
rushing, ˈrʌʃɪŋ
rusk, rʌsk
russet, ˈrʌsɪt
rust, rʌst rʌst rʌst rʌst
rustic, ˈrʌstɪk ˈrʌs·tɪk
rustle, rʌsəl rʌsəl ˈrʌs·əl ˈrʌs·əl
rustler, ˈrʌsəlɚ ˈrʌs·lər
rustling, ˈrʌsəlɪŋ ˈrʌsəlɪŋ
rustproof, ˈrʌstpruːf
rusty, ˈrʌsti ˈrʌsti ˈrʌs·ti ˈrʌs·ti
rut, rʌt rʌt rʌt
rutabaga, ˌruːt̬əˈbeɪɡə
ruthless, ˈruːθləs ˈruθ·ləs
ruthlessly, ˈruːθləsli
ruthlessness, ˈruːθləsnəs
rye, raɪ raɪ rɑɪ rɑɪ
sabbatical, səˈbæt̬ɪkəl səˈbæt̬·ɪ·kəl
saber, ˈseɪbɚ ˈseɪ·bər
sable, ˈseɪbəl ˈseɪbəl ˈseɪ·bəl
sabotage, ˈsæbətɑːʒ ˈsæbətɑːʒ ˈsæb·əˌtɑʒ
saboteur, ˌsæbəˈtɝː
sabre, ˈseɪbɚ ˈseɪbɚ
sac, sæk sæk sæk sæk sæk
saccharin, ˈsækɚɪn ˈsæk·ə·rɪn
saccharine," ˈsækɚiːn ˈsæk·ə·rɪn, -əˌrin"
sachet, sæʃˈeɪ sæˈʃeɪ
sack, sæk sæk sæk sæk sæk
sacking, ˈsækɪŋ ˈsækɪŋ ˈsækɪŋ
sacrament, ˈsækrəmənt ˈsækrəmənt ˈsæk·rə·mənt
sacramental, ˌsækrəˈment̬əl ˌsækrəˈment̬əl
sacred, ˈseɪkrɪd ˈseɪkrɪd ˈseɪkrɪd ˈseɪ·krɪd
sacredness, ˈseɪkrɪdnəs
sacrifice, ˈsækrəfaɪs ˈsækrəfaɪs ˈsækrəfaɪs ˈsæk·rəˌfɑɪs ˈsæk·rəˌfɑɪs
sacrificial, ˌsækrəˈfɪʃəl
sacrilege, ˈsækrəlɪdʒ ˈsæk·rə·lɪdʒ
sacrilegious, ˌsækrəˈlɪdʒəs
sacrosanct, ˈsækrəsæŋkt ˈsæk·roʊˌsæŋkt
sad, sæd sæd sæd sæd sæd sæd
sadden, ˈsædən ˈsæd·ən
saddle, ˈsædəl ˈsædəl ˈsædəl ˈsæd·əl ˈsæd·əl
saddlebag, ˈsædəlbæɡ
saddler, ˈsædlɚ
sadism, ˈsædɪzəm
sadist," ˈsædɪst ˈseɪ·dɪst, ˈsæd·ɪst"
sadistic, səˈdɪstɪk
sadly, ˈsædli ˈsædli ˈsæd·li ˈsæd·li
sadness, ˈsædnəs ˈsædnəs ˈsæd·nəs
safari, səˈfɑːri səˈfɑr·i
safe, seɪf seɪf seɪf seɪf seɪf seɪf seɪf seɪf seɪf seɪf seɪf seɪf
safeguard, ˈseɪfɡɑːrd ˈseɪfɡɑːrd ˈseɪf·ɡɑrd
safeguarding, ˈseɪfɡɑːrdɪŋ
safekeeping, ˌseɪfˈkiːpɪŋ ˈseɪfˈki·pɪŋ
safely, ˈseɪfli ˈseɪf·li
safety, ˈseɪfti ˈseɪfti ˈseɪfti ˈseɪf·ti
safflower, ˈsæflaʊɚ
saffron, ˈsæfrən ˈsæfrən
sag, sæɡ sæɡ sæɡ sæɡ
saga, ˈsɑːɡə ˈsɑːɡə ˈsɑːɡə ˈsɑɡ·ə
sage, seɪdʒ seɪdʒ
sagebrush, ˈseɪdʒbrʌʃ
sagittal, ˈsædʒət̬əl ˈsædʒət̬əl ˈsædʒət̬əl
saguaro, səˈɡwɑːroʊ
said, sed sed
sail, seɪl seɪl seɪl seɪl seɪl seɪl
sailboat, ˈseɪlboʊt ˈseɪlˌboʊt
sailfish, ˈseɪlfɪʃ
sailing, ˈseɪlɪŋ ˈseɪlɪŋ ˈseɪ·lɪŋ
sailor, ˈseɪlɚ ˈseɪlɚ ˈseɪ·lər
saint, seɪnt seɪnt seɪnt seɪnt
sainted, ˈseɪnt̬ɪd
sainthood, ˈseɪnthʊd
saintly, ˈseɪntli ˈseɪnt·li
sake, ˈsɑːki seɪk seɪk
salaam, səˈlɑːm
salable, ˈseɪləbəl
salacious, səˈleɪʃəs səˈleɪ·ʃəs
